"Year" "Model" "q"
1982 "CV70%" 0.729147525974207
1983 "CV70%" 0.950432251313424
1984 "CV70%" 0.771066084709041
1985 "CV70%" 0.758273403895083
1986 "CV70%" 0.589836481845128
1987 "CV70%" 0.921424310801361
1988 "CV70%" 1.07612089471719
1989 "CV70%" 1.15336057337767
1990 "CV70%" 1.53098796629588
1991 "CV70%" 1.21401379190591
1992 "CV70%" 1.18428209874831
1993 "CV70%" 1.31229849395806
1994 "CV70%" 1.17584881800923
1995 "CV70%" 1.04768413162808
1996 "CV70%" 0.670463043163351
1997 "CV70%" 0.624252268356189
1998 "CV70%" 0.504405193332416
1999 "CV70%" 0.663632161365592
2000 "CV70%" 0.889801335051601
2001 "CV70%" 0.72730500596453
2002 "CV70%" 0.915653819870417
2003 "CV70%" 0.922901388645678
2004 "CV70%" 0.857229819971139
2005 "CV70%" 1.118957878423
2006 "CV70%" 0.740382450180108
2007 "CV70%" 1.14707864233736
2008 "CV70%" 1.14827868067233
2009 "CV70%" 1.105465763254
2010 "CV70%" 1.57304500068487
2011 "CV70%" 1.25071029386108
2012 "CV70%" 1.08998761236097
2013 "CV70%" 1.21112659341711
2014 "CV70%" 1.3289679890822
2015 "CV70%" 1.28013786978586
2016 "CV70%" 1.18829726271114
2017 "CV70%" 0.931590994246675
2018 "CV70%" 0.679551569529625
2019 "CV70%" 1.0160005365542
1982 "CV50%" 0.797233648873132
1983 "CV50%" 0.94584796014866
1984 "CV50%" 0.778860669643272
1985 "CV50%" 0.819412516742473
1986 "CV50%" 0.599346642653562
1987 "CV50%" 0.980076159284541
1988 "CV50%" 1.095682109157
1989 "CV50%" 1.18897934813206
1990 "CV50%" 1.45259032627568
1991 "CV50%" 1.24964948858175
1992 "CV50%" 1.20107929401678
1993 "CV50%" 1.26910101699968
1994 "CV50%" 1.15147785839934
1995 "CV50%" 1.01359880590357
1996 "CV50%" 0.690544735718572
1997 "CV50%" 0.632057039105839
1998 "CV50%" 0.534292106282631
1999 "CV50%" 0.664777355005901
2000 "CV50%" 0.844245218411686
2001 "CV50%" 0.752272861578047
2002 "CV50%" 0.905995815635567
2003 "CV50%" 0.92996380851993
2004 "CV50%" 0.88064539509539
2005 "CV50%" 1.07093563038008
2006 "CV50%" 0.784480418331038
2007 "CV50%" 1.11380761088185
2008 "CV50%" 1.14914780554898
2009 "CV50%" 1.14531457484188
2010 "CV50%" 1.47059870221321
2011 "CV50%" 1.23604954415047
2012 "CV50%" 1.10443843810354
2013 "CV50%" 1.19398777905693
2014 "CV50%" 1.29878839815309
2015 "CV50%" 1.24905533909388
2016 "CV50%" 1.15848531239782
2017 "CV50%" 0.923916824129143
2018 "CV50%" 0.726521720781814
2019 "CV50%" 0.996741721771202
1982 "CV20%" 0.926710034362835
1983 "CV20%" 0.906876618820724
1984 "CV20%" 0.79610201168159
1985 "CV20%" 1.06900148237131
1986 "CV20%" 0.663433575695537
1987 "CV20%" 1.14556521147823
1988 "CV20%" 1.18036842493069
1989 "CV20%" 1.23130245647544
1990 "CV20%" 1.27345955492423
1991 "CV20%" 1.21472013795793
1992 "CV20%" 1.1676706936763
1993 "CV20%" 1.14556120289203
1994 "CV20%" 1.07042733648127
1995 "CV20%" 0.956092436702276
1996 "CV20%" 0.77451991722119
1997 "CV20%" 0.714244543644067
1998 "CV20%" 0.658824236048152
1999 "CV20%" 0.715064433140715
2000 "CV20%" 0.793705411614467
2001 "CV20%" 0.810635942652883
2002 "CV20%" 0.888767697060187
2003 "CV20%" 0.922664836412785
2004 "CV20%" 0.922273999258663
2005 "CV20%" 0.978511256721348
2006 "CV20%" 0.909202534151256
2007 "CV20%" 1.04588222872423
2008 "CV20%" 1.10223239469811
2009 "CV20%" 1.135763550131
2010 "CV20%" 1.22401043732607
2011 "CV20%" 1.17422779199443
2012 "CV20%" 1.13382432974885
2013 "CV20%" 1.1554678891976
2014 "CV20%" 1.19203447971773
2015 "CV20%" 1.14901272922643
2016 "CV20%" 1.07612166679241
2017 "CV20%" 0.947525152664377
2018 "CV20%" 0.866900324882162
2019 "CV20%" 0.961291038520492
