year SST SR_resid  SR_residuals_temp  SSB pred_rec srmod_rec  
1965 8.85384 0.140555 0.178305 598.039 21589.4 18758.5
1966 9.02403 -0.290127 0.16874 705.44 15765.1 21071.6
1967 9.3653 0.114238 0.131317 819.488 25351.6 22614.8
1968 10.4559 0.0516721 -0.151509 1017.41 20724.7 19681
1969 9.78035 -0.0534432 0.052992 1243.54 25754.8 27168.7
1970 10.0602 -0.185913 -0.020158 1495.66 22995.6 27693.9
1971 9.12985 -0.806881 0.159741 1699.4 15601.2 34960.9
1972 8.29326 -1.00317 0.16699 1750.72 13056.2 35603.4
1973 9.5787 -0.184175 0.0955428 1630.97 26837.8 32265.1
1974 8.92675 -0.456517 0.174949 1365.99 20421.6 32236.8
1975 9.74712 -0.335699 0.0605901 1035.66 17586.8 24602.5
1976 9.10379 -0.553511 0.162174 895.731 14253.4 24791.7
1977 9.25545 -0.466852 0.146021 913.321 15494.9 24713.8
1978 10.7102 0.462866 -0.253195 957.508 27169.2 17102.4
1979 10.172 1.10024 -0.0539528 984.537 63856.3 21250.9
1980 10.4426 0.290183 -0.146565 982.772 25863.2 19349
1981 10.0831 0.315735 -0.0268621 1132.08 32617.5 23786.4
1982 10.6346 -0.354265 -0.221536 1823.62 17180.2 24484
1983 9.29017 0.273223 0.141646 2713.28 49701.8 37819.2
1984 10.5954 -0.66668 -0.205634 3341.26 13425.2 26149.1
1985 10.2745 0.108331 -0.0872267 3599.91 32150.1 28849.3
1986 9.53281 -1.02109 0.10404 3865.42 12258.4 34032.1
1987 9.34451 -1.62868 0.134293 4056.82 6733.72 34322.9
1988 10.5289 -1.48917 -0.179298 4122.1 5613.16 24885.5
1989 9.94015 -0.960608 0.0132336 4031.86 11671 30499.8
1990 10.4388 0.600188 -0.145152 3552.63 49821 27337.2
1991 9.8922 -0.256254 0.0257252 2811.12 26056 33666.4
1992 10.3118 -0.260495 -0.0998861 2076.22 22118.6 28700.5
1993 9.29685 0.221482 0.140775 2214.57 46197 37019.1
1994 10.527 -0.577486 -0.178567 3124.14 15267 27199.1
1995 9.76045 -1.16661 0.0575684 3473.63 10493.9 33696.8
1996 9.89658 -0.339103 0.0246044 3670.82 22836.5 32055.2
1997 9.3808 -0.13931 0.12904 3690.4 30899.4 35518.3
1998 10.1602 -0.688551 -0.0502665 3523.55 15135 30131.2
1999 9.04531 -0.848373 0.167119 3208.05 16383.6 38269.5
2000 8.65013 -0.422475 0.181792 3232.52 25418.8 38782.3
2001 9.27298 -0.0598559 0.143843 3247.85 35137.8 37305.3
2002 9.3465 -0.455866 0.134012 3264.31 23393.7 36904.5
2003 10.5275 -0.648147 -0.17877 3066.82 14257.7 27260.7
2004 10.9425 -1.24632 -0.357931 3218.89 6505.72 22623.9
2005 11.7093 -1.16508 -0.783646 3314.51 4583.57 14695.7
2006 10.9169 -0.684142 -0.345822 3041.82 11649 23089.2
2007 9.36056 -0.390208 0.132004 2495.15 25254.9 37308.7
2008 9.71845 -0.875087 0.0669583 2069.3 14123.9 33884.4
2009 9.03015 0.450103 0.168284 1543.15 53177.3 33903.8
2010 8.81331 -0.382733 0.17969 1631.6 23940.1 35103
2011 9.2626 -0.869846 0.14514 1881.21 14952.2 35684.1
2012 8.343 -1.06176 0.170649 2294.21 13272.8 38377.8
2013 7.98873 0.413849 0.133305 2693.4 56727 37502.3
2014 9.29699 0.403422 0.140758 3046.9 56214.4 37552.9
2015 11.8912 -0.0766005 -0.902692 2982.2 12279.4 13257
2016 10.4426 -1.54907 -0.146552 3096.86 5973.58 28118.1
2017 12.0865 -0.303817 -1.03815 3948.01 7942.31 10762
2018 9.94597 -0.428626 0.0116841 4435.61 18824.5 28898.4
