"","Total_1982","Total_1983","Total_1984","Total_1985","Total_1986","Total_1987","Total_1988","Total_1989","Total_1990","Total_1991","Total_1992","Total_1993","Total_1994","Total_1995","Total_1996","Total_1997","Total_1998","Total_1999","Total_2000","Total_2001","Total_2002","Total_2003","Total_2004","Total_2005","Total_2006","Total_2007","Total_2008","Total_2009","Total_2010","Total_2011","Total_2012","Total_2013","Total_2014","Total_2015","Total_2016","Total_2017","Total_2018","Total_2019","EBS_1982","EBS_1983","EBS_1984","EBS_1985","EBS_1986","EBS_1987","EBS_1988","EBS_1989","EBS_1990","EBS_1991","EBS_1992","EBS_1993","EBS_1994","EBS_1995","EBS_1996","EBS_1997","EBS_1998","EBS_1999","EBS_2000","EBS_2001","EBS_2002","EBS_2003","EBS_2004","EBS_2005","EBS_2006","EBS_2007","EBS_2008","EBS_2009","EBS_2010","EBS_2011","EBS_2012","EBS_2013","EBS_2014","EBS_2015","EBS_2016","EBS_2017","EBS_2018","EBS_2019","NBS_1982","NBS_1983","NBS_1984","NBS_1985","NBS_1986","NBS_1987","NBS_1988","NBS_1989","NBS_1990","NBS_1991","NBS_1992","NBS_1993","NBS_1994","NBS_1995","NBS_1996","NBS_1997","NBS_1998","NBS_1999","NBS_2000","NBS_2001","NBS_2002","NBS_2003","NBS_2004","NBS_2005","NBS_2006","NBS_2007","NBS_2008","NBS_2009","NBS_2010","NBS_2011","NBS_2012","NBS_2013","NBS_2014","NBS_2015","NBS_2016","NBS_2017","NBS_2018","NBS_2019"
"Total_1982",0.00980372355960575,0.000201361462161404,7.29035210581412e-05,3.93876323037825e-05,4.66212248836424e-05,1.20428438953292e-05,2.14214671228639e-05,2.21922000902967e-05,4.96259015863828e-05,8.88921533339864e-06,2.09323913459495e-05,2.58358193351753e-05,3.57971811966488e-05,2.26649654156486e-05,3.61939812840767e-05,2.61815613955364e-05,2.05549495840319e-05,4.01579469566128e-05,2.09138947937223e-05,3.13170618616788e-05,2.66737897623298e-05,1.02260382374122e-05,1.95367348071302e-05,1.8863244091893e-05,2.37509889069325e-05,2.65678849919908e-05,2.67136141887822e-05,3.33674675331008e-05,3.39060782868127e-05,3.81155645174801e-05,1.40905266610326e-05,2.53907245015837e-05,1.65885123020443e-05,2.55193768472525e-05,5.27547872001993e-05,1.94782497028711e-05,3.27055888172752e-05,3.25155794699288e-05,0.00982781013202607,0.000199377963489218,7.2172856193211e-05,3.30707373750343e-05,4.56449529718395e-05,1.15098326113457e-05,2.14915457823604e-05,2.19169601193099e-05,4.94560919675319e-05,6.81863548622441e-06,1.97593092579844e-05,2.38021171196438e-05,3.47905893791401e-05,2.16827974361248e-05,3.44382480792483e-05,2.49814973861439e-05,1.80108759903681e-05,3.98301471106951e-05,2.00437906732387e-05,3.0268244255041e-05,2.50955103082285e-05,6.18591251756677e-06,1.59325391906197e-05,1.71668475908899e-05,2.34417247623984e-05,2.62398963017628e-05,2.63656566531479e-05,3.31873323856735e-05,3.39128960538743e-05,3.7665235501854e-05,1.35902092292203e-05,2.46998752257358e-05,1.4603445048296e-05,1.98564679846059e-05,4.69156461548837e-05,2.03304655924085e-05,3.72551362452845e-05,3.66685966627077e-05,0.00418111844754458,0.000368245713033998,0.000180647140670166,0.000168069581702887,0.000140358964680448,9.5218146790579e-05,-2.39323307107004e-05,7.96179797866896e-05,8.63953641996302e-05,9.81453293388303e-05,0.000133369135984,0.000194065121138976,0.000164394221004718,0.000187216830277604,0.000170393246546768,0.00012753861373018,0.000125264202482965,0.000120644090498514,0.000152821954030595,0.000172198440244732,0.000168248763003708,0.000191756797709054,0.000176129968418109,0.00016337343213394,0.000157806192326235,0.000195123162946228,0.000153397349262542,0.000151989396777244,2.91464067753478e-05,0.000120454880618896,0.000119489588122,0.000125962069565544,0.000110333549901434,0.000117896093287321,9.53029544221703e-05,1.58327530519827e-05,1.66879852163093e-05,8.38758038443691e-06
"Total_1983",0.000201361462161404,0.00807999974563029,0.0004768977218342,0.000142715859583321,6.19109041557169e-05,3.78395153194227e-05,3.43688530956125e-05,3.27545967739641e-05,2.70213717574703e-05,4.27575879595824e-05,4.2177949475063e-05,4.12139485233128e-05,4.49742062407087e-05,1.93059046911831e-05,6.16561102425288e-05,5.9078686620547e-05,3.77222063385483e-05,1.93704817939402e-05,4.64383383876364e-05,4.53323813071256e-05,3.13809681248466e-05,1.2378707660806e-05,3.74148656570056e-05,3.67086386325488e-05,4.50606009777729e-06,1.4402357065236e-05,3.89037019424066e-05,2.2352031776804e-05,2.43293303143594e-05,5.81307178362922e-05,3.0566538374167e-05,7.6020087536366e-06,4.31667930846974e-05,4.52357198867132e-05,0.000100360099436678,4.58369021159399e-05,2.63356084197836e-05,5.27360162587869e-05,0.000193118146084296,0.00805984715083237,0.000459497037979437,0.000123379363581624,5.2553484282837e-05,3.27503192297676e-05,3.31488650385062e-05,3.00451758909729e-05,2.39819323057692e-05,3.73101547660661e-05,3.44954934540996e-05,3.24065598855671e-05,3.83878403508588e-05,1.4887078633807e-05,5.37964480303033e-05,5.16686075318954e-05,2.80929702083827e-05,1.56027113242294e-05,4.1055094065319e-05,3.87685693155592e-05,2.5175461429209e-05,3.92577584955858e-06,2.85937639182864e-05,3.17176313379917e-05,2.47579971142848e-06,1.30831935694749e-05,3.76665005404631e-05,2.16330096786846e-05,2.3948098595653e-05,5.63061403045509e-05,2.76541032935748e-05,3.43731863925227e-06,3.32439555563333e-05,2.27148329923325e-05,7.72039404202626e-05,5.06799448784583e-05,2.95392191770798e-05,5.94789094512697e-05,0.002125624919422,0.0097755646245725,0.00304279729113581,0.000536621097534658,0.000960373083188707,0.000831997986203997,0.000823925789539703,0.000598045336252377,0.000685161682310241,0.000277579113352623,0.000778520576023041,0.000769767435818305,0.00088641474032212,0.000759633509955045,0.000662408486055153,0.000684931781215794,0.000434043336231279,0.000944487801418548,0.000862539876396446,0.000927009876953996,0.000588027918132692,0.000392185485435664,0.000420669547770325,0.000461875397833309,0.000884553016497466,0.00069232807924958,0.000489341696771478,0.000495839797319273,0.000290477723746849,0.000391741169135373,0.000644112868248796,0.000613882569821587,0.000511773977768886,0.00041260973791898,0.000269092472640705,2.51199730043388e-05,1.50566475970253e-05,1.35614804382119e-05
"Total_1984",7.29035210581413e-05,0.000476897721834199,0.0122593629926523,0.000548289530181602,0.000146298139859409,5.40303681910563e-05,7.74954508993407e-05,7.02570454795998e-05,6.11768664099411e-05,6.59042364562046e-05,6.67135028054045e-05,3.61855950218212e-05,8.99305878351151e-05,9.48941460985427e-05,7.00171681498157e-05,6.9877020987019e-05,4.49099992180922e-05,3.58444696878491e-05,8.49847853164608e-05,6.79049620644757e-05,5.15826896983232e-05,8.54814226256611e-05,5.92774133637928e-05,8.45175819313814e-05,-5.01726498645158e-06,-4.05185542208753e-05,2.69850227725118e-06,0.000143234655538862,4.15673046749697e-05,6.31137124010719e-05,3.35135509092987e-05,3.27953624286507e-05,4.06978284889072e-05,3.99786028645537e-05,0.000113294571633784,9.10471530112985e-05,8.36782183422868e-05,0.00016826994780187,6.88965972683664e-05,0.000463191790716774,0.012283587535846,0.000534677460956737,0.000136790289809206,5.0053096678343e-05,7.64389959424671e-05,6.84780494257687e-05,5.89735090070382e-05,6.10568749170244e-05,6.00510675023937e-05,2.84571071188442e-05,8.37487267901546e-05,9.11032230559522e-05,6.49041433776519e-05,6.47127113473627e-05,3.84365915527538e-05,3.19931788288217e-05,7.9990649711432e-05,6.14451527296102e-05,4.72535028600662e-05,8.04396128692101e-05,5.51415765364715e-05,8.07988776530292e-05,-7.06813480502749e-06,-4.22346715530304e-05,9.62341068158932e-07,0.000142595739390617,4.12815148811412e-05,6.16373109724572e-05,2.9674577521153e-05,2.8223430566254e-05,3.25852250234854e-05,2.82069100643083e-05,0.000120217033601726,0.000106896565894413,9.93168216960634e-05,0.000193961180330661,0.00100825246952829,0.00163006413384795,0.00868721919268582,0.000825582032741275,0.0010592040252516,0.000674675320199421,0.000761216356525292,0.000441424921652274,0.000538277446450131,0.000274858580699143,0.000705289902964884,0.000675491641889789,0.00087969364477466,0.00073002323726749,0.000460830627624786,0.000506053090197802,0.000311343203836406,0.000981468919300625,0.000842097318996295,0.000935612404638551,0.000439919817949656,0.000312019807237069,0.000238969120304463,0.00040130121961112,0.000883963160316819,0.000841404031950223,0.000634796859499833,0.000563971348040903,0.000241085053990559,0.000333062749003424,0.000842248498677944,0.000698360707886943,0.000423816493843053,0.000232005413502588,6.28525516321702e-05,2.32486264944085e-05,2.86193463650267e-05,1.90102635323348e-05
"Total_1985",3.93876323037828e-05,0.000142715859583321,0.000548289530181603,0.0104386105774119,0.000420179974762859,6.63057505942786e-05,4.87118874899608e-05,5.39824363816874e-05,4.46389843172105e-05,5.71813508943516e-05,4.73379056379902e-05,3.2818955189251e-05,5.05084344908781e-05,4.07470358181922e-05,5.67191432063235e-05,6.6627538004287e-05,7.53408968757514e-05,3.24318884300613e-05,4.49332876860117e-05,3.72116339707069e-05,3.57420282836946e-05,5.38523656602435e-05,3.78222563164392e-05,5.29513714835015e-05,1.81051557445159e-05,2.74011379343336e-05,6.64277015658226e-05,5.90803192451471e-05,4.69025200836305e-05,7.70238877245405e-05,4.20198006374555e-05,3.3643049506308e-05,5.42351451596471e-05,6.56567697670786e-05,7.45158571790996e-05,4.33597262541462e-05,5.13711970327958e-05,9.99751520451219e-05,3.57772548236377e-05,0.000129727087192255,0.000534204478694448,0.0105381974341672,0.000395488471900593,5.81106206203043e-05,4.72041148097377e-05,5.10592682132356e-05,4.1254916670851e-05,4.60993132072181e-05,3.87038125476609e-05,2.30527788349713e-05,4.27879564762022e-05,3.53631638228816e-05,4.77832053579947e-05,5.90424437400403e-05,6.39737911978241e-05,2.8328954937858e-05,3.83868521773826e-05,2.96899555091157e-05,2.77350847459005e-05,4.064454237209e-05,2.51338058816776e-05,4.42567975167626e-05,1.56042398255743e-05,2.55094051797783e-05,6.46523253911507e-05,5.79966512772395e-05,4.6532835705004e-05,7.45473592921893e-05,3.8581513493531e-05,2.87721531873032e-05,4.31995875124983e-05,4.10260848650819e-05,4.93232982386993e-05,4.24466800458227e-05,5.74685465947284e-05,0.000113301273839234,0.000882169516080479,0.00123554318567604,0.00262526695510018,0.00840991910694817,0.00279095971604297,0.00134513874782249,0.00102451847129006,0.000663869185956205,0.000777402826827096,0.000534892761332651,0.000874892370861873,0.000840684048135183,0.00103683735284727,0.000942757888829617,0.000739736523284861,0.000707262362718896,0.000543189447373394,0.0010398432648699,0.00103737497659826,0.00104755358733895,0.000753981636715323,0.000647305727938003,0.000589103511415791,0.00079361224771901,0.00110216484452744,0.000999573501668566,0.000712803370821385,0.000772693330652313,0.000304989396429123,0.000529838719433302,0.000766344429284605,0.000742730561924033,0.000575390670045642,0.000467447059899518,0.000258086899945,4.72654348139096e-05,2.99042423862595e-05,2.25536920471389e-05
"Total_1986",4.66212248836422e-05,6.19109041557168e-05,0.000146298139859409,0.000420179974762859,0.0103465802077027,0.000263887318906431,6.06789103957202e-05,4.71403587980773e-05,6.27138611924338e-05,2.62662114508905e-05,3.40927792240055e-05,3.45643264629644e-05,5.78969037818021e-05,2.88477430200719e-05,1.94287244042142e-05,2.99429686240058e-05,3.54306016791807e-05,3.24559272455478e-05,2.37541390764046e-05,2.77985005944126e-05,2.02024189902096e-05,5.25435166313463e-05,2.37774070574011e-05,3.64883153812379e-05,1.12823124938927e-05,4.49609655592934e-06,2.80739788768722e-05,5.01409913898492e-05,2.97793412400135e-05,4.17499302501158e-05,2.90052972396778e-05,2.22849424476861e-05,2.54005054108706e-05,3.23105931773674e-05,3.88320762902166e-05,1.53341003102691e-05,3.58474574746557e-05,6.26858083353926e-05,4.38517583193547e-05,5.40699055548059e-05,0.000139991587552276,0.000395319895759657,0.0103603046459144,0.000253131365287025,5.9120001086302e-05,4.39422750151674e-05,6.02176201201869e-05,2.10807725919651e-05,2.80215522380993e-05,2.70558074726483e-05,5.25293516834827e-05,2.49493591739985e-05,1.2194517791828e-05,2.32274203935484e-05,2.52091555602993e-05,2.93351256658023e-05,1.90582587956323e-05,2.24073397448997e-05,1.46854001317137e-05,4.37780405086072e-05,1.53461857677956e-05,3.16196201383522e-05,9.63562883886571e-06,3.22022382301665e-06,2.67588437636165e-05,4.9518336710473e-05,2.95081600037927e-05,3.98696554148288e-05,2.64232115222095e-05,1.88861181380388e-05,1.73658546843495e-05,1.69301203792027e-05,2.09954698530037e-05,1.45794656787415e-05,4.10855290322345e-05,7.10762017771133e-05,0.000693106602373716,0.00072162356035912,0.00107626043235962,0.000926606544211385,0.00902881432467279,0.00194233152282124,0.00106958031021178,0.000714385214661857,0.000603233552605289,0.000249793994064221,0.000616003461562366,0.000655674387550566,0.000743628000391815,0.000681980756105529,0.000572374473491231,0.000597136191753802,0.000456125973588564,0.000798720118710621,0.000735651071481148,0.000751960801792147,0.000515090567749192,0.000446393522307238,0.00039009276435441,0.000451235731242025,0.000725062154946577,0.000660174446254153,0.000506885934967977,0.000460169241718108,0.00021909845296585,0.000385544219863199,0.000572958783423997,0.000517073522830361,0.000404837843381532,0.000283205956117438,0.000168802376283564,1.85621767350944e-05,1.74057651590482e-05,1.39397049865152e-05
"Total_1987",1.20428438953289e-05,3.78395153194227e-05,5.40303681910566e-05,6.63057505942788e-05,0.000263887318906431,0.0115027705712965,0.000277436800131969,4.44582122517843e-05,2.74313857376612e-05,2.20497903820957e-05,2.15316202262596e-05,1.8031072283742e-05,2.17946216567368e-05,1.2070825146878e-05,2.73117236756611e-05,2.43759145296028e-05,2.26466868532494e-05,5.32171731679715e-06,2.55813101805548e-05,1.56966261534838e-05,7.99146092351945e-06,1.09512328465116e-05,1.85964732197908e-05,1.76316850648345e-05,1.27744179871033e-06,3.30594105041322e-06,2.25619999348953e-05,8.6821441604032e-06,9.88275177703315e-06,2.81724465763993e-05,1.60965077525509e-05,1.93862031847932e-06,1.96195992628953e-05,2.37991319743925e-05,3.0718870065027e-05,1.36206421339787e-05,8.66643406297423e-06,2.93406906687486e-05,9.9973763909452e-06,3.28825726528276e-05,4.99292185191504e-05,5.33650959158229e-05,0.000253457797795141,0.0115368436254774,0.000276131889822725,4.17543264753648e-05,2.51232092805024e-05,1.83647572141836e-05,1.68791247552263e-05,1.26829510641637e-05,1.80664076808843e-05,9.62962275672344e-06,2.31889694422102e-05,2.0567857593852e-05,1.80396766174034e-05,3.23702323099105e-06,2.27688893462509e-05,1.2056017581245e-05,4.66641599887693e-06,6.47607316946958e-06,1.38491524412535e-05,1.49682155084761e-05,1.76923673281297e-07,2.57044632858208e-06,2.19564424415079e-05,8.31983216486283e-06,9.66448605924835e-06,2.70671341219148e-05,1.4336746024092e-05,-3.87006282512288e-07,1.4225219616184e-05,1.27692690508517e-05,1.91734004216659e-05,1.37751978192935e-05,8.26341000571017e-06,3.30641608541776e-05,0.000489522820943394,0.000454898359437463,0.000658784656276373,0.000329920816113765,0.00126528838792365,0.00618574129399521,0.00112195407236724,0.000608594112878818,0.0005272287972207,0.000180899854048315,0.000467460724908546,0.000460431484625789,0.000498092235770259,0.000421068485609169,0.000342433968596591,0.000346003280327681,0.000212262506574059,0.000517185860979568,0.000451945196153115,0.000504717739608462,0.00030625495602844,0.000212028919845185,0.000224855619725164,0.000244523503225179,0.000478313605817803,0.000381280916913391,0.000243032250487933,0.000247270495815217,0.000162260078413867,0.000230270620183596,0.000386815620821329,0.000340494950265496,0.000274369820874308,0.000203724775203702,0.000114847437816641,1.29595042226928e-05,1.00853619218492e-05,7.70825307972372e-06
"Total_1988",2.14214671228642e-05,3.43688530956125e-05,7.74954508993406e-05,4.8711887489961e-05,6.06789103957198e-05,0.000277436800131969,0.0134269316772616,0.000158315305703511,6.02247890174214e-05,4.40919692763665e-05,4.12498618136278e-05,1.90633306540107e-05,3.31865956841998e-05,4.23227557767638e-05,2.94662205264287e-05,3.24064981854214e-05,1.40088927485596e-05,3.61881862848112e-05,4.85628430266648e-05,2.37559276091266e-05,2.22013921439247e-05,2.68817899097758e-05,1.23509492925222e-05,2.54519084010205e-05,2.06918476049018e-05,1.53244763290972e-05,1.95576453255167e-05,4.89760471609172e-05,3.20687921939389e-05,3.08022609309403e-05,1.47981121936438e-05,1.86965654915432e-05,1.87886349612076e-05,1.59979704948876e-05,4.12385861951981e-05,3.03972906267448e-05,2.74095704128305e-05,4.17924860945172e-05,2.18135917825043e-05,3.48972987790953e-05,7.80775386931514e-05,4.67891247034267e-05,6.0790662151126e-05,0.000279843505173987,0.0134437849197354,0.000159350914906366,6.05059005751863e-05,4.38162107369203e-05,4.09828540716141e-05,1.85247271428618e-05,3.26903942061084e-05,4.19819554192554e-05,2.88719551341988e-05,3.19557714125589e-05,1.31118850089571e-05,3.60313419148109e-05,4.8172571722732e-05,2.31294387814982e-05,2.17056321051131e-05,2.56636750284505e-05,1.1078067871111e-05,2.4626904934061e-05,2.04407159670582e-05,1.51075720735177e-05,1.9258148476821e-05,4.88584573717456e-05,3.20780234416051e-05,3.09348778500987e-05,1.46050269663967e-05,1.8371420374688e-05,1.84738378182844e-05,1.43160985773609e-05,4.1672833377469e-05,3.52312504003757e-05,3.29508825073936e-05,4.77419091919141e-05,-7.0113437653716e-05,-1.00926145378843e-05,-8.33903882044396e-06,8.78806351704489e-05,4.99489520256683e-05,-9.81245188564744e-05,0.00251978023431319,-5.77531153200627e-05,-6.45266419392303e-07,5.59790431656369e-05,6.68418315525467e-05,6.36169983144066e-05,9.65787672878232e-05,9.94202539094846e-05,7.48888273263117e-05,7.04747485013854e-05,5.09280331730846e-05,7.46988769494933e-05,0.000107728095857677,0.00010790841419427,6.66721061532253e-05,8.16140766913135e-05,6.76544452711423e-05,9.57311185219253e-05,0.000129548640120583,0.000126792823179409,0.000128597903263369,0.000126410839047394,2.56242032206586e-05,6.5542421518088e-06,5.54742918354844e-05,6.6030018509911e-05,3.36549675468776e-05,4.34336592870674e-05,3.80743499515902e-05,9.71921552621938e-06,7.90025834077817e-06,7.22781458222252e-06
"Total_1989",2.21922000902966e-05,3.27545967739642e-05,7.02570454796e-05,5.39824363816873e-05,4.71403587980774e-05,4.44582122517845e-05,0.000158315305703511,0.00882696284164379,0.000212429835189292,4.35243388950318e-05,3.62797955658512e-05,3.04250926957806e-05,2.52999502434982e-05,2.26890116519938e-05,2.81677913586519e-05,4.24328482402658e-05,3.63752688298895e-05,1.88069367810954e-05,1.82303698157335e-05,2.51089159252742e-05,1.32399835780848e-05,2.37036329937032e-05,2.10382088163807e-05,3.15558404005333e-05,7.12736725926948e-06,1.48722009984832e-05,4.22722080735706e-05,1.97589642541881e-05,2.83245258107957e-05,5.0404413348846e-05,2.08083738278518e-05,1.14871608355369e-05,3.30997247270846e-05,2.47139929829227e-05,4.18202333229463e-05,1.80788373518077e-05,1.73954146804905e-05,4.89976194354176e-05,2.18584668430521e-05,3.13814110997077e-05,6.91711811456223e-05,4.97152123304971e-05,4.47218028024719e-05,4.29965277546236e-05,0.000158084661712257,0.00885563364978287,0.000211894972823678,4.20000059393257e-05,3.4030523995492e-05,2.78416912824137e-05,2.34540933273092e-05,2.15472377031923e-05,2.61095679724276e-05,4.07782533300329e-05,3.46438116139282e-05,1.80834839539011e-05,1.73478844359638e-05,2.3757682898743e-05,1.20292153631657e-05,2.1680211496885e-05,1.87400441455414e-05,3.04168754384309e-05,6.7090342839535e-06,1.46125661062717e-05,4.21039904668646e-05,1.96775576732364e-05,2.82621866313008e-05,5.03268035248185e-05,2.02481514163928e-05,1.05941328013097e-05,3.06511353319401e-05,1.93109823861792e-05,3.4011818776794e-05,2.00431025916132e-05,1.94957755014894e-05,5.66634082282042e-05,0.000100096612085678,0.000148289366607983,0.000230378271181319,0.000140910383676297,0.000279360470693594,0.000272551039630644,0.000307584441656187,0.00284511541590148,0.000328245428491311,0.000109233486147854,0.000251866390718446,0.000244125905297808,0.000261117221159412,0.000213981169859904,0.000185487858791542,0.000182179446418828,0.000107638769996556,0.000196439503787427,0.000152015431867348,0.000206611943801689,0.000121848428795487,0.000114619922861644,0.000120887683003765,0.000128580351326946,0.000188460098820681,0.000148300068262683,0.000103516562741367,7.33665240413877e-05,7.18452289793719e-05,6.45947932967219e-05,0.000138827280670999,0.000141490960104088,0.000148734650687289,0.000112851095296225,9.87179388707117e-05,9.67636276626402e-06,1.00006688113348e-05,4.46128924549955e-06
"Total_1990",4.96259015863827e-05,2.70213717574705e-05,6.11768664099411e-05,4.46389843172107e-05,6.27138611924338e-05,2.74313857376612e-05,6.02247890174214e-05,0.000212429835189292,0.0161845775586625,0.000195985715394375,6.60497114982523e-05,2.42171378807443e-05,3.84762969746846e-05,2.63425569372517e-05,3.20986324312638e-05,2.57819156232587e-05,3.36202417393591e-05,5.87677349257873e-05,2.62951645840923e-05,3.20531489231605e-05,3.54472602122092e-05,1.48199742312415e-05,1.81141522867286e-05,1.92138629012785e-05,3.66620896456711e-05,4.233607602044e-05,4.00262475484559e-05,8.38865842166996e-05,4.62398659429844e-05,4.00944765075319e-05,2.17334385254607e-05,4.52023973381246e-05,2.25404936288523e-05,2.28782200356434e-05,4.92973113861977e-05,2.43873855244219e-05,2.99933134127123e-05,3.24539987183762e-05,4.88276990044028e-05,2.60568739347039e-05,6.14011090991771e-05,4.06799990638677e-05,6.17632195080639e-05,2.61657710441033e-05,5.96374622351092e-05,0.000210445906945269,0.0162401353458527,0.000195957353951171,6.42104972516327e-05,2.16259646031578e-05,3.69915980722173e-05,2.51418031090566e-05,3.01963527233936e-05,2.3566243885941e-05,2.82266930870774e-05,5.80634448321883e-05,2.49870325379582e-05,3.12942186829809e-05,3.45146408047373e-05,1.12775037066209e-05,1.61472141489316e-05,1.83014464377903e-05,3.65635098879573e-05,4.21097674908459e-05,3.95559516659742e-05,8.37701621276358e-05,4.62161837272299e-05,3.936297248081e-05,2.09960980576115e-05,4.42988580915142e-05,2.03485924540829e-05,1.86593925869327e-05,4.7633416025871e-05,2.7498530918171e-05,3.25413538155803e-05,3.43388579318253e-05,0.000235952865900206,0.000108170655534028,2.81101073941711e-05,0.000125287775499929,0.000153990688652606,0.000224927927835875,0.000440333374698403,0.000626354549202133,0.00415445822385258,0.000197208287039012,0.000242333421477033,0.00023856084465009,0.000228153860950577,0.000227516170607768,0.000177499162772839,0.000212916897155395,0.000255608493674373,0.000231695191313372,0.000224608395574418,0.000133995696086027,0.000119105174730915,0.000173990111334348,0.000103572666774812,9.6939485791576e-05,7.93929710557839e-05,0.000158637333483662,0.00021125070134588,0.000160552426556526,6.27730749325411e-05,0.000173844555216758,0.000177064810865041,0.000176736380979738,0.000126053287794562,9.16982269246389e-05,6.14216456815448e-05,1.10789383892634e-05,2.1022420861749e-05,2.15034345219375e-05
"Total_1991",8.88921533339889e-06,4.27575879595821e-05,6.59042364562045e-05,5.71813508943516e-05,2.62662114508907e-05,2.20497903820955e-05,4.40919692763667e-05,4.35243388950319e-05,0.000195985715394375,0.0090784312575194,0.000215796588307131,4.16665608335977e-05,4.73943760590935e-05,2.0344775088612e-05,3.0916059582954e-05,3.5150300592317e-05,1.72161915125988e-05,1.94721843078491e-05,4.53005604041463e-05,3.39965529499586e-05,3.00407026010318e-05,2.70687887062933e-05,2.27051070734742e-05,3.18224110963394e-05,1.91638002843837e-05,4.06913328328256e-05,3.87736444388488e-05,2.57626741019436e-05,2.06394946728636e-05,4.85683632811581e-05,2.70724249507993e-05,1.27821588532026e-05,2.53113810978675e-05,2.03278850645158e-05,3.85369047091918e-05,3.64436318258078e-05,2.83842350096342e-05,4.93146662967158e-05,8.23255124021238e-06,4.08083023943115e-05,6.39859459272028e-05,4.83026345676125e-05,2.33850830444781e-05,2.05254327444274e-05,4.3760465431205e-05,4.29427107704852e-05,0.000196659840872095,0.00922660416010336,0.000216805316048014,3.89392442310429e-05,4.56895924410085e-05,1.92319194825323e-05,2.89965449605394e-05,3.32731126804299e-05,1.50333866848814e-05,1.8445748203593e-05,4.40177344535851e-05,3.1699737763835e-05,2.89829880556247e-05,2.57579953303884e-05,2.14167515236334e-05,3.10956619164632e-05,1.87180529812148e-05,4.0541592855113e-05,3.87886799925739e-05,2.57512665288428e-05,2.04929131953438e-05,4.86808214319745e-05,2.67895058321324e-05,1.25001282449867e-05,2.50511343813353e-05,2.01510415305286e-05,3.69551543951072e-05,3.89184156925726e-05,2.91491331825289e-05,5.48118026412399e-05,0.000162176400575744,0.00020676327440568,0.000348774776673761,0.000238050359792772,0.000302900683481202,0.000259922631059958,0.000258636004259061,0.000164874622526794,5.00149999688242e-05,0.00269116852837133,0.000119112763212539,0.000267272140815984,0.000265188841487253,0.000206791970600823,0.000177633938632391,0.000193697038047507,0.000107056305926714,0.000271497573104989,0.000239777379319962,0.000342513960801947,0.000124919913044088,8.59653017207341e-05,7.86809150087805e-05,9.37316761647534e-05,0.000212379685364034,0.000117643570256551,3.32995278879328e-05,3.32747468383052e-05,0.000122972073086581,2.80062255835443e-05,8.66734056103014e-05,5.38391572582604e-05,3.76015632971409e-05,2.32126613146293e-05,5.00626713150441e-05,2.58573280395308e-05,2.56912559996783e-05,1.73776685582508e-05
