"Year" "Model" "q"
"151" 2018 "CV10%" 1.08013266666667
"152" 2019 "CV10%" 1.10972666666667
"153" 1982 "CV05%" 0.906045666666667
"154" 1983 "CV05%" 0.8699395
"155" 1984 "CV05%" 0.835814166666667
"156" 1985 "CV05%" 1.33755166666667
"157" 1986 "CV05%" 0.7709985
"158" 1987 "CV05%" 1.26246433333333
"159" 1988 "CV05%" 1.232356
"160" 1989 "CV05%" 1.20591333333333
"161" 1990 "CV05%" 1.17783883333333
"162" 1991 "CV05%" 1.14667866666667
"163" 1992 "CV05%" 1.1147865
"164" 1993 "CV05%" 1.08441683333333
"165" 1994 "CV05%" 1.04973916666667
"166" 1995 "CV05%" 1.0098245
"167" 1996 "CV05%" 0.9640235
"168" 1997 "CV05%" 0.940793333333333
"169" 1998 "CV05%" 0.923446166666667
"170" 1999 "CV05%" 0.924037833333333
"171" 2000 "CV05%" 0.929583333333333
"172" 2001 "CV05%" 0.933103833333333
"173" 2002 "CV05%" 0.944217666666667
"174" 2003 "CV05%" 0.950961833333333
"175" 2004 "CV05%" 0.956103166666667
"176" 2005 "CV05%" 0.965933666666667
"177" 2006 "CV05%" 0.968632333333333
"178" 2007 "CV05%" 0.983968
"179" 2008 "CV05%" 0.9937215
"180" 2009 "CV05%" 1.00044233333333
"181" 2010 "CV05%" 1.00902033333333
"182" 2011 "CV05%" 1.00592383333333
"183" 2012 "CV05%" 1.00132316666667
"184" 2013 "CV05%" 0.999230166666667
"185" 2014 "CV05%" 0.994916666666667
"186" 2015 "CV05%" 0.984379833333333
"187" 2016 "CV05%" 0.972335333333333
"188" 2017 "CV05%" 0.9563985
"189" 2018 "CV05%" 0.947756
"190" 2019 "CV05%" 0.952597333333333
"191" 2007 "Layers" 1.65501325328784
"192" 2008 "Layers" 1.75717456521919
"193" 2009 "Layers" 1.87976813953681
"194" 2010 "Layers" 1.47112289181141
"195" 2011 "Layers" 1.40982610465261
"196" 2012 "Layers" 1.10334216885856
"197" 2013 "Layers" 1.22593574317618
"198" 2014 "Layers" 1.53241967897022
"199" 2015 "Layers" 1.32809705510753
"200" 2016 "Layers" 1.02161311931348
"201" 2017 "Layers" 1.08290990647229
"202" 2018 "Layers" 1.00118085692721
