"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1982,1,"All",3898989.03105194,0.0989948316853987,326585.976729583
1983,1,"All",10218378.6810923,0.0888310945064178,749088.220699119
1984,1,"All",7691253.77115311,0.108916297650703,686571.670627284
1985,1,"All",9017464.21155473,0.101901886859065,746016.321658596
1986,1,"All",7744298.18895448,0.102448130056223,653293.558105509
1987,1,"All",7861422.96819007,0.104961784848516,690472.485961848
1988,1,"All",11646802.5021564,0.1152515442648,1139491.84905688
1989,1,"All",10277159.9162546,0.0931192188975396,812115.445222539
1990,1,"All",12758670.605806,0.124766598757275,1336520.93887073
1991,1,"All",7633926.19319456,0.0932776086125763,588296.839751564
1992,1,"All",7151372.1927138,0.100870293983099,598408.438144624
1993,1,"All",8161937.70219993,0.0899306042023112,612538.015307908
1994,1,"All",7958378.48006311,0.102075284924365,679193.784070259
1995,1,"All",7897522.12481587,0.116150254631468,771982.959746884
1996,1,"All",4338005.25531751,0.0897883691822133,327085.989512709
1997,1,"All",5090788.43888748,0.0888491214373778,382363.092572448
1998,1,"All",3747080.69093444,0.0857845174832588,268469.054392892
1999,1,"All",5862714.76170878,0.109230551925892,534893.587683437
2000,1,"All",8143727.69802494,0.107010430467397,732183.315052285
2001,1,"All",6257070.36659326,0.0921351759801331,481442.572337525
2002,1,"All",7324316.55922106,0.0831142216825582,518080.234552609
2003,1,"All",12348481.4061879,0.0988503129025641,1006879.39290859
2004,1,"All",5863093.99316229,0.0912366106662328,447125.834894202
2005,1,"All",7455954.34562139,0.0956036486558144,597652.785258511
2006,1,"All",4575618.4595771,0.101205066683888,392920.361730558
2007,1,"All",7585614.13887403,0.123030264739538,776028.182642402
2008,1,"All",4822447.2104629,0.120633244067593,484959.213621818
2009,1,"All",3602352.64291137,0.139313166608599,423910.678099605
2010,1,"All",5867889.12853521,0.119497862538965,589762.174035999
2011,1,"All",4430175.85438325,0.0936406368163425,344775.124439329
2012,1,"All",5474391.29785156,0.0970025874344103,445442.776872638
2013,1,"All",6629162.59048643,0.0945053656668183,535992.241449894
2014,1,"All",12115938.9935485,0.0803927490759416,816383.769144196
2015,1,"All",10698769.3795209,0.0828136161169012,720684.952036527
2016,1,"All",9439032.91547158,0.113559657996694,832012.075559705
2017,1,"All",9060856.07428549,0.0785527896700923,593624.507535466
2018,1,"All",6062901.36436672,0.101524561213631,488589.58246775
1982,1,"EBS",3874827.35445226,0.099263681944391,326119.270916008
1983,1,"EBS",10010170.9677077,0.0888802230391936,739243.537517383
1984,1,"EBS",7607547.83826014,0.109247693588024,683781.690037651
1985,1,"EBS",8520107.45819034,0.104525291363853,731480.042832717
1986,1,"EBS",7650072.20029943,0.102805679771189,650333.896885508
1987,1,"EBS",7731960.82207938,0.105473715780397,686698.5273898
1988,1,"EBS",11618182.8359301,0.115403843043731,1139143.83814882
1989,1,"EBS",10171006.0876222,0.0935527623104357,810392.870127074
1990,1,"EBS",12666125.0140101,0.125245244192997,1335086.72598867
1991,1,"EBS",7420385.32288893,0.0950566672925435,585664.151352738
1992,1,"EBS",7059685.72964331,0.10120104976516,595567.200766013
1993,1,"EBS",7957924.00825714,0.0902525776927353,605467.463726984
1994,1,"EBS",7877074.35176121,0.102452720355396,677596.127249409
1995,1,"EBS",7838655.40572268,0.116545708649095,771152.736397982
1996,1,"EBS",4200781.71605911,0.0902468814195282,322556.461752699
1997,1,"EBS",4994386.25251134,0.0892080910399366,379402.438363656
1998,1,"EBS",3578595.32822072,0.0862536805598685,261930.996175779
1999,1,"EBS",5840795.83246769,0.109406523396074,534658.940230082
2000,1,"EBS",8053904.25574674,0.107466103044429,730445.600420127
2001,1,"EBS",6174008.74000256,0.0924995017804586,479496.887281352
2002,1,"EBS",7156443.79626893,0.0836229661243696,513909.697395331
2003,1,"EBS",11797141.6871646,0.0997938628472519,987738.448032218
2004,1,"EBS",5634168.80941791,0.092020555830795,439471.689538534
2005,1,"EBS",7297126.89849861,0.0964816630573225,594688.154525065
2006,1,"EBS",4558706.23199669,0.101397791205421,392774.108644197
2007,1,"EBS",7566104.17046755,0.123198941921131,775822.130124804
2008,1,"EBS",4808120.40827676,0.120840407087511,484813.854420446
2009,1,"EBS",3595507.59583092,0.13947192345702,423853.03015139
2010,1,"EBS",5857567.02033106,0.119657824552599,589705.668209971
2011,1,"EBS",4384086.75388286,0.0940506334735078,343792.619354197
2012,1,"EBS",5448380.59962386,0.0971935966213422,445053.66681122
2013,1,"EBS",6564843.61846016,0.09487691346792,534876.377306939
2014,1,"EBS",11594222.7710028,0.0800200238300608,790997.090653502
2015,1,"EBS",9573905.21633808,0.0758542436862171,614590.021128435
2016,1,"EBS",7503051.61807287,0.0916683535536776,571577.315696767
2017,1,"EBS",7317437.20989506,0.0903791819709993,555841.368708647
2018,1,"EBS",4496904.14075645,0.11602833437894,432592.299000364
1982,1,"NBS",24161.6765997439,0.589890502304973,8044.27433584581
1983,1,"NBS",208207.713384634,0.579281849015278,66863.4175021575
1984,1,"NBS",83705.9328929349,0.66157884942016,29546.0327446543
1985,1,"NBS",497356.753364353,0.379345717381254,122457.402510036
1986,1,"NBS",94225.9886550787,0.628985654979339,32057.4829179405
1987,1,"NBS",129462.146110732,0.637108941861817,43138.5263548998
1988,1,"NBS",28619.6662263096,0.585399796763342,9403.56496440142
1989,1,"NBS",106153.8286324,0.560298969555359,32961.8137363415
1990,1,"NBS",92545.5917957028,0.565129404499491,29606.883674633
1991,1,"NBS",213540.870305488,0.313727214364075,45721.1412038367
1992,1,"NBS",91686.4630704259,0.688625841749599,32685.1030428955
1993,1,"NBS",204013.69394283,0.698672333003978,71712.2117329558
1994,1,"NBS",81304.1283018977,0.727027735847961,29158.7939720639
1995,1,"NBS",58866.7190931639,0.684781833832901,20321.379910546
1996,1,"NBS",137223.539258387,0.649404450079733,44613.0818978069
1997,1,"NBS",96402.1863760926,0.626691432120045,31651.2537008447
1998,1,"NBS",168485.362713734,0.517210322564159,48009.0960106846
1999,1,"NBS",21918.9292411988,0.801414303496572,8030.99763313579
2000,1,"NBS",89823.4422782231,0.694064662483424,31359.0317605077
2001,1,"NBS",83061.6265906885,0.723391234077751,30104.4270931059
2002,1,"NBS",167872.762952069,0.586910460801533,51528.1003830651
2003,1,"NBS",551339.719023327,0.55787415344979,160730.465939457
2004,1,"NBS",228925.183744405,0.525148261772774,65606.3130920578
2005,1,"NBS",158827.447122789,0.527985922132095,46260.4364013515
2006,1,"NBS",16912.2275804445,0.678187962129226,5982.69932995228
2007,1,"NBS",19509.9684062661,0.656294314195341,6765.45160705196
2008,1,"NBS",14326.8021860862,0.578090210825675,4679.51948204368
2009,1,"NBS",6845.04708044021,0.602338956193914,2335.22672040586
2010,1,"NBS",10322.1082041664,0.306115772655195,2164.21647625598
2011,1,"NBS",46089.1005004108,0.5280406922707,13991.554127591
2012,1,"NBS",26010.6982276718,0.701454268126351,9138.54367053728
2013,1,"NBS",64318.9720261719,0.63190204408453,21466.7024145131
2014,1,"NBS",521716.222545839,0.616486157771504,166422.514576268
2015,1,"NBS",1124864.16318284,0.563407228441015,338181.684012226
