"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1982,1,"All",3914587.10690435,0.0992701349777359,328047.048184678
1983,1,"All",10312949.8546756,0.0901727502061024,764403.907656438
1984,1,"All",7817542.16834729,0.111419048943401,710015.428975618
1985,1,"All",9094755.99890215,0.102786686926212,754355.958873445
1986,1,"All",7661401.83001703,0.101893019925892,641713.795354094
1987,1,"All",7974057.82950225,0.107618264912826,719275.93023907
1988,1,"All",11577973.6064932,0.116175227765182,1140624.14110936
1989,1,"All",10464608.9469111,0.0942232098150051,834821.53605264
1990,1,"All",12930847.2181096,0.127351128815974,1377672.95044626
1991,1,"All",7769210.78505136,0.0952190059987774,607645.019441966
1992,1,"All",7131642.69589012,0.102171362822657,602841.800155372
1993,1,"All",8337155.86647333,0.0913956170956268,634242.849389996
1994,1,"All",7954842.1995626,0.102983554232472,683482.849888353
1995,1,"All",7887540.29716986,0.11919299174361,790755.719760796
1996,1,"All",4401881.92142632,0.0914699904906837,338685.699716899
1997,1,"All",5119358.11184647,0.089494745525199,386145.825988646
1998,1,"All",3737413.83579575,0.0866045726664503,271019.666906821
1999,1,"All",5536361.79632816,0.105502423248084,493179.349441587
2000,1,"All",8262275.14698637,0.109895374560447,759825.170019894
2001,1,"All",6298249.30243705,0.0930321160599943,487325.113196164
2002,1,"All",7400929.19405666,0.0841390431578837,530013.612991057
2003,1,"All",12304955.9648302,0.0998387844336465,1017871.39283125
2004,1,"All",5864872.09322447,0.0918397955726244,450298.032092426
2005,1,"All",7610149.3169247,0.0980447264137629,624421.700946433
2006,1,"All",4571996.26485413,0.10186671929709,394268.968341615
2007,1,"All",7617262.26309205,0.124627916976126,787395.466255337
2008,1,"All",4744316.4900332,0.121137193497354,479386.185064603
2009,1,"All",3610970.1686774,0.141337181238354,431284.467246949
2010,1,"All",5839659.75734358,0.119599005240299,586255.983157108
2011,1,"All",4544642.13757702,0.0959084992545011,360414.208354937
2012,1,"All",5173943.17150642,0.0914816866021531,400285.986979727
2013,1,"All",6661162.54958842,0.0949569534189109,539952.694488873
2014,1,"All",12182094.9002764,0.0810446412247665,827554.932860335
2015,1,"All",10602307.7170744,0.0815494751414406,704831.699138063
2016,1,"All",9198643.58452197,0.109706182245867,790447.082768631
2017,1,"All",9066957.19723023,0.0794987005107531,600320.039908045
2018,1,"All",6002474.61740638,0.101572881787705,490093.879791981
1982,1,"EBS",3890712.15395543,0.0995331552018762,327612.533047187
1983,1,"EBS",10136321.9668692,0.0902635765109901,756587.698443373
1984,1,"EBS",7735499.838345,0.111739862971812,707406.106636572
1985,1,"EBS",8547723.73972083,0.105421089331235,737256.274665003
1986,1,"EBS",7538496.80521432,0.102260076376022,637513.595112551
