"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1991,1,1,368955.810132382,0.185413291703276,68409.3112496939
1992,1,1,22587.2625710198,0.330761398460525,7470.99455538557
1993,1,1,22587.2625710198,0.330761398460525,7470.99455538557
1994,1,1,401438.306206938,0.181800545635473,72981.7031074013
1995,1,1,22587.2625710198,0.330761398460525,7470.99455538557
1996,1,1,22587.2625710198,0.330761398460525,7470.99455538557
1997,1,1,709693.262173987,0.158156121880232,112242.334069968
1998,1,1,22587.2625710198,0.330761398460525,7470.99455538557
1999,1,1,22587.2625710198,0.330761398460525,7470.99455538557
2000,1,1,721956.166238881,0.152609971469304,110177.709931804
2001,1,1,22587.2625710198,0.330761398460525,7470.99455538557
2002,1,1,646124.37245334,0.156418569804646,101065.850255076
2003,1,1,22587.2625710198,0.330761398460525,7470.99455538557
2004,1,1,1037042.87652585,0.158494025648494,164365.100270676
2005,1,1,22587.2625710198,0.330761398460525,7470.99455538557
2006,1,1,1068478.071292,0.165408056980497,176734.881698678
2007,1,1,22587.2625710198,0.330761398460525,7470.99455538557
2008,1,1,22587.2625710198,0.330761398460525,7470.99455538557
2009,1,1,22587.2625710198,0.330761398460525,7470.99455538557
2010,1,1,1420810.21403357,0.159630950027837,226805.284275433
2011,1,1,22587.2625710198,0.330761398460525,7470.99455538557
2012,1,1,1416892.95360251,0.143985593453698,204012.17278482
2013,1,1,22587.2625710198,0.330761398460525,7470.99455538557
2014,1,1,1666207.17766891,0.139959993186253,233202.345233426
