"","Catch","Scen.1","Scen.2","Scen.3","Scen.4","Scen.5","Scen.6","Scen.7"
"1","2017","1350","1350","1350","1350","1350","1350","1350"
"2","2018","2811.16656","1390","1679.36191","1221.53946","0","3502.65635","2811.16656"
"3","2019","2266.20184","1390","1554.85671","1191.52457","0","2574.96256","2266.20184"
"4","2020","1784.71345","2415.00977","1376.8742","1100.77888","0","1761.83196","2202.38927"
"5","2021","1535.01836","1943.65931","1293.65825","1060.4005","0","1571.569666","1716.01601"
"6","2022","1526.642311","1712.877788","1279.722882","1060.481887","0","1615.590786","1664.806523"
"7","2023","1576.194196","1656.456445","1301.736266","1084.386115","0","1688.315408","1703.92193"
"8","2024","1610.604227","1644.098774","1321.320803","1105.194432","0","1725.615512","1730.072293"
"9","2025","1627.661266","1642.30961","1335.131245","1119.855953","0","1737.558717","1738.555055"
"10","2026","1627.47495","1631.80669","1339.294215","1126.628542","0","1731.543325","1731.738863"
"11","2027","1623.91422","1625.958451","1337.775729","1128.124982","0","1722.861379","1722.878247"
"12","2028","1608.447687","1610.708756","1330.98645","1124.40358","0","1704.196389","1704.143644"
"13","2029","1600.787481","1601.891473","1326.759906","1122.043097","0","1697.572494","1697.512688"
"14","2030","1602.092701","1601.98186","1327.005394","1122.538659","0","1701.810145","1701.764508"
"15","SSB","Scen.1","Scen.2","Scen.3","Scen.4","Scen.5","Scen.6","Scen.7"
"16","2017","4015.8","4015.8","4015.8","4015.8","4015.8","4015.8","4015.8"
"17","2018","3694.3","3862.57","3830.07","3881.11","4008.14","3603.46","3694.3"
"18","2019","2976.03104","3587.83749","3465.60253","3670.66189","4236.34975","2689.79756","2976.03104"
"19","2020","2568.85759","3230.10349","3214.26788","3515.88112","4440.16913","2255.87254","2513.15327"
"20","2021","2489.7177","2846.14648","3180.21028","3542.39714","4768.85304","2222.66056","2316.63214"
"21","2022","2526.63914","2697.15744","3211.34031","3611.54755","5088.28852","2278.64039","2313.03132"
"22","2023","2566.49442","2646.11716","3243.95252","3668.32683","5348.47583","2319.83363","2331.75219"
"23","2024","2599.33665","2634.62262","3269.69208","3704.65832","5516.30716","2348.82818","2352.3135"
"24","2025","2605.5246","2620.59474","3273.34469","3714.00787","5617.69962","2350.88446","2351.53925"
"25","2026","2598.79911","2606.46903","3278.65134","3735.3555","5789.48729","2339.21184","2339.35866"
"26","2027","2590.76804","2595.72021","3279.52269","3749.92072","5951.47533","2329.52461","2329.60648"
"27","2028","2574.77308","2577.69808","3264.22426","3739.11072","6020.49572","2314.85233","2314.88001"
"28","2029","2575.1013","2576.51066","3260.14841","3734.93201","6055.74068","2317.51992","2317.52156"
"29","2030","2584.57217","2585.23943","3265.80172","3740.3183","6091.49855","2328.23321","2328.22055"
"30","F","Scen.1","Scen.2","Scen.3","Scen.4","Scen.5","Scen.6","Scen.7"
"31","2017","0.195821","0.195821","0.195821","0.195821","0.195821","0.195821","0.195821"
"32","2018","0.403945","0.182681799","0.224538","0.158976","0","0.528271","0.403945"
"33","2019","0.403945","0.191622182","0.224538","0.158976","0","0.528271","0.403945"
"34","2020","0.396783927","0.403945","0.224538","0.158976","0","0.468526621","0.512507866"
"35","2021","0.372613788","0.398301554","0.224538","0.158976","0","0.448111714","0.462793869"
"36","2022","0.368467241","0.381396229","0.224538","0.158976","0","0.450263112","0.455156412"
"37","2023","0.369131964","0.374461303","0.224538","0.158976","0","0.455031263","0.456566175"
"38","2024","0.370317001","0.372264769","0.224538","0.158976","0","0.457833924","0.458252777"
"39","2025","0.369918449","0.370636084","0.224538","0.158976","0","0.456299208","0.456366987"
"40","2026","0.369464103","0.369528074","0.224538","0.158976","0","0.455054603","0.455068632"
"41","2027","0.370058197","0.370023417","0.224538","0.158976","0","0.455131965","0.455143464"
"42","2028","0.368863735","0.368954998","0.224538","0.158976","0","0.453038108","0.453042154"
"43","2029","0.368253454","0.368307291","0.224538","0.158976","0","0.45247871","0.452478576"
"44","2030","0.367560222","0.367509568","0.224538","0.158976","0","0.451745129","0.451743043"
