Year,Pacific Cod,Yellowfin Sole,Rock Sole,Flathead Sole,Other flatfish,Other fisheries,Total
1997,33658.04,24100.63,9123.25,2983.47,75.85,14.53,69955.77
1998,10468.81,15339.11,3960.25,2369.97,342.38,941.06,33421.58
1999,21131.17,8701.48,5207.26,4040.65,406.75,1197.6,40684.91
2000,14508.66,13425.34,5480.98,6467.58,228.64,520.18,40631.38
2001,11570.74,16502.74,4577.63,4337.87,270.98,488.18,37748.14
2002,15255.83,14489.81,9942.46,1934.1,210.83,51.59,41884.62
2003,15926.103,11578.853,4924.536,2983.927,381.796,260.564,36055.779
2004,18650.093,10383.687,8975.937,5162.946,625.755,198.241,43996.659
2005,14109.562,10312.793,7235.358,3662.825,1133.072,220.987,36674.597
2006,15168.302,5966.926,6986.135,2663.535,1109.398,144.134,32038.43
2007,20319.683,4020.85,3245.027,3417.651,616.067,276.143,31895.421
2008,9533.71,9827.916,4930.628,4102.526,713.095,17.118,29124.993
2009,7875.521,7036.651,6171.64,3160.548,324.743,13.521,24582.624
2010,6409.327418,5156.40712,6097.1662,2997.11713,316.32126,85.90093724,21062.24007
2011,8987.505325,8673.65074,6931.31148,1473.59278,704.76224,306.1960151,27077.01858
2012,8381.051821,11199.49824,6703.63185,903.03514,824.8327743,413.1035175,28425.15334
2013,9096.025808,20171.60007,7327.95243,2010.26952,1948.72915,238.3525938,40792.92957
2014,11508.53989,24700.98603,11270.14398,4106.4827,1986.58295,202.5980256,53775.33358
2015,9076.838084,21281.59379,9381.86806,2632.66813,1615.30071,429.6870817,44417.95586
2016,9093.972868,22323.58932,11848.87002,1666.25615,1274.76462,450.1775158,46657.63049
2017,8345.909279,23433.1512,5617.38722,1956.00729,1315.63779,512.8443415,41180.93712
2018,6262.244881,20371.90609,5182.01104,2608.30747,668.80445,117.365423,35210.63935
