Year,Bairdi.Crab.,Blue.King.Crab,Chinook.Salmon,Golden.King.Crab,Halibut.catch,Herring,Non-Chin. salmon,Opilio.Crab,Other.King.Crab,Red.King.Crab.
1991,249836.23,0,31702.68,0,525.49512,3095.00049,23304.81,1681668.81,14937.8,535.43
1992,1042484.39,0,28760.05,0,1651.03803,630.84627,39741.92,3558922.03,12675.4,7885.43
1993,387357.89,0,32533.86,0,634.30546,519.95868,239384.78,215733.39,394.57,9342.41
1994,149066.38,0,29816.74,0,611.53019,1528.59324,84718.2,302281.12,34.4,666.81
1995,46286.86,0,8800.31,0,157.06908,798.06591,14509.33,59936.49,521.59,2013.04
1996,18554.79,0,50282.87,0,229.34544,1168.12863,74423.13,42329.21,198.14,2572.4
1997,6525.02,0,43329.06,0,160.41384,1088.91843,61504.42,88589.34,156.24,0
1998,38100.01,0,50835.67,0,200.1246,749.61622,59570.87,55197.38,1836.69,9560.02
1999,1077.98,0,10331.35,0,84.68437,784.74265,44586.68,12783.42,2.24,0
2000,173.33,0,3967.57,0,91.78018,481.67203,56715.48,1807.88,103.66,0
2001,86.33,0,30118.22,0,195.55577,224.3996,52857.54,2179.85,5136.06,38.52
2002,651.94,0,32249.99,0,151.28952,108.10885,77101.04,1669.25,81.12,5.54
2003,723.7047655,8.77686927,42146.67033,0,86.37883346,947.5610659,178224.2482,607.2530498,0,52.01925714
2004,1078.472721,4.00002584,48171.21687,1.782334381,93.59972685,1064.58249,439122.8226,633.0039569,0,8.99962875
2005,592.3696952,0,64018.10535,1.224677265,100.5731538,421.3375265,695006.8164,1913.68785,0,0
2006,964.061074,0,77883.6317,0,119.3732166,219.7839192,290862.4463,2547.22101,0,25.19806056
2007,826.9540137,0,104078.0901,3.00371335,274.7128857,345.1594905,82410.09384,2713.864734,0,7.542333046
2008,798.5150072,8.015951843,18507.43781,3.107151568,253.2672804,124.8045049,13161.44165,4322.906223,0,27.51963842
2009,849.6729087,0,8163.686865,0,254.0116486,64.72867812,41833.48376,2999.233645,0,34.14117711
2010,838.4289291,28.78080208,7320.523622,0,135.2395053,189.7572355,12731.13,4337.447144,0,16.34785929
2011,2929.673222,25.99999999,24100,0,258.0479101,345.6131944,185279,4405.387751,0,3.999999999
2012,1137.051782,0,9850,0,313.36414,2166.53671,20115,2851.763387,0,2.99999993
2013,1576.95003,6.001389245,11454,4.000926154,129.6481231,958.9054486,123792,3746.729809,0,0
2014,885.9381005,0,14425,0,134.8103349,151.2869103,218067,3330.682495,0,7.000000022
2015,1179.719672,0,17583,0,117.6878672,1387.536221,236185,2942.193533,0,0
2016,468.2845119,0,21222,0,98.00233996,1425.071894,338818,833.237943,0,6.001560316
2017,327.9999994,0,29517,0,76.91156715,957.3552756,466484,288,0,22.98795839
2018,898.6592349,0,13503,0,48.37186925,304.4879336,280424,276.0000004,0,14.2250866
