"SSB","Scenario 1","Scenario 2","Scenario 3","Scenario 4","Scenario 5","Scenario 6","Scenario 7"
2018,3559.29,3559.29,3559.29,3559.29,3559.29,3559.29,3559.29
2019,3004.65,3126.95,3119.29,3178.55,3302.79,2922.07,3004.65
2020,2346.4518,2708.58648,2715.31515,2931.87243,3445.84265,2134.7869,2346.4518
2021,2149.26882,2455.52782,2594.12435,2897.07834,3701.78837,1950.95873,2110.02351
2022,2225.36943,2357.66614,2666.6526,3020.58814,4055.0439,2037.87624,2093.5194
2023,2345.21091,2403.6761,2793.88663,3186.32489,4422.61997,2148.19793,2167.32795
2024,2429.04684,2456.1947,2902.85241,3329.71612,4755.06798,2213.23883,2220.15426
2025,2475.4126,2488.34161,2976.99908,3432.86178,5028.62544,2244.02198,2246.64371
2026,2490.48967,2496.63331,3015.43864,3494.85667,5240.79922,2249.3216,2250.28092
2027,2482.14974,2484.98576,3024.68122,3523.41684,5401.38378,2235.5569,2235.85799
2028,2470.15759,2471.54351,3022.41629,3534.47869,5517.05355,2222.44521,2222.49355
2029,2455.16611,2455.69347,3012.01916,3533.15612,5599.80754,2208.69661,2208.67126
2030,2455.44429,2455.61726,3013.63234,3541.22531,5678.30045,2210.58921,2210.55909
2031,2464.63811,2464.68228,3022.63525,3554.47626,5748.10667,2220.9343,2220.9138
