Year,Pacific Cod,Flathead Sole,Rock Sole,Yellowfin Sole,Arrowtooth Flounder,Pacific Ocean Perch,Atka Mackerel,Sablefish,Greenland Turbot,Alaska Plaice,Skates,Squid,Sharks,Sculpin,All other,Total
1997,8263,2350,1523,606,985,428,83,2,124,0,,1369,,,1693,17426
1998,6255,2048,770,1745,1713,617,10,2,174,0,,544,,,1732,15609
1999,3220,1885,1059,350,273,121,158,7,30,0,,419,,,1428,8950
2000,3433,2510,2688,1466,979,21,2,12,52,0,,355,,,5999,17518
2001,3879,2199,1673,594,530,574,41,21,68,0,,1730,,,3880,15191
2002,5883,1844,1886,768,607,542,221,34,70,0,,1312,,,2298,15466
2003,5968,1500,1418,210,618,935,762,48,40,6,571,788,294,81,1020,14258
2004,6437,2104,2554,841,557,394,1053,17,18,8,841,977,187,150,469,16605
2005,7413,2352,1125,63,651,652,678,11,31,45,732,1150,169,131,502,15704
2006,7291,2862,1361,256,1089,736,789,9,65,11,1308,1399,512,169,630,18486
2007,5630,4226,510,86,2795,625,315,12,107,3,1287,1169,245,190,731,17929
2008,6971,4315,2150,552,1715,336,15,5,85,58,2756,1452,144,281,442,21277
2009,7875,4666,7591,271,2202,114,25,3,44,173,3856,209,100,292,294,27716
2010,6965,4358,2242,1056,1466,231,57,2,26,119,1886,277,26,258,296,19264
2011,10040,4886,8481,1083,1589,660,894,1,25,74,2352,177,66,315,544,31186
2012,10061,3968,6701,1496,745,712,263,1,53,137,2018,495,55,286,507,27502
2013,8958,3147,6319,2087,965,611,70,0,21,148,1751,117,43,219,241,24697
2014,5212,2554,4359,1954,737,1299,117,0,29,318,809,1477,75,190,422,19552
2015,8303,2260,1709,863,403,2516,192,0,41,99,824,2206,52,187,342,19995
2016,4975,1628,1142,882,282,3272,69,19,29,39,461,1164,58,124,517,14663
2017,5951,956,1825,608,208,4818,64,102,18,46,509,1887,93,81,323,17489
2018,4264,1038,1145,788,263,4091,546,447,30,104,583,1644,63,58,322,15384
