"","Stock","Alt","Sim","Yr","SSB","Rec","Tot_biom","SPR_Implied","F","Ntot","Catch","ABC","OFL","AvgAge","AvgAgeTot","SexRatio","FABC","FOFL"
"1","EBS_Pollock_2018",1,1,2018,3559.29,26774.3,11904.2,0.533819,0.251205,12416,1350,2310.79,2853.5,4.81433,2.41355,0.5,0.465179,0.603371
"2","EBS_Pollock_2018",1,1,2019,3004.65,20670,11130.2,0.4,0.465179,10667.3,2163.41,2163.41,2659.86,4.55555,2.38162,0.5,0.465179,0.603371
"3","EBS_Pollock_2018",1,1,2020,2347.13,13485.6,9989.22,0.403248,0.457748,8657.49,1534.99,1534.99,1860.1,3.9612,2.59358,0.5,0.457748,0.580066
"4","EBS_Pollock_2018",1,1,2021,2176.86,21159.8,9452.22,0.419534,0.422755,8509.07,1195.05,1195.05,1461.83,3.79036,2.34253,0.5,0.422755,0.537838
"5","EBS_Pollock_2018",1,1,2022,2238.57,48195.8,9166.59,0.413434,0.435439,8931.87,1251,1251,1532.66,4.01123,1.78789,0.5,0.435439,0.554126
"6","EBS_Pollock_2018",1,1,2023,2190.74,14574.6,9783.78,0.418143,0.425606,8479.83,1235.94,1235.94,1514.36,3.92279,2.37706,0.5,0.425606,0.541398
"7","EBS_Pollock_2018",1,1,2024,2102.18,33953,10993.2,0.427241,0.407405,8198.01,1161.46,1161.46,1421.37,3.22685,2.09487,0.5,0.407405,0.518253
"8","EBS_Pollock_2018",1,1,2025,2373.78,47595.4,11404.3,0.400846,0.463229,10271.6,1303.02,1303.02,1591.04,3.48248,1.91754,0.5,0.463229,0.589713
"9","EBS_Pollock_2018",1,1,2026,2672.73,8455.52,12701.6,0.4,0.465179,11220.4,1558.79,1558.79,1942.56,3.62052,2.73337,0.5,0.465179,0.603371
"10","EBS_Pollock_2018",1,1,2027,2791.81,14119,13489.4,0.4,0.465179,11446.5,1584.53,1584.53,1968.85,3.32715,2.84106,0.5,0.465179,0.603371
"11","EBS_Pollock_2018",1,1,2028,3072.49,25714,12577.8,0.4,0.465179,13066.7,1807.67,1807.67,2239.07,3.81273,2.42758,0.5,0.465179,0.603371
"12","EBS_Pollock_2018",1,1,2029,3112.11,59654.9,11486,0.4,0.465179,12528,1902.84,1902.84,2366.97,4.36259,1.77544,0.5,0.465179,0.603371
"13","EBS_Pollock_2018",1,1,2030,2719.43,8370.97,11686.2,0.4,0.465179,10153.2,1757.88,1757.88,2174.87,4.05528,2.60312,0.5,0.465179,0.603371
"14","EBS_Pollock_2018",1,1,2031,2340.34,37669.2,12617,0.403866,0.456353,9076.31,1545.51,1545.51,1870.44,3.11207,2.11205,0.5,0.456353,0.578329
"15","EBS_Pollock_2018",1,2,2018,3559.29,17938.7,11904.2,0.533819,0.251205,12416,1350,2310.79,2853.5,4.81433,2.72254,0.5,0.465179,0.603371
"16","EBS_Pollock_2018",1,2,2019,3004.65,15821.9,10907.7,0.4,0.465179,10667.3,2163.4,2163.4,2659.86,4.57067,2.60267,0.5,0.465179,0.603371
"17","EBS_Pollock_2018",1,2,2020,2344.93,5830.85,9198.18,0.403448,0.457297,8628.75,1533.16,1533.16,1857.93,4.23082,3.09152,0.5,0.457297,0.579493
"18","EBS_Pollock_2018",1,2,2021,2079.81,13561.4,8120.78,0.429622,0.402807,7833.43,1136.18,1136.18,1391.62,4.13747,2.62591,0.5,0.402807,0.512434
"19","EBS_Pollock_2018",1,2,2022,1991.39,13047,7234.31,0.439381,0.384638,7530.11,1033.88,1033.88,1270.45,4.46398,2.51492,0.5,0.384638,0.489833
"20","EBS_Pollock_2018",1,2,2023,1823.24,12663.9,6731.32,0.459637,0.350081,6582.24,917.415,917.415,1130.17,4.48218,2.45731,0.5,0.350081,0.445964
"21","EBS_Pollock_2018",1,2,2024,1636.88,26869.5,6387.81,0.485123,0.311791,5843.58,741.415,741.415,915.634,4.24949,1.93732,0.5,0.311791,0.397659
"22","EBS_Pollock_2018",1,2,2025,1557.29,15650.4,6618.03,0.497146,0.295442,5724.67,669.633,669.633,829.18,4.1302,2.23491,0.5,0.295442,0.377199
"23","EBS_Pollock_2018",1,2,2026,1557.49,19853.9,7387.74,0.49711,0.29549,5850.51,626.917,626.917,778.764,3.63426,2.20498,0.5,0.29549,0.377684
"24","EBS_Pollock_2018",1,2,2027,1735.89,15748.6,7955.81,0.471138,0.332147,6948.25,732.27,732.27,906.478,3.6661,2.39032,0.5,0.332147,0.424373
