Sci,Year,vessel,AreaSwept,Lat,Lon,LAT,LON,Num
MN,2002,1,0.000001,55,-166,55,-166,355.459
MN,2002,1,0.000001,55.5,-166,55.5,-166,2007.41574
MN,2002,1,0.000001,55.5,-164,55.5,-164,0
MN,2002,1,0.000001,55.5,-163,55.5,-163,13.05465
MN,2002,1,0.000001,56,-166,56,-166,3950.82734
MN,2002,1,0.000001,56,-164,56,-164,0
MN,2002,1,0.000001,56,-163,56,-163,0
MN,2002,1,0.000001,56,-163,56,-163,0
MN,2002,1,0.000001,56,-162,56,-162,0
MN,2002,1,0.000001,56,-161,56,-161,0
MN,2002,1,0.000001,56.5,-166,56.5,-166,3.83697
MN,2002,1,0.000001,56.5,-165,56.5,-165,0
MN,2002,1,0.000001,56.5,-164,56.5,-164,0
MN,2002,1,0.000001,56.5,-163,56.5,-163,0
MN,2002,1,0.000001,56.5,-162,56.5,-162,1.38411
MN,2002,1,0.000001,56.5,-161,56.5,-161,0.7847
MN,2002,1,0.000001,57,-166,57,-166,0
MN,2002,1,0.000001,57,-165,57,-165,0
MN,2002,1,0.000001,57,-164,57,-164,18.05112
MN,2002,1,0.000001,57,-163,57,-163,0
MN,2002,1,0.000001,57,-162,57,-162,0
MN,2002,1,0.000001,57,-161,57,-161,0
MN,2002,1,0.000001,57.5,-164,57.5,-164,0
MN,2002,1,0.000001,57.5,-163,57.5,-163,0
MN,2002,1,0.000001,57.5,-162,57.5,-162,0
MN,2002,1,0.000001,57.5,-161,57.5,-161,0
MN,2002,1,0.000001,58,-168,58,-168,0
MN,2002,1,0.000001,58,-167,58,-167,0
MN,2002,1,0.000001,58,-165,58,-165,0
MN,2002,1,0.000001,58,-164,58,-164,0
MN,2002,1,0.000001,58,-163,58,-163,0
MN,2002,1,0.000001,58,-162,58,-162,0
MN,2002,1,0.000001,58.5,-168,58.5,-168,0
MN,2002,1,0.000001,58.5,-166,58.5,-166,0
MN,2002,1,0.000001,58.5,-165,58.5,-165,0
MN,2002,1,0.000001,58.5,-164,58.5,-164,0
MN,2002,1,0.000001,58.5,-163,58.5,-163,0
MN,2002,1,0.000001,58.5,-162,58.5,-162,0
MN,2002,1,0.000001,59,-168,59,-168,0
MN,2002,1,0.000001,59,-166,59,-166,0
MN,2002,1,0.000001,59,-165,59,-165,0
MN,2002,1,0.000001,59,-164,59,-164,0
MN,2002,1,0.000001,59.5,-168,59.5,-168,0
MN,2003,1,0.000001,55,-166,55,-166,281.66695
MN,2003,1,0.000001,55,-165,55,-165,456.31935
MN,2003,1,0.000001,55.5,-166,55.5,-166,1176.16502
MN,2003,1,0.000001,55.5,-165,55.5,-165,7941.483
MN,2003,1,0.000001,55.5,-164,55.5,-164,1554.02394
MN,2003,1,0.000001,55.5,-163,55.5,-163,0
MN,2003,1,0.000001,56,-166,56,-166,1.9188
MN,2003,1,0.000001,56,-165,56,-165,41.27855
MN,2003,1,0.000001,56,-164,56,-164,5.64898
MN,2003,1,0.000001,56,-163,56,-163,0
MN,2003,1,0.000001,56,-162,56,-162,0
MN,2003,1,0.000001,56.5,-166,56.5,-166,1.53672
MN,2003,1,0.000001,56.5,-165,56.5,-165,0
MN,2003,1,0.000001,56.5,-164,56.5,-164,0
MN,2003,1,0.000001,56.5,-163,56.5,-163,0
MN,2003,1,0.000001,56.5,-162,56.5,-162,0
MN,2003,1,0.000001,56.5,-161,56.5,-161,0
MN,2003,1,0.000001,57,-166,57,-166,0
MN,2003,1,0.000001,57,-165,57,-165,0
MN,2003,1,0.000001,57,-164,57,-164,0
MN,2003,1,0.000001,57,-163,57,-163,3.65255
MN,2003,1,0.000001,57,-162,57,-162,0
MN,2003,1,0.000001,57.5,-166,57.5,-166,0
MN,2003,1,0.000001,57.5,-165,57.5,-165,0
MN,2003,1,0.000001,57.5,-164,57.5,-164,0
MN,2003,1,0.000001,57.5,-163,57.5,-163,0
MN,2003,1,0.000001,57.5,-162,57.5,-162,0
MN,2003,1,0.000001,58,-170,58,-170,0
MN,2003,1,0.000001,58,-169,58,-169,0
MN,2003,1,0.000001,58,-168,58,-168,0
MN,2003,1,0.000001,58,-167,58,-167,0
MN,2003,1,0.000001,58,-166,58,-166,940.51935
MN,2003,1,0.000001,58,-165,58,-165,10.84204
MN,2003,1,0.000001,58,-164,58,-164,0
MN,2003,1,0.000001,58,-163,58,-163,0
MN,2003,1,0.000001,58,-162,58,-162,0
MN,2003,1,0.000001,58.5,-166,58.5,-166,29.49912
MN,2003,1,0.000001,58.5,-165,58.5,-165,0
MN,2003,1,0.000001,58.5,-164,58.5,-164,0
MN,2003,1,0.000001,58.5,-163,58.5,-163,0
MN,2003,1,0.000001,58.5,-162,58.5,-162,0
MN,2003,1,0.000001,59,-171,59,-171,0
MN,2003,1,0.000001,59,-170,59,-170,0
MN,2003,1,0.000001,59,-169,59,-169,0
MN,2003,1,0.000001,59,-168,59,-168,0
MN,2003,1,0.000001,59,-167,59,-167,0
MN,2003,1,0.000001,59,-166,59,-166,0
MN,2003,1,0.000001,59,-165,59,-165,0
MN,2003,1,0.000001,59,-164,59,-164,0
MN,2003,1,0.000001,59,-163,59,-163,0
MN,2004,1,0.000001,55,-166,55,-166,549.05725
MN,2004,1,0.000001,55,-165,55,-165,3226.781
MN,2004,1,0.000001,55.5,-167,55.5,-167,404.18301
MN,2004,1,0.000001,55.5,-166,55.5,-166,291.71142
MN,2004,1,0.000001,55.5,-165,55.5,-165,1352.26331
MN,2004,1,0.000001,55.5,-164,55.5,-164,1297.00992
MN,2004,1,0.000001,55.5,-163,55.5,-163,0
MN,2004,1,0.000001,56,-167,56,-167,372.03738
MN,2004,1,0.000001,56,-166,56,-166,1739.55648
MN,2004,1,0.000001,56,-165,56,-165,6521.88901
MN,2004,1,0.000001,56,-164,56,-164,1785.47782
MN,2004,1,0.000001,56,-163,56,-163,0
MN,2004,1,0.000001,56.5,-168,56.5,-168,21.51407
MN,2004,1,0.000001,56.5,-167,56.5,-167,81.44539
MN,2004,1,0.000001,56.5,-166,56.5,-166,1.99615
MN,2004,1,0.000001,56.5,-165,56.5,-165,8.052
MN,2004,1,0.000001,56.5,-164,56.5,-164,10.7646
MN,2004,1,0.000001,56.5,-163,56.5,-163,0
MN,2004,1,0.000001,56.5,-162,56.5,-162,0
MN,2004,1,0.000001,56.5,-161,56.5,-161,2.8962
MN,2004,1,0.000001,56.5,-160,56.5,-160,0
MN,2004,1,0.000001,57,-169,57,-169,15.7515
MN,2004,1,0.000001,57,-168,57,-168,0
MN,2004,1,0.000001,57,-166,57,-166,0
MN,2004,1,0.000001,57,-165,57,-165,0
MN,2004,1,0.000001,57,-164,57,-164,0
MN,2004,1,0.000001,57,-163,57,-163,0
MN,2004,1,0.000001,57,-162,57,-162,0
MN,2004,1,0.000001,57,-161,57,-161,0
MN,2004,1,0.000001,57,-160,57,-160,0
MN,2004,1,0.000001,57.5,-170,57.5,-170,0
MN,2004,1,0.000001,57.5,-169,57.5,-169,78.93015
MN,2004,1,0.000001,57.5,-168,57.5,-168,0
MN,2004,1,0.000001,57.5,-167,57.5,-167,0
MN,2004,1,0.000001,57.5,-166,57.5,-166,0
MN,2004,1,0.000001,57.5,-165,57.5,-165,0
MN,2004,1,0.000001,57.5,-164,57.5,-164,0
MN,2004,1,0.000001,57.5,-163,57.5,-163,0
MN,2004,1,0.000001,57.5,-162,57.5,-162,0
MN,2004,1,0.000001,57.5,-161,57.5,-161,0
MN,2004,1,0.000001,57.5,-160,57.5,-160,0
MN,2004,1,0.000001,58,-169,58,-169,0
MN,2004,1,0.000001,58,-168,58,-168,0
MN,2004,1,0.000001,58,-167,58,-167,0
MN,2004,1,0.000001,58,-166,58,-166,0
MN,2004,1,0.000001,58,-165,58,-165,0
MN,2004,1,0.000001,58,-164,58,-164,0
MN,2004,1,0.000001,58,-163,58,-163,0
MN,2004,1,0.000001,58,-162,58,-162,0
MN,2004,1,0.000001,58,-161,58,-161,0
MN,2004,1,0.000001,58,-160,58,-160,0
MN,2004,1,0.000001,58.5,-171,58.5,-171,0
MN,2004,1,0.000001,58.5,-170,58.5,-170,2.4375
MN,2004,1,0.000001,58.5,-169,58.5,-169,0
MN,2004,1,0.000001,58.5,-168,58.5,-168,3.84601
MN,2004,1,0.000001,58.5,-167,58.5,-167,0
MN,2004,1,0.000001,58.5,-166,58.5,-166,0
MN,2004,1,0.000001,58.5,-165,58.5,-165,0
MN,2004,1,0.000001,58.5,-164,58.5,-164,0
MN,2004,1,0.000001,58.5,-162,58.5,-162,0
MN,2004,1,0.000001,59,-171,59,-171,0
MN,2004,1,0.000001,59,-170,59,-170,0
MN,2004,1,0.000001,59,-169,59,-169,0
MN,2004,1,0.000001,59,-168,59,-168,0
