Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1991,389.574,113171.246,44377.118,88939.243,151831.858,181937.238,509695.986,81478.506,292863.183,29464.685,143946.716,18242.941,88287.567,21837.841,50005.35
1992,1963.817,88216.878,670812.79,130291.321,82898.781,110166.816,136177.829,254831.214,102726.463,152502.263,57876.973,45353.715,13708.389,43213.482,32332.071
1993,94.553,6917.374,243618.641,1144408.8,108022.22,73939.487,68533.705,53098.613,91647.46,20461.642,35213.79,10862.126,13502.848,7305.252,16014.065
1994,1167.769,35589.735,58612.068,347405.309,1067224.702,180474.844,57739.999,18728.566,12367.621,20247.034,9182.09,10150.168,7576.513,4058.436,8040.104
1995,0,362.234,77134.933,148491.086,406831.16,767104.998,121936.992,31977.238,11202.132,8112.693,17685.144,5228.754,6653.234,1347.822,9082.577
1996,0,16705.889,51918.124,82638.435,161493.758,362775.977,481648.022,186012.142,32583.736,14098.593,8438.524,8658.345,4502.948,5928.221,5026.075
1997,1642.234,77851.848,39246.144,107649.409,472667.192,282593.09,252640.554,200068.83,65432.844,14010.332,5934.446,5275.465,3278.374,4446.997,9998.397
1998,220.085,42328.664,85616.473,70923.704,154774.056,697028.577,202038.775,130969.685,107502.479,29113.557,6117.247,6200.07,2439.152,3558.84,5611.305
1999,191.878,9649.623,294436.093,224555.033,102324.72,159704.82,470779.569,130685.88,56328.539,34117.658,3655.915,2267.111,813.723,397.372,1846.686
2000,0,15332.214,80266.571,425831.835,346974.349,105151.561,170382.752,357627.323,85956.499,29457.682,22278.072,5336.222,1340.472,628.371,938.373
2001,0,3084.082,46891.601,154726.845,582562.629,410467.836,135860.797,127004.325,157299.897,58963.253,34428.25,15999.852,5423.645,3709.105,1982.923
2002,896.247,46960.366,108614.984,213379.414,287356.307,602274.72,270186.356,100646.404,86265.325,96759.331,33892.198,15336.596,11015.279,2669.201,1835.449
2003,0,14109.644,408579.708,323481.978,367205.844,307130.698,331247.145,158767.45,49547.88,38445.472,36120.183,22732.501,6770.847,3455.562,3195.196
2004,0,472.747,90113.139,825409.403,483692.605,238969.499,168482.403,155208.607,63231.433,15501.659,18560.982,26774.438,8939.641,6410.677,7628.284
2005,0,4141.053,51083.675,399372.828,859074.438,483457.921,157561.81,68662.806,68321.412,30797.672,9622.546,8925.615,3027.053,2244.074,2795.475
2006,0,9976.618,83181.281,293286.82,615345.939,592562.509,283626.996,109860.035,49506.308,40670.169,16990.443,8261.996,8356.433,4547.565,7080.682
2007,1628.575,16913.693,60498.61,137515.012,388609.222,508735.359,300146.882,139480.685,47584.317,27418.283,24217.691,9501.016,6060.76,2823.288,11372.586
2008,0,25887.483,57572.921,79413.829,148847.773,308393.403,242016.84,149334.438,82517.86,21781.636,18399.442,13973.056,8882.489,2825.066,12828.156
2009,0,1314.583,175885.812,199871.244,82354.686,112946.047,123367.324,104017.576,65932.226,40456.075,23896.423,7607.21,8195.834,3332.554,9010.22
2010,1038.972,27151.579,30847.146,557916.681,220633.757,55007.151,42454.516,56572.318,52871.334,31764.132,15999.889,8793.905,6228.497,4729.513,5530.034
2011,439.07,11410.413,192811.109,115606.251,809474.865,284361.954,64084.643,37701.134,38348.107,40244.483,25274.388,12844.814,1822.819,4088.882,4234.601
2012,0,23705.411,117842.838,943811.884,173671.162,433067.101,139900.66,36952.281,17622.732,14680.593,16212.08,13833.845,7795.157,5916.005,3021.404
2013,1747.78,824.489,65324.891,342119.48,955524.16,195194.904,155881.129,69052.364,20085.844,13334.206,12521.42,11956.744,7948.41,4855.109,5556.129
2014,0,39591.369,31441.3,168628.579,397383.817,752245.708,210304.189,86346.613,29153.561,9015.776,4631.899,4743.565,4481.716,2911.435,6138.456
2015,0,15735.781,633167.118,194789.082,229065.738,385234.109,509395.335,88174.899,42967.285,17223.675,3151.271,2184.992,3342.803,2733.258,1286.352
2016,0,513.811,91701.018,1389711.96,159282.682,175325.335,175485.305,223115.724,34719.37,13155.031,7889.919,455.54,1299.915,757.421,1096.176
2017,0,2023.136469,29837.81109,551446.013,894584.2048,214665.1578,147536.6973,123201.1229,96340.83427,21539.79041,7841.114641,6289.15605,552.8579431,229.381001,142.4888516
