Year,Catch
1964,174792
1965,230551
1966,261678
1967,550362
1968,702181
1969,862789
1970,1256565
1971,1743763
1972,1874534
1973,1758919
1974,1588390
1975,1356736
1976,1177822
1977,978370
1978,979431
1979,935714
1980,958280
1981,973502
1982,955964
1983,981450
1984,1092055
1985,1139676
1986,1141993
1987,859416
1988,1228721
1989,1229600
1990,1455193
1991,1195643.63
1992,1390299.35
1993,1326602.32
1994,1329351.66
1995,1264246.89
1996,1192781.09
1997,1124433.05
1998,1102159.14
1999,989680.31
2000,1132709.85
2001,1387197.02
2002,1480773.88
2003,1490779.227
2004,1480551.669
2005,1483021.809
2006,1488031.045
2007,1354501.789
2008,990578.068
2009,810784.346
2010,810206.5048
2011,1199041.168
2012,1205212.137
2013,1270765.09
2014,1297419.48
2015,1321580.583
2016,1352659.289
2017,1359273.639
2018,1373859.376
