Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1994,982.7611586,4093.592002,1215.690291,1833.134111,2262.106386,386.2678902,106.7317928,97.47818657,54.40252756,65.03580669,28.18229378,44.87201329,18.81994579,17.6317109,18.23336026
1996,1800.254055,566.6651289,552.1605677,2741.05969,914.9627576,633.5314923,585.0410499,141.6902635,38.61581297,28.17004469,22.42098893,39.47190175,13.93162698,24.8151922,11.36671099
1997,13250.61337,2878.576729,439.5912371,535.61608,2326.973348,546.0999907,313.0735193,290.5785486,75.13254314,27.84097254,30.8774387,35.15072189,38.9456788,18.73270433,26.40644085
1999,607.203652,1779.994957,3717.060555,1809.674942,651.8623359,397.5206722,1548.032454,526.2522179,180.0208387,141.6458991,48.2429485,20.49954722,10.26681262,7.795366795,4.756579636
2000,460.3664031,1322.030279,1230.054859,2588.027289,1011.827791,326.6153429,308.3642221,949.5520349,277.5851716,134.0981097,60.2585889,35.59960225,6.987367648,4.555128345,4.717246843
2002,722.9260512,4281.091373,3931.01177,1435.181467,838.7676422,771.8300408,389.2720491,148.9245491,183.8283077,336.9202665,169.379811,75.55148286,42.33630324,12.69171075,4.614496482
2004,83.05449742,313.4685281,1216.362518,3117.581508,1636.599735,567.5542723,291.0125385,281.4871868,120.5677654,69.69279765,58.68894894,77.01034778,37.43403148,12.54649572,9.336016612
2006,524.7109597,216.9959852,291.2456803,654.0968542,783.376093,658.556301,390.200249,144.8889546,74.79552565,58.55390357,32.82491838,21.71921312,16.49280539,19.79414096,16.17350608
2007,5775.294145,1040.587146,345.0975264,477.803433,793.6882062,729.4436646,406.8880778,240.7900814,97.68694176,39.26161661,37.24040015,18.81644455,9.172120396,9.578372056,12.23984432
2008,70.86987403,2914.781331,1046.982702,166.0364212,160.8390551,287.569994,234.9074311,136.0885497,101.8481235,31.99584062,30.13565907,19.00020739,10.87302568,5.622851894,9.325865938
2009,5196.547365,815.7423751,1732.582202,277.4113589,67.61555844,84.02481977,117.4079812,92.79876222,64.88464872,38.8689759,22.50540238,9.640397393,8.552315286,4.733030008,4.561522468
2010,2567.932041,6404.127558,983.555176,2294.894996,445.8751144,73.08294839,33.24644727,36.88729822,37.75284314,28.93219886,25.95608354,13.14394723,8.0262055,4.890586523,4.448811744
2012,177.3461428,1988.660134,1692.89158,2710.228205,279.6862537,366.6684028,113.1403549,35.68733298,24.894592,28.74222129,25.056611,17.89443123,16.16934997,5.075921786,4.609220427
2014,4750.826375,8655.126367,969.4612339,1161.049534,1118.694291,1769.616489,740.1196732,170.1462345,78.81003026,31.51996399,12.57992471,13.86996375,14.05970784,7.703570799,7.097002595
2016,353.0717039,1184.817308,4546.423859,4438.903581,1193.688911,486.8315302,557.0814533,649.7428759,130.1618336,61.48228366,29.06412475,10.85506605,7.924340273,4.696196116,5.135812686
2018,423.915774,535.2572675,314.3102337,570.3387134,2337.630132,843.2920323,199.0089061,134.3605361,102.8608403,78.65806613,23.16443678,4.497976195,1.122373228,0,1.433463084
