"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1983,1,"All_areas",0,0,0
1984,1,"All_areas",0,0,0
1985,1,"All_areas",0,0,0
1986,1,"All_areas",0,0,0
1987,1,"All_areas",0,0,0
1988,1,"All_areas",0,0,0
1989,1,"All_areas",0,0,0
1990,1,"All_areas",0,0,0
1991,1,"All_areas",0,0,0
1992,1,"All_areas",0,0,0
1993,1,"All_areas",0,0,0
1994,1,"All_areas",0,0,0
1995,1,"All_areas",0,0,0
1996,1,"All_areas",0,0,0
1997,1,"All_areas",0,0,0
1998,1,"All_areas",0,0,0
1999,1,"All_areas",0,0,0
2000,1,"All_areas",0,0,0
2001,1,"All_areas",0,0,0
2002,1,"All_areas",0,0,0
2003,1,"All_areas",0,0,0
2004,1,"All_areas",0,0,0
2005,1,"All_areas",0,0,0
2006,1,"All_areas",0,0,0
2007,1,"All_areas",0,0,0
2008,1,"All_areas",0,0,0
2009,1,"All_areas",0,0,0
2010,1,"All_areas",0,0,0
2011,1,"All_areas",0,0,0
2012,1,"All_areas",0,0,0
2013,1,"All_areas",0,0,0
2014,1,"All_areas",0,0,0
2015,1,"All_areas",0,0,0
2016,1,"All_areas",0,0,0
1983,1,"West",0,0,0
1984,1,"West",0,0,0
1985,1,"West",0,0,0
1986,1,"West",0,0,0
1987,1,"West",0,0,0
1988,1,"West",0,0,0
1989,1,"West",0,0,0
1990,1,"West",0,0,0
1991,1,"West",0,0,0
1992,1,"West",0,0,0
1993,1,"West",0,0,0
1994,1,"West",0,0,0
1995,1,"West",0,0,0
1996,1,"West",0,0,0
1997,1,"West",0,0,0
1998,1,"West",0,0,0
1999,1,"West",0,0,0
2000,1,"West",0,0,0
2001,1,"West",0,0,0
2002,1,"West",0,0,0
2003,1,"West",0,0,0
2004,1,"West",0,0,0
2005,1,"West",0,0,0
2006,1,"West",0,0,0
2007,1,"West",0,0,0
2008,1,"West",0,0,0
2009,1,"West",0,0,0
2010,1,"West",0,0,0
2011,1,"West",0,0,0
2012,1,"West",0,0,0
2013,1,"West",0,0,0
2014,1,"West",0,0,0
2015,1,"West",0,0,0
2016,1,"West",0,0,0
1983,1,"Central",0,0,0
1984,1,"Central",0,0,0
1985,1,"Central",0,0,0
1986,1,"Central",0,0,0
1987,1,"Central",0,0,0
1988,1,"Central",0,0,0
1989,1,"Central",0,0,0
1990,1,"Central",0,0,0
1991,1,"Central",0,0,0
1992,1,"Central",0,0,0
1993,1,"Central",0,0,0
1994,1,"Central",0,0,0
1995,1,"Central",0,0,0
1996,1,"Central",0,0,0
1997,1,"Central",0,0,0
1998,1,"Central",0,0,0
1999,1,"Central",0,0,0
2000,1,"Central",0,0,0
2001,1,"Central",0,0,0
2002,1,"Central",0,0,0
2003,1,"Central",0,0,0
2004,1,"Central",0,0,0
2005,1,"Central",0,0,0
2006,1,"Central",0,0,0
2007,1,"Central",0,0,0
2008,1,"Central",0,0,0
2009,1,"Central",0,0,0
2010,1,"Central",0,0,0
2011,1,"Central",0,0,0
2012,1,"Central",0,0,0
2013,1,"Central",0,0,0
2014,1,"Central",0,0,0
2015,1,"Central",0,0,0
2016,1,"Central",0,0,0
1983,1,"East",0,0,0
1984,1,"East",0,0,0
1985,1,"East",0,0,0
1986,1,"East",0,0,0
1987,1,"East",0,0,0
1988,1,"East",0,0,0
1989,1,"East",0,0,0
1990,1,"East",0,0,0
1991,1,"East",0,0,0
1992,1,"East",0,0,0
1993,1,"East",0,0,0
1994,1,"East",0,0,0
1995,1,"East",0,0,0
1996,1,"East",0,0,0
1997,1,"East",0,0,0
1998,1,"East",0,0,0
1999,1,"East",0,0,0
2000,1,"East",0,0,0
2001,1,"East",0,0,0
2002,1,"East",0,0,0
2003,1,"East",0,0,0
2004,1,"East",0,0,0
2005,1,"East",0,0,0
2006,1,"East",0,0,0
2007,1,"East",0,0,0
2008,1,"East",0,0,0
2009,1,"East",0,0,0
2010,1,"East",0,0,0
2011,1,"East",0,0,0
2012,1,"East",0,0,0
2013,1,"East",0,0,0
2014,1,"East",0,0,0
2015,1,"East",0,0,0
2016,1,"East",0,0,0
