"BARCODE","T_TABLE","CRUISE","PERMIT","VESSEL","GEAR","NMFS_AREA","LATDD_START","LONDD_START","LATDD_END","LONDD_END","LENGTH_SEQ","PERFORMANCE","FISHING_DEPTH_FATHOMS","BOTTOM_DEPTH_FATHOMS","LENGTH","WEIGHT","SPECIES","SEX","HAUL_OFFLOAD_DATE","HAUL_OFFLOAD","SPECIMEN_NUMBER","AGE","MATURITY_CODE","MATURITY_DESCRIPTION","SPECIMEN_TYPE","SPECIMEN_TYPE_DESCRIPTION","HAUL_JOIN","PORT_JOIN","YEAR","VIABILITY","INJURY","SPECIAL_PROJECT_CODE","SAMPLE_SYSTEM","ADIPOSE_PRESENT","LANDING_REPORT_ID","HAUL_PURPOSE_CODE"
1361422,"ATL_HAUL",24044,"3896","A080",2,509,55.35333,-164.03833,55.38833,-164.01,15,1,38,44,43,NA,201,"M",2020-01-20,2,1361422,NA,NA,NA,1,"Otoliths",2.4044003896e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1289734,"ATL_HAUL",24044,"3896","A080",2,509,55.35333,-164.03833,55.38833,-164.01,24,1,38,44,47,NA,201,"F",2020-01-20,2,1289734,NA,NA,NA,1,"Otoliths",2.4044003896e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1289304,"ATL_HAUL",24036,"3261","A041",2,509,55.50667,-163.905,55.43,-163.95667,22,1,30,47,47,NA,201,"M",2020-01-20,2,110,NA,NA,NA,1,"Otoliths",2.4036003261e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1220533,"ATL_HAUL",24036,"3261","A041",2,509,55.50667,-163.905,55.43,-163.95667,31,1,30,47,57,NA,201,"F",2020-01-20,2,109,NA,NA,NA,1,"Otoliths",2.4036003261e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1260944,"ATL_HAUL",24009,"1607","A255",2,509,55.41667,-163.88333,55.5,-163.88333,30,1,39,48,48,NA,201,"M",2020-01-20,3,308,NA,NA,NA,1,"Otoliths",2.4009001607e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1260931,"ATL_HAUL",24009,"1607","A255",2,509,55.41667,-163.88333,55.5,-163.88333,32,1,39,48,52,NA,201,"M",2020-01-20,3,309,NA,NA,NA,1,"Otoliths",2.4009001607e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1364289,"ATL_HAUL",24108,"1652","A061",2,509,55.23333,-164.3,55.28333,-164.16667,17,1,35,48,50,NA,201,"F",2020-01-20,2,208,NA,NA,NA,1,"Otoliths",2.4108001652e+19,NA,2020,NA,NA,NA,9,NA,NA,"CA"
1364248,"ATL_HAUL",24108,"1652","A061",2,509,55.23333,-164.3,55.28333,-164.16667,20,1,35,48,45,NA,201,"M",2020-01-20,2,209,NA,NA,NA,1,"Otoliths",2.4108001652e+19,NA,2020,NA,NA,NA,9,NA,NA,"CA"
1222876,"ATL_HAUL",24046,"3681","A074",2,509,55.17,-164.41667,55.21167,-164.34333,30,1,23,41,47,NA,201,"F",2020-01-20,2,310,NA,NA,NA,1,"Otoliths",2.4046003681e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1324176,"ATL_HAUL",24046,"3681","A074",2,509,55.17,-164.41667,55.21167,-164.34333,30,1,23,41,47,NA,201,"F",2020-01-20,2,311,NA,NA,NA,1,"Otoliths",2.4046003681e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1362502,"ATL_HAUL",24002,"3414","A091",2,509,55.39,-164.09167,55.305,-164.2,55,1,30,50,44,NA,201,"M",2020-01-21,3,310,NA,NA,NA,1,"Otoliths",2.4002003414e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1362507,"ATL_HAUL",24002,"3414","A091",2,509,55.39,-164.09167,55.305,-164.2,326,1,30,50,47,NA,201,"F",2020-01-21,3,309,NA,NA,NA,1,"Otoliths",2.4002003414e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1324792,"ATL_HAUL",23933,"3245","A045",2,509,55.33333,-164.12833,55.32667,-164.175,69,1,34,50,43,NA,201,"M",2020-01-21,5,4,NA,NA,NA,1,"Otoliths",2.3933003245e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1324750,"ATL_HAUL",23933,"3245","A045",2,509,55.33333,-164.12833,55.32667,-164.175,79,1,34,50,47,NA,201,"F",2020-01-21,5,3,NA,NA,NA,1,"Otoliths",2.3933003245e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1373829,"ATL_HAUL",24079,"2810","A317",2,509,55.24667,-164.37,55.27667,-164.26667,29,1,32,50,49,NA,201,"M",2020-01-21,3,9,NA,NA,NA,1,"Otoliths",2.407900281e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1373834,"ATL_HAUL",24079,"2810","A317",2,509,55.24667,-164.37,55.27667,-164.26667,32,1,32,50,49,NA,201,"F",2020-01-21,3,10,NA,NA,NA,1,"Otoliths",2.407900281e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1260901,"ATL_HAUL",24009,"1607","A255",2,509,55.41667,-164.01667,55.31667,-164.18333,72,1,40,50,47,NA,201,"M",2020-01-21,8,809,NA,NA,NA,1,"Otoliths",2.4009001607e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1260982,"ATL_HAUL",24009,"1607","A255",2,509,55.41667,-164.01667,55.31667,-164.18333,74,1,40,50,49,NA,201,"M",2020-01-21,8,810,NA,NA,NA,1,"Otoliths",2.4009001607e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1368007,"ATL_HAUL",23922,"3442","A136",2,509,55.14167,-164.49167,55.18667,-164.35,48,1,25,40,49,NA,201,"M",2020-01-21,4,402,NA,NA,NA,1,"Otoliths",2.3922003442e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1368035,"ATL_HAUL",23922,"3442","A136",2,509,55.14167,-164.49167,55.18667,-164.35,49,1,25,40,48,NA,201,"F",2020-01-21,4,401,NA,NA,NA,1,"Otoliths",2.3922003442e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1366049,"ATL_HAUL",24029,"4063","A282",2,509,55.40167,-163.91333,55.21667,-164.24333,25,1,31,41,44,NA,201,"F",2020-01-21,3,308,NA,NA,NA,1,"Otoliths",2.4029004063e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1288953,"ATL_HAUL",24029,"4063","A282",2,509,55.40167,-163.91333,55.21667,-164.24333,38,1,31,41,54,NA,201,"M",2020-01-21,3,309,NA,NA,NA,1,"Otoliths",2.4029004063e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1331625,"ATL_HAUL",24072,"3671","A105",2,509,55.33167,-164.13167,55.30833,-164.17167,23,1,28,48,47,NA,201,"M",2020-01-21,2,6,NA,NA,NA,1,"Otoliths",2.4072003671e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1318995,"ATL_HAUL",24072,"3671","A105",2,509,55.33167,-164.13167,55.30833,-164.17167,25,1,28,48,46,NA,201,"M",2020-01-21,2,5,NA,NA,NA,1,"Otoliths",2.4072003671e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1324175,"ATL_HAUL",24046,"3681","A074",2,509,55.25333,-164.345,55.32333,-164.31167,115,5,33,49,46,NA,201,"M",2020-01-21,7,707,NA,NA,NA,1,"Otoliths",2.4046003681e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1331806,"ATL_HAUL",24046,"3681","A074",2,509,55.25333,-164.345,55.32333,-164.31167,115,5,33,49,46,NA,201,"M",2020-01-21,7,708,NA,NA,NA,1,"Otoliths",2.4046003681e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1325947,"ATL_HAUL",24028,"3396","A069",2,509,55.2,-164.21167,55.14333,-164.46667,33,1,26,39,49,NA,201,"F",2020-01-21,4,406,NA,NA,NA,1,"Otoliths",2.4028003396e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1325906,"ATL_HAUL",24028,"3396","A069",2,509,55.2,-164.21167,55.14333,-164.46667,34,1,26,39,55,NA,201,"F",2020-01-21,4,407,NA,NA,NA,1,"Otoliths",2.4028003396e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1362534,"ATL_HAUL",24002,"3414","A091",2,509,55.39667,-164.39833,55.33833,-164.51167,152,1,35,53,43,NA,201,"F",2020-01-22,8,812,NA,NA,NA,1,"Otoliths",2.4002003414e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1362541,"ATL_HAUL",24002,"3414","A091",2,509,55.39667,-164.39833,55.33833,-164.51167,142,1,35,53,49,NA,201,"F",2020-01-22,8,813,NA,NA,NA,1,"Otoliths",2.4002003414e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1325953,"ATL_HAUL",24028,"3396","A069",2,509,55.39833,-164.41333,55.36333,-164.37333,130,1,39,53,52,NA,201,"F",2020-01-22,9,902,NA,NA,NA,1,"Otoliths",2.4028003396e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1325966,"ATL_HAUL",24028,"3396","A069",2,509,55.39833,-164.41333,55.36333,-164.37333,131,1,39,53,39,NA,201,"M",2020-01-22,9,901,NA,NA,NA,1,"Otoliths",2.4028003396e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1330837,"ATL_HAUL",24044,"3896","A080",2,509,55.50167,-164.325,55.37167,-164.50333,102,1,40,51,41,NA,201,"M",2020-01-22,7,1330837,NA,NA,NA,1,"Otoliths",2.4044003896e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1330866,"ATL_HAUL",24044,"3896","A080",2,509,55.50167,-164.325,55.37167,-164.50333,115,1,40,51,48,NA,201,"F",2020-01-22,7,1330866,NA,NA,NA,1,"Otoliths",2.4044003896e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1281453,"ATL_HAUL",24045,"2657","A150",2,509,55.32667,-164.31167,55.48,-164.10833,50,1,40,53,43,NA,201,"M",2020-01-22,5,501,NA,NA,NA,1,"Otoliths",2.4045002657e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1281433,"ATL_HAUL",24045,"2657","A150",2,509,55.32667,-164.31167,55.48,-164.10833,56,1,40,53,46,NA,201,"F",2020-01-22,5,502,NA,NA,NA,1,"Otoliths",2.4045002657e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1220537,"ATL_HAUL",24036,"3261","A041",2,509,55.41167,-164.36167,55.34167,-164.39667,93,1,42,52,47,NA,201,"F",2020-01-22,7,709,NA,NA,NA,1,"Otoliths",2.4036003261e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1220506,"ATL_HAUL",24036,"3261","A041",2,509,55.41167,-164.36167,55.34167,-164.39667,95,1,42,52,51,NA,201,"F",2020-01-22,7,710,NA,NA,NA,1,"Otoliths",2.4036003261e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1314561,"ATL_HAUL",24009,"1607","A255",2,509,55.48333,-164.11667,55.5,-164.08333,209,1,42,52,45,NA,201,"M",2020-01-22,18,1811,NA,NA,NA,1,"Otoliths",2.4009001607e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1314520,"ATL_HAUL",24009,"1607","A255",2,509,55.48333,-164.11667,55.5,-164.08333,214,1,42,52,46,NA,201,"F",2020-01-22,18,1802,NA,NA,NA,1,"Otoliths",2.4009001607e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1335255,"ATL_HAUL",24025,"3794","A115",2,509,55.38167,-164.22667,55.275,-164.42,48,1,40,51,45,NA,201,"F",2020-01-22,4,410,NA,NA,NA,1,"Otoliths",2.4025003794e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1335218,"ATL_HAUL",24025,"3794","A115",2,509,55.38167,-164.22667,55.275,-164.42,50,1,40,51,49,NA,201,"F",2020-01-22,4,409,NA,NA,NA,1,"Otoliths",2.4025003794e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1288981,"ATL_HAUL",23922,"3442","A136",2,509,55.45667,-164.345,55.365,-164.37833,122,1,37,52,44,NA,201,"M",2020-01-22,9,902,NA,NA,NA,1,"Otoliths",2.3922003442e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1288946,"ATL_HAUL",23922,"3442","A136",2,509,55.45667,-164.345,55.365,-164.37833,127,1,37,52,48,NA,201,"F",2020-01-22,9,901,NA,NA,NA,1,"Otoliths",2.3922003442e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
653130,"ATL_HAUL",24009,"1607","A255",2,509,55.28333,-164.35,55.38333,-164.3,160,1,41,51,45,NA,201,"M",2020-01-22,13,1309,NA,NA,NA,1,"Otoliths",2.4009001607e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
653190,"ATL_HAUL",24009,"1607","A255",2,509,55.28333,-164.35,55.38333,-164.3,161,1,41,51,46,NA,201,"M",2020-01-22,13,1310,NA,NA,NA,1,"Otoliths",2.4009001607e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1379792,"ATL_HAUL",24029,"4063","A282",2,509,55.38667,-164.425,55.34833,-164.38,118,1,36,52,49,NA,201,"F",2020-01-22,8,802,NA,NA,NA,1,"Otoliths",2.4029004063e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
989127,"ATL_HAUL",24029,"4063","A282",2,509,55.38667,-164.425,55.34833,-164.38,122,1,36,52,44,NA,201,"M",2020-01-22,8,801,NA,NA,NA,1,"Otoliths",2.4029004063e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1374336,"ATL_HAUL",24065,"4194","A574",2,509,55.2,-164.76667,55.21667,-164.71667,54,1,42,58,48,NA,201,"F",2020-01-22,5,510,NA,NA,NA,1,"Otoliths",2.4065004194e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1374360,"ATL_HAUL",24065,"4194","A574",2,509,55.2,-164.76667,55.21667,-164.71667,49,1,42,58,45,NA,201,"M",2020-01-22,5,509,NA,NA,NA,1,"Otoliths",2.4065004194e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1331649,"ATL_HAUL",24072,"3671","A105",2,509,55.455,-164.63333,55.325,-164.61833,79,1,39,54,45,NA,201,"M",2020-01-22,7,18,NA,NA,NA,1,"Otoliths",2.4072003671e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1142995,"ATL_HAUL",24072,"3671","A105",2,509,55.455,-164.63333,55.325,-164.61833,83,1,39,54,46,NA,201,"F",2020-01-22,7,19,NA,NA,NA,1,"Otoliths",2.4072003671e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1362516,"ATL_HAUL",24002,"3414","A091",2,509,55.48833,-164.91833,55.26833,-164.94833,223,1,40,55,47,NA,201,"M",2020-01-23,13,1303,NA,NA,NA,1,"Otoliths",2.4002003414e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1362528,"ATL_HAUL",24002,"3414","A091",2,509,55.48833,-164.91833,55.26833,-164.94833,225,1,40,55,49,NA,201,"M",2020-01-23,13,1302,NA,NA,NA,1,"Otoliths",2.4002003414e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
