"BARCODE","T_TABLE","CRUISE","PERMIT","VESSEL","GEAR","NMFS_AREA","LATDD_START","LONDD_START","LATDD_END","LONDD_END","LENGTH_SEQ","PERFORMANCE","FISHING_DEPTH_FATHOMS","BOTTOM_DEPTH_FATHOMS","LENGTH","WEIGHT","SPECIES","SEX","HAUL_OFFLOAD_DATE","HAUL_OFFLOAD","SPECIMEN_NUMBER","AGE","MATURITY_CODE","MATURITY_DESCRIPTION","SPECIMEN_TYPE","SPECIMEN_TYPE_DESCRIPTION","HAUL_JOIN","PORT_JOIN","YEAR","VIABILITY","INJURY","SPECIAL_PROJECT_CODE","SAMPLE_SYSTEM","ADIPOSE_PRESENT","LANDING_REPORT_ID","HAUL_PURPOSE_CODE"
1341610,"ATL_OFFLOAD",24355,"4078","P059",2,517,NA,NA,NA,NA,2571,NA,NA,NA,50,NA,201,"M",2020-08-22,98,1341610,NA,NA,NA,1,"Otoliths",NA,2.4355004078e+19,2020,NA,NA,NA,6,NA,6529485,NA
1281967,"ATL_OFFLOAD",24352,"5306","P001",2,509,NA,NA,NA,NA,2078,NA,NA,NA,54,NA,201,"M",2020-07-30,196,370,NA,NA,NA,1,"Otoliths",NA,2.4352005306e+19,2020,NA,NA,NA,6,NA,6475389,NA
1282767,"ATL_HAUL",24304,"3011","A004",2,517,54.63389,-165.57472,54.73833,-165.44639,773,1,156,160,51,NA,201,"F",2020-07-20,102,10201,NA,NA,NA,1,"Otoliths",2.4304003011e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
653636,"ATL_HAUL",24340,"3988","A288",2,509,55.76667,-163.88333,55.76667,-163.85,525,1,40,52,50,NA,201,"M",2020-07-30,89,102,NA,NA,NA,1,"Otoliths",2.4340003988e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1392077,"ATL_HAUL",24488,"2657","A150",2,517,54.66333,-165.445,54.60333,-165.55667,248,1,111,125,51,NA,201,"M",2020-09-29,166,16601,NA,NA,NA,1,"Otoliths",2.4488002657e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1328836,"ATL_HAUL",24330,"3414","A091",2,523,56.85667,-172.625,56.69167,-172.56333,3466,1,57,69,48,NA,201,"M",2020-09-15,464,46409,NA,NA,NA,1,"Otoliths",2.4330003414e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1341496,"ATL_HAUL",24381,"3357","A039",2,524,60.72667,-175.79833,60.71333,-175.94333,1653,1,51,61,45,NA,201,"F",2020-08-05,481,48109,NA,NA,NA,1,"Otoliths",2.4381003357e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1376580,"ATL_HAUL",24369,"3442","A136",2,521,58.59833,-176.62,58.615,-176.595,662,1,65,90,51,NA,201,"F",2020-07-02,244,24409,NA,NA,NA,1,"Otoliths",2.4369003442e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
656913,"ATL_HAUL",24443,"3261","A041",2,524,60.11,-176.03667,60.275,-176.04167,199,1,55,66,36,NA,201,"M",2020-08-14,286,656913,NA,NA,NA,1,"Otoliths",2.4443003261e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
1259271,"ATL_HAUL",24325,"2889","A044",2,521,57.57667,-171.515,57.465,-172.04333,57,1,43,55,52,NA,201,"F",2020-07-15,54,4,NA,NA,NA,1,"Otoliths",2.4325002889e+19,NA,2020,NA,NA,NA,6,NA,NA,"CA"
