"","All_1982","All_1983","All_1984","All_1985","All_1986","All_1987","All_1988","All_1989","All_1990","All_1991","All_1992","All_1993","All_1994","All_1995","All_1996","All_1997","All_1998","All_1999","All_2000","All_2001","All_2002","All_2003","All_2004","All_2005","All_2006","All_2007","All_2008","All_2009","All_2010","All_2011","All_2012","All_2013","All_2014","All_2015","All_2016","All_2017","All_2018","EBS_1982","EBS_1983","EBS_1984","EBS_1985","EBS_1986","EBS_1987","EBS_1988","EBS_1989","EBS_1990","EBS_1991","EBS_1992","EBS_1993","EBS_1994","EBS_1995","EBS_1996","EBS_1997","EBS_1998","EBS_1999","EBS_2000","EBS_2001","EBS_2002","EBS_2003","EBS_2004","EBS_2005","EBS_2006","EBS_2007","EBS_2008","EBS_2009","EBS_2010","EBS_2011","EBS_2012","EBS_2013","EBS_2014","EBS_2015","EBS_2016","EBS_2017","EBS_2018","NBS_1982","NBS_1983","NBS_1984","NBS_1985","NBS_1986","NBS_1987","NBS_1988","NBS_1989","NBS_1990","NBS_1991","NBS_1992","NBS_1993","NBS_1994","NBS_1995","NBS_1996","NBS_1997","NBS_1998","NBS_1999","NBS_2000","NBS_2001","NBS_2002","NBS_2003","NBS_2004","NBS_2005","NBS_2006","NBS_2007","NBS_2008","NBS_2009","NBS_2010","NBS_2011","NBS_2012","NBS_2013","NBS_2014","NBS_2015","NBS_2016","NBS_2017","NBS_2018"
"1",107614865714.716,5571890918.88663,1598511251.08397,1012455072.37557,1037829584.06482,284094293.427623,743336977.45866,710432821.040872,1877950939.73938,180934963.181191,449933493.342212,653919171.864868,843113520.158511,542003514.72217,495002408.162071,416311610.202364,235655998.436911,678483722.831115,514858957.969985,605218892.850873,598747677.367085,358344313.089092,330093687.545996,414782679.726591,312552286.023816,578821994.426048,387850980.648356,342676100.501185,584417755.979295,522369009.025816,200497308.932043,499384598.043373,610656442.270261,765643843.455483,1397189700.70995,584044297.615697,561502523.152003,107439896287.09,5469831671.63437,1576113752.20888,803504206.38504,1005766820.7665,270172405.670169,744634822.220134,699243212.138569,1862775939.84998,128287312.774612,422656400.405718,600947390.554769,814988511.730787,516969262.217516,467437145.233601,395348357.604103,204805075.283618,671131327.452524,491223157.790696,582096804.521213,557764272.705981,212253714.913806,262272115.852549,371113859.269239,307532672.401566,570602197.952449,382376019.406684,340184563.189103,583613067.49211,514076403.349148,193070676.063005,484566583.2369,541743543.28835,583193579.866871,1146057007.92195,501175876.889799,483646250.908633,174969427.626681,102059247.252198,22397498.8751688,208950865.990973,32062763.2982587,13921887.7575384,-1297844.76181965,11189608.9022714,15174999.8892963,52647650.4066373,27277092.9367696,52971781.3100016,28125008.427714,25034252.504598,27565262.9284626,20963252.5983026,30850923.1533348,7352395.37843921,23635800.1793319,23122088.3296345,40983404.6611034,146090598.175273,67821571.6934783,43668820.4573933,5019613.62213442,8219796.47364821,5474961.2416447,2491537.31208782,804688.487232475,8292605.67657794,7426632.86901671,14818014.8064516,68912898.9820274,182450263.588769,251132692.787931,82868420.7261461,77856272.2433707
"2",5571890918.88662,584313334379.536,26220019674.4866,9311018210.29107,3495857054.7475,2348216197.85801,3020948693.14689,2760849926.06526,2630924687.96566,2467980297.73744,2295408645.009,2711946413.6988,2737419068.20839,1284960653.26303,2188919575.89785,2372089928.90408,1136671582.08986,856891637.439006,3053337562.27235,2243227826.6167,1858207487.49517,1182956338.9104,1654288460.62775,2097178984.1334,146640689.711888,817877842.868834,1449766373.96469,568831778.462608,1103152887.72734,2027469835.84672,1174473514.06925,373983704.597893,4104913706.89538,3562898300.58509,6772032404.55021,3489977717.66302,1354365580.71233,5340756885.26015,576684588864.785,25170168840.9852,7665772510.6295,2940498053.3479,2032931429.6228,2910323790.66342,2533504836.51958,2316954112.34753,2075983082.76758,1856766275.4476,2127651178.98212,2320251276.07772,1012427924.50852,1902554444.63121,2064114931.87771,846087361.695166,694220705.887992,2693705349.00715,1908860927.35594,1479728973.07921,373975256.832326,1223515046.13642,1772968411.39062,72633390.1803412,738159533.585285,1399901669.41184,547168771.254925,1083558027.01748,1950823665.00136,1051134259.63215,158850110.336766,3139898751.39186,1752080264.50519,4773178235.92035,3128027111.0672,1151936336.77311,231134033.621191,7628745514.75218,1049850833.50071,1645245699.64955,555359001.399819,315284768.233435,110624902.486808,227345089.546707,313970575.624943,391997214.965496,438642369.556983,584295234.71789,417167792.130863,272532728.755828,286365131.266792,307974997.025482,290584220.393759,162670931.55449,359632213.263701,334366899.261492,378478514.416577,808981082.078164,430773414.49087,324210572.741499,74007299.5348969,79718309.2817218,49864704.5538829,21663007.2073115,19594860.7088363,76646170.8476715,123339254.437338,215133594.260343,965014955.501918,1810818036.07988,1998854168.62988,361950606.596018,202429243.939193
"3",1598511251.08397,26220019674.4866,504121909227.532,26486472698.8936,6303473724.06925,2532781713.05967,5257166129.44706,4619938509.55727,4616831683.54862,2903913164.89747,2865881529.92873,1837236724.84651,4092495669.23582,4252099719.35537,1891068249.59418,2162210805.88309,1071581368.3782,1185006919.06492,4162551905.43187,2539390548.82581,2270756207.05927,5859296643.17434,1882862415.26855,3669462220.74346,-225854035.876499,-1989563884.62304,99743401.0474373,2906805074.33121,1442913797.93469,1683643503.39293,1010670613.32469,1227767919.61402,3072028870.24658,2362974023.78117,5680958395.34314,5075151182.13661,2564317809.35502,1506131436.60657,25225029639.4985,501824973109.396,24549304868.4984,5827335979.78382,2325677696.58495,5175101838.45633,4479727870.99807,4416900263.43448,2600986130.83232,2550641274.03709,1433809988.43978,3767423316.06043,4045975898.47153,1729132747.67533,1976792929.90333,896235745.065444,1050896709.13654,3881562596.13077,2269514062.65496,2039270846.48734,5340265220.78331,1675130507.80844,3433315138.76629,-285738259.418515,-2065345662.83131,50065534.5484087,2887504817.31467,1429204303.11268,1630962164.68388,887202277.431795,1040512470.90372,2469509095.57426,1650844106.27486,5503394135.15296,4789558600.0853,2393668498.47933,92379814.4746478,994990034.988626,2296936118.13581,1937167830.38897,476137744.285466,207104016.473872,82064290.9922845,140210638.559776,199931420.118103,302927034.062557,315240255.889514,403426736.407169,325072353.175546,206123820.884408,161935501.918932,185417875.979249,175345623.31227,134110209.930121,280989309.300273,269876486.171181,231485360.572211,519031422.39117,207731907.459827,236147081.976501,59884223.5439426,75781778.2073062,49677866.4995774,19300257.0162795,13709494.8215325,52681338.7102404,123468335.893036,187255448.709864,602519774.671657,712129917.506626,177564260.189894,285592582.051778,170649310.875646
"4",1012455072.37556,9311018210.29104,26486472698.8936,569052912229.29,19728079647.2111,3512195122.32104,3716894620.05201,4027224336.83621,3739295253.83443,2882724623.24776,2303990848.76573,1906009610.79942,2637275654.40855,2158909463.53626,1785064939.80729,2416928687.77982,2039663971.41525,1233337653.57077,2530445756.95191,1627141165.68312,1820920514.9924,4479340480.84269,1501057111.25641,2720725544.55613,493183823.861905,1301388968.76476,2201247821.93065,1380146031.38474,1856115377.84414,2422733262.15385,1432285117.2424,1494322159.31086,4731239044.44822,4842844857.7007,4681602480.77054,2930068241.19788,2123405647.68185,906930398.67757,8321446734.55117,25604572344.6006,547002677624.102,18301811727.6296,3042665275.0001,3586914705.81981,3783568644.25329,3400019508.7666,2182802251.04008,1830091374.36065,1287099475.94688,2162333845.2273,1829350085.79192,1467546232.34754,2098993559.81833,1679299910.60811,1058456159.37102,2109905182.54329,1258139055.96715,1345233544.39598,3183562013.84314,909016242.801643,2182973261.27799,403866878.73437,1191397300.23785,2131642044.90025,1347966088.08636,1836080366.26846,2323304261.20225,1288912697.60655,1237886304.51892,3628286576.84904,2752300269.4059,2696568187.35878,2250634274.11221,1690657701.59631,105524673.695769,989571475.740217,881900354.292676,22050234605.1816,1426267919.58158,469529847.32018,129979914.233467,243655692.583391,339275745.071066,699922372.205653,473899474.403279,618910134.853001,474941809.181345,329559377.744879,317518707.45982,317935127.961087,360364060.806742,174881494.201222,420540574.407944,369002109.716282,475686970.596697,1295778466.9996,592040868.454564,537752283.277572,89316945.1290502,109991668.526075,69605777.0308838,32179943.2982094,20035011.5752271,99429000.9526027,143372419.63593,256435854.791538,1102952467.59857,2090544588.29497,1985034293.41162,679433967.086059,432747946.085522
"5",1037829584.06482,3495857054.74751,6303473724.06925,19728079647.2111,411796595001.656,11087568616.8165,3827976948.23957,2892053539.37848,4432518010.6606,1117034137.27904,1407993505.60552,1610139820.27458,2555709454.15347,1261886718.10855,528112816.005562,924101664.980609,791197678.925556,1037527040.18025,1128899433.1107,1018101673.78535,854077073.166835,3525918052.25589,753254640.133172,1531845777.83225,242405397.259128,67306717.7275914,745700949.450717,996260023.962131,969168525.657417,1090814130.15309,797132619.060108,810274716.461071,1815848794.43232,1901425458.62348,1895016085.65548,915223092.9742,1152256036.376,972314190.437038,3015417262.96594,5993306486.63633,17611992284.5812,408198895029.444,10576091800.1038,3723817450.39714,2691545849.13394,4221201940.1331,847554620.365487,1137746247.67236,1226205430.90155,2282117848.13315,1071128045.92045,335365584.241704,714881113.964452,556644274.752038,929726313.094405,887642270.713987,803575736.971222,593276252.248921,2818311713.9898,441716621.402036,1280841651.01069,193818510.53643,7582396.04473555,705777954.633783,980388249.574486,957320650.493215,1033026124.32844,712137035.520824,669765807.33852,1227602754.19063,966519419.496943,1016917768.92044,713260778.806357,1002849273.86844,65515393.6261264,480439791.781801,310167237.432758,2116087362.62563,3597699972.21182,511476816.712137,104159497.843234,200507690.244905,211316070.53018,269479516.911808,270247257.93183,383934389.373344,273591606.020358,190758672.188551,192747231.763911,209220551.015848,234553404.173204,107800727.087034,241257162.39618,214525936.81438,260800820.918174,707606338.266114,311538018.731003,251004126.82109,48586886.7239055,59724321.6821957,39922994.8173171,15871774.3875092,11847875.1638429,57788005.8254563,84995583.5393497,140508909.12218,588246040.241244,934906039.126826,878098316.73487,201962314.168363,149406762.507535
"6",284094293.427623,2348216197.85801,2532781713.05967,3512195122.32105,11087568616.8165,517357863714.614,18075627482.5241,2812551793.94865,2021700140.25665,1039036936.78377,948430314.725722,925161018.442776,1035547262.4218,572495429.309825,765797269.299209,788703354.068509,544935477.377905,199766042.888119,1281899042.3355,625218560.996347,389904679.887831,802552656.778946,634413403.337838,810939569.002323,27949256.4579612,138370614.711601,657444671.075056,170799328.625693,370805312.126007,800925996.158201,515537058.36884,75619184.0224909,1542916174.83996,1521008086.47401,1652153380.06974,835223011.877452,334598719.493585,236346125.811147,2030457366.02792,2333372056.19208,2708826610.84755,10549819674.3925,515681550026.108,17967626649.2493,2642606897.9716,1836683709.17866,840796839.685224,739416624.052591,647303240.330296,848131700.55918,451265166.179269,645783432.696184,662264715.794339,428937918.323986,128410500.331121,1130100285.97198,479401041.366615,230399696.898424,449773327.465173,448195404.021066,671984640.988668,-4443255.76907912,102699007.843103,636944487.935604,161866999.784889,362002689.788156,764409868.625008,455864331.087144,-21261237.8999749,1119817702.0984,789897102.004945,959764299.474567,689507015.758909,253774268.394637,47748167.6165732,317758831.830118,199409656.867601,803368511.473583,537748942.423979,1676313688.5068,108000833.274697,169944895.977024,185016431.078064,198240097.098298,209013690.67321,277857778.112367,187415561.862653,121230263.130521,120013836.603031,126438638.274202,115997559.053935,71355542.5570484,151798756.363563,145817519.629721,159504982.989423,352779329.313799,186217999.316758,138954928.013665,32392512.2270636,35671606.8685646,20500183.139394,8932328.84078569,8802622.33786856,36516127.5331859,59672727.2816652,96880421.9224572,423098472.741589,731110984.46921,692389080.595093,145715996.118741,80824451.0989348
"7",743336977.458667,3020948693.14689,5257166129.44705,3716894620.052,3827976948.23958,18075627482.5241,1301023429724.38,13905777314.8236,6396215322.1554,2823939164.17675,2563548488.76501,1452110734.32728,2244875278.54542,2949073972.11419,1180355656.53367,1504429084.73888,489728992.519912,1777849814.28898,3526699739.35354,1343656510.39378,1470285436.71014,2836748006.11569,636143587.669543,1660834003.84722,799029946.713181,969120128.396187,853181572.696956,1510936274.35279,1640113474.7509,1253945557.25403,642460846.029635,1080807678.95903,2052036004.44443,1423356178.52582,3188979556.58637,2570625134.17461,1339252276.5747,752231400.25176,3029678162.48461,5259603524.45767,3388426304.14614,3794035555.66547,18116242751.2998,1300667076772.01,13930765188.1695,6397702898.23938,2736839514.63163,2523715277.27048,1401453865.93914,2195007216.47332,2909929265.63008,1145073953.02387,1470271283.26476,451283561.122572,1763125457.14139,3474984605.26969,1298714026.91278,1421384801.67717,2650411790.9808,559565686.106909,1583552025.89318,786850858.486107,953229431.005556,839258955.913196,1504937625.94768,1637974508.40537,1252129950.02286,631443833.058742,1057712861.89461,1999698503.88093,1244428488.27011,2926047477.80535,2405342566.01189,1244282345.74918,-8894422.79789319,-8729469.33706113,-2437395.0112374,328468315.894941,33941392.5743814,-40615268.7773261,356352952.374374,-24987873.3449645,-1487576.0777125,87099649.5414408,39833211.4905906,50656868.3893164,49868062.0722439,39144706.4853029,35281703.5099391,34157801.4732661,38445431.3964741,14724357.1505813,51715134.0823729,44942483.4816687,48900635.033502,186336215.13496,76577901.5622592,77281977.95287,12179088.2300821,15890697.3888537,13922616.784793,5998648.40476764,2138966.34460259,1815607.23323605,11017012.9711689,23094817.0636692,52337500.5621089,178927690.255692,262932078.781016,165282568.162928,94969930.8255195
"8",710432821.040868,2760849926.06526,4619938509.55726,4027224336.83621,2892053539.37847,2812551793.94865,13905777314.8236,696926996745.235,20005745730.7415,2638530141.59476,2108810995.45555,2036574433.05543,1616946839.75327,1489324437.88121,1067849012.53331,1801303099.75404,1138514483.65885,884612943.960074,1310791159.66913,1321253638.05863,847799359.602257,2361689787.82602,971172373.754459,1970654520.96989,231942761.522929,822402567.599279,1603472224.0878,587885248.369918,1361284646.98131,1889340355.05682,867752248.256214,640484666.488512,3340396261.73714,2136196797.37118,3039274142.55209,1531414633.74319,996057457.557963,695935908.295577,2617653942.00637,4522105512.47433,3545054580.32096,2721963982.06165,2711266540.51471,13868031334.2521,695938771414.781,19867424263.8805,2483706106.96705,1959899190.29217,1841063651.68014,1484501642.84641,1405859750.55768,981242662.403636,1713927483.3213,1061378054.78295,846751137.462495,1237625151.29927,1238404776.757,759379023.302591,2107055995.77451,836910510.544543,1870353633.3711,214029675.012199,802428056.047154,1590983927.43644,583752523.407423,1355880713.25312,1873297810.36613,836435751.088229,583291587.332318,3026395303.73724,1577481499.08593,2241396201.89651,1375958002.39203,887735703.791406,14496912.7460942,143195984.058784,97832997.0830289,482169756.516871,170089557.316685,101285253.434204,37745980.5708788,988225330.454095,138321466.860197,154824034.627887,148911805.164045,195510781.374978,132445196.906859,83464687.3233447,86606350.1296567,87375616.4329029,77136428.8760313,37861806.4972252,73166008.3701029,82848861.3015271,88420336.2996209,254633792.051502,134261863.209971,100300887.598942,17913086.5103422,19974511.5524265,12488296.6511478,4132724.9625282,5403933.72832831,16042544.6904043,31316497.1679192,57193079.1562596,314000958.000169,558715298.285481,797877940.655469,155456631.351446,108321753.766562
"9",1877950939.73938,2630924687.96568,4616831683.54863,3739295253.83444,4432518010.66056,2021700140.25666,6396215322.1554,20005745730.7415,1897982755822.54,12942124278.6529,4337564144.97589,1955359028.6802,2820302771.40394,2082274813.23927,1412912120.44138,1346790094.76535,1230737078.02645,3194293145.60991,2075956788.34917,2000648364.04249,2545283149.60946,1768238069.07137,1023571511.92994,1305134236.24384,1585571561.41645,2998021163.00882,1849626606.58645,2890860495.35344,2545276415.08472,1789644660.13143,995868607.291842,2901879184.68134,2699659665.07604,2234671925.44951,4251069367.18709,2257480045.02207,1491518568.77508,1841132132.53027,2499043438.27098,4591889809.79547,3171647293.17372,4305760503.80065,1911812161.36103,6324464112.60587,19731165051.8485,1895783634432.01,12611219446.3633,4162216555.40978,1721089953.17635,2676159762.94,1974517184.64478,1312006659.1171,1221863607.78496,1017124408.72509,3141199795.39718,1950411144.74859,1929950721.35731,2439253827.20146,1313709407.29257,883942215.013264,1206634468.02134,1574584378.47356,2973747145.49277,1823421139.09938,2881710161.25904,2539510952.07354,1748006259.46918,953817155.974526,2822649621.29594,2389655329.37977,1711549075.09567,3692661839.78653,2043622802.68066,1151386526.39829,36818807.2056206,131881249.695199,24941873.7526508,567647960.65349,126757506.860381,109887978.894434,71751209.5521703,274580678.893518,2199121390.54113,330904832.287841,175347589.563195,234269075.504882,144143008.46401,107757628.595338,100905461.324377,124926486.97977,213612669.300781,53093350.2146367,125545643.599513,70697642.6856339,106029322.408263,454528661.778829,139629296.916402,98499768.2217843,10987182.9447715,24274017.5148205,26205467.4877947,9150334.09419378,5765463.01049447,41638400.6636174,42051451.3175794,79229563.3850491,310004335.695196,523122850.3532,558407527.400913,213857242.340642,340132042.376765
"10",180934963.181188,2467980297.73745,2903913164.89747,2882724623.24775,1117034137.27905,1039036936.78376,2823939164.17675,2638530141.59475,12942124278.6529,369232469415.014,7993137520.79444,1963660714.36763,2010371271.02237,893257590.008689,793273164.477984,1060169482.84871,403873052.191756,622171649.806383,2076947139.38462,1237259559.30612,1254702234.32762,1844147883.6947,713960705.957452,1280525517.99677,454371002.313717,1619393915.78338,1007298521.04533,474755544.861424,684213259.748687,1248888810.81459,732480525.741377,397504103.29102,1814183079.78086,1172688282.49089,2010864646.62149,2000779960.80227,1118733486.47496,162192127.269242,2307176010.04224,2790068555.57869,2253238996.80818,967863613.837177,954089361.561416,2794259632.3486,2580327039.83709,12907646614.479,366627825973.839,7920551246.2098,1788483081.61523,1904508289.69807,828818806.183167,725397877.881374,983833641.617794,338420365.005587,582750065.60469,1992997027.19867,1137001899.55943,1182450873.2881,1678489923.66109,638437218.078386,1222085796.37739,439391111.326142,1606708196.03864,1002677994.87693,473042606.048784,677375125.965712,1240863723.5763,715875049.595763,376981921.295476,1729855244.62432,1057180758.06694,1673131802.66531,1708674114.66089,879333113.62182,18742835.9105999,160804287.695414,113844609.318612,629485626.436224,149170523.441846,84947575.2218632,29679531.828841,58203101.7579562,34477664.1760454,2604643441.17412,72586274.5835273,175177632.752635,105862981.324343,64438783.825884,67875286.5966585,76335841.2306877,65452687.1859142,39421584.2026962,83950112.18555,100257659.746889,72251361.0397217,165657960.03363,75523487.8789558,58439721.6189932,14979890.9885319,12685719.7442493,4620526.16865714,1712938.81252942,6838133.78268237,8025087.23893843,16605476.145664,20522181.9952602,84327835.1561695,115507524.424161,337732843.956061,292105846.141753,239400372.853129
