YEAR,AVG_STRATA_WEIGHTED_BOTTEMP_STD_AREA,AREA_KM2_MINUS1,AREA_KM2_0,AREA_KM2_1,AREA_KM2_2,AREA_SUM_KM2_LTE2,AREA_KM2_LTE1,AREA_KM2_LTE0
1982,2.268561568,141,20864,103365,93180,217550,124370,21005
1983,3.022111817,0,15189,47913,102920,166022,63102,15189
1984,2.332630615,14462,63835,54957,71799,205053,133255,78298
1985,2.366937933,7090,33198,54768,120672,215728,95056,40288
1986,1.859042188,37751,41121,69418,110245,258535,148290,78872
1987,3.219913108,0,4148,35816,55334,95298,39964,4148
1988,2.357164715,21243,38854,45149,107285,212532,105247,60097
1989,2.968706017,0,8224,14712,80779,103715,22937,8224
1990,2.447985107,22957,50398,37826,65100,176282,111182,73355
1991,2.697271342,25913,42673,44146,59346,172079,112732,68586
1992,2.014153584,51448,54854,71161,72840,250303,177463,106302
1993,3.057916595,2724,16016,31670,85625,136035,50410,18740
1994,1.571487511,76312,40869,56435,95001,268618,173616,117181
1995,1.743776102,58034,40293,88660,93968,280955,186987,98327
1996,3.42355786,0,0,14134,74344,88478,14134,0
1997,2.742179568,10302,26267,39517,99633,175719,76085,36568
1998,3.274582415,0,3745,15838,84866,104450,19584,3745
1999,0.828418317,61855,102094,152750,76895,393595,316700,163950
2000,2.157805749,14969,19867,49648,130991,215476,84484,34837
2001,2.575046007,10395,24160,42918,103663,181136,77473,34556
2002,3.247580498,948,14935,15607,72396,103885,31489,15882
2003,3.812242459,0,5187,9980,33091,48258,15167,5187
2004,3.386655069,6090,10453,32880,44991,94414,49423,16543
2005,3.472955522,12567,18014,23997,34082,88660,54578,30581
2006,1.874485049,53164,47881,52057,85724,238827,153102,101045
2007,1.786806089,45115,46281,87502,110854,289752,178898,91396
2008,1.290313631,59896,40444,101081,131100,332521,201420,100339
2009,1.383927962,48674,92805,62163,129552,333195,203642,141479
2010,1.531228377,58398,72846,57843,88738,277824,189086,131243
2011,2.467097037,5913,33798,48178,87065,174954,87889,39711
2012,1.007851377,68196,84735,127946,92782,373659,280877,152931
2013,1.872943109,56138,35824,71387,97071,260420,163349,91962
2014,3.223640872,9106,24539,40555,57651,131851,74200,33645
2015,3.362999429,18395,44272,29182,32649,124498,91849,62667
2016,4.457600221,7638,11686,14128,61246,94698,33452,19324
2017,2.83232398,11179,24421,83571,49518,168690,119172,35600
2018,4.260204864,0,0,0,6924,6924,0,0
2019,4.530155633,0,855,9277,21078,31210,10132,855
