Age	Year	N	Source
6	1983	2336528.056	VAST
6	1984	4330962.682	VAST
6	1985	2178999.158	VAST
6	1986	1760153.942	VAST
6	1987	1225342.636	VAST
6	1988	4697692.434	VAST
6	1989	871081.6197	VAST
6	1990	5094719.634	VAST
6	1991	521232.1313	VAST
6	1992	657705.1479	VAST
6	1993	685963.202	VAST
6	1994	681568.8319	VAST
6	1995	3377799.209	VAST
6	1996	1177526.916	VAST
6	1997	1349346.931	VAST
6	1998	2553353.475	VAST
6	1999	902296.9913	VAST
6	2000	854787.0633	VAST
6	2001	1368281.564	VAST
6	2002	1591433.549	VAST
6	2003	1738944.66	VAST
6	2004	1066554.141	VAST
6	2005	1940600.949	VAST
6	2006	1148916.69	VAST
6	2007	1548320.422	VAST
6	2008	1047300.799	VAST
6	2009	367388.4923	VAST
6	2010	379332.6262	VAST
6	2011	866448.5316	VAST
6	2012	1115825.871	VAST
6	2013	1123615.596	VAST
6	2014	6616965.447	VAST
6	2015	2348882.577	VAST
6	2016	1013187.518	VAST
6	2017	1420548.243	VAST
6	2018	1773251.738	VAST
7	1982	112750.4009	VAST
7	1983	421141.0477	VAST
7	1984	865391.0225	VAST
7	1985	1604826.91	VAST
7	1986	1547314.602	VAST
7	1987	1193545.716	VAST
7	1988	1388304.645	VAST
7	1989	3395844.18	VAST
7	1990	1019050.763	VAST
7	1991	1784421.206	VAST
7	1992	580417.857	VAST
7	1993	351545.1391	VAST
7	1994	183175.881	VAST
7	1995	1412636.368	VAST
7	1996	1091120.1	VAST
7	1997	852913.5287	VAST
7	1998	709127.0275	VAST
7	1999	2296720.051	VAST
7	2000	724840.3039	VAST
7	2001	581252.8103	VAST
7	2002	821235.6675	VAST
7	2003	2258235.802	VAST
7	2004	613288.8127	VAST
7	2005	1009663.309	VAST
7	2006	743047.7254	VAST
7	2007	1125587.72	VAST
7	2008	819593.5889	VAST
7	2009	503698.5738	VAST
7	2010	322636.6756	VAST
7	2011	255592.1299	VAST
7	2012	371275.4143	VAST
7	2013	678858.4047	VAST
7	2014	3414150.786	VAST
7	2015	4649900.587	VAST
7	2016	1489070.386	VAST
7	2017	1085079.194	VAST
7	2018	688917.0223	VAST
8	1982	54698.23155	VAST
8	1983	202327.9324	VAST
8	1984	195855.2478	VAST
8	1985	325142.0645	VAST
8	1986	1439972.891	VAST
8	1987	484965.298	VAST
8	1988	1057388.322	VAST
8	1989	515474.0508	VAST
8	1990	2541416.395	VAST
8	1991	668547.6528	VAST
8	1992	820652.1362	VAST
8	1993	474033.6941	VAST
8	1994	160932.1702	VAST
8	1995	371119.8218	VAST
8	1996	366011.4583	VAST
8	1997	1022104.35	VAST
8	1998	457085.9382	VAST
8	1999	641360.5356	VAST
8	2000	2369578.293	VAST
8	2001	292086.0916	VAST
8	2002	389027.3449	VAST
