#	Number	of	strata	
10				
#	SqKm	per	stratum	
77871.2	#	10	1	77,871
41027.07	#	20	2	41,027
94526.06	#	31	3	94,526
8774.17	#	32	4	8,774
62703.46	#	41	5	62,703
24011.09	#	42	6	24,011
21107.7	#	43	7	21,108
38792.44	#	50	8	38,792
88133.72	#	61	9	88,134
6428.614	#	62	10	6,429
#	20655.09	#	82	13
#	11567.96	#	90	14
#	number	of	observations	
15304				
#	StrataIndex	STRATUM	NUMCPUE	BOT_TEMP
1982	1	10	0	3
1982	1	10	0	3
1982	1	10	1.341198229	3
1982	1	10	6.489596547	3
1982	1	10	40.86669159	3
1982	1	10	17.20931412	3
1982	1	10	0.557215808	3
1982	1	10	0.021947459	3
1982	1	10	0.044099317	3
1982	1	10	0	3
1982	1	10	1.029131254	3
1982	1	10	2625.89303	3
1982	1	10	2.351562102	3
1982	1	10	0.219568808	3
1982	1	10	0.015577543	3
1982	1	10	0.051554073	3
1982	1	10	0.02284463	3
1982	1	10	0	3
1982	1	10	17.83093397	3
1982	1	10	2.409118985	3
1982	1	10	2.187451372	3
1982	1	10	10.51393754	3
1982	1	10	33.96303014	3
1982	1	10	2.108535174	3
1982	1	10	1.380966015	3
1982	1	10	4.887009511	3
1982	1	10	1.001299951	3
1982	1	10	0.010767854	3
1982	1	10	3.064991632	3
1982	1	10	1.03301105	3
1982	1	10	19.54578873	3
1982	2	20	0	3
1982	2	20	0.091140067	3
1982	2	20	0.189617819	3
1982	2	20	49.87793568	3
1982	2	20	86.35242561	3
1982	2	20	4.954102886	3
1982	2	20	7.208178765	3
1982	2	20	4.820526484	3
1982	2	20	1.559410526	3
1982	2	20	0.299336966	3
1982	2	20	0.069163717	3
1982	2	20	4.211971581	3
1982	2	20	4.507925732	3
1982	2	20	32.93860024	3
1982	2	20	18.41966709	3
1982	3	31	27.49580692	3
1982	3	31	4.031858987	3
1982	3	31	1.574422509	3
1982	3	31	8.482111174	3
1982	3	31	158.2305798	3
1982	3	31	4.274896458	3
1982	3	31	6.578893269	3
1982	3	31	0.022264894	3
1982	3	31	35.65708689	3
1982	3	31	17.77415805	3
1982	3	31	4.955719297	3
1982	3	31	81.29089942	3
1982	3	31	49.99916946	3
1982	3	31	9.574597995	3
1982	3	31	2.927405128	3
1982	3	31	23.29153864	3
1982	3	31	11.73992305	3
1982	3	31	5.809404562	3
1982	3	31	25.29384728	3
1982	3	31	16.15136933	3
1982	3	31	59.7896276	3
1982	3	31	36.19727513	3
1982	3	31	2.015103851	3
1982	3	31	10.97648759	3
1982	3	31	8.136804359	3
1982	3	31	16.2716207	3
1982	3	31	54.98313677	3
1982	3	31	61.70694431	3
1982	3	31	5.507198726	3
1982	3	31	8.757274244	3
1982	3	31	65.4182134	3
1982	3	31	7.190770657	3
1982	3	31	411.9106467	3
1982	4	32	122.0624051	3
1982	4	32	1341.056032	3
1982	4	32	293.8415457	3
1982	4	32	39.06777249	3
1982	4	32	0.030062249	3
1982	5	41	60.07927865	3
1982	5	41	44.26020733	3
1982	5	41	16.70688419	3
1982	5	41	39.08775038	3
1982	5	41	53.99087875	3
1982	5	41	10.10523727	3
1982	5	41	14.11041443	3
1982	5	41	3.650745999	3
1982	5	41	14.42374438	3
1982	5	41	36.20941225	3
1982	5	41	57.91342517	3
1982	5	41	109.9550396	3
1982	5	41	1321.351625	3
1982	5	41	489.8802467	3
1982	5	41	70.73304651	3
1982	5	41	1.455109462	3
1982	6	42	40.48738999	3
1982	6	42	18.91180527	3
1982	6	42	5.249367879	3
1982	6	42	124.3534629	3
1982	6	42	0.021262201	3
1982	6	42	18.06893713	3
1982	6	42	0.054900346	3
1982	6	42	102.7522262	3
1982	6	42	770.9636555	3
1982	6	42	20.22131856	3
1982	6	42	66.09065368	3
1982	6	42	16.04839687	3
1982	6	42	929.8092644	3
1982	6	42	39.00561344	3
1982	6	42	28.42174032	3
1982	6	42	578.5952841	3
1982	7	43	9.615878298	3
1982	7	43	26.21955999	3
1982	7	43	20.4925636	3
1982	7	43	33.54395549	3
1982	7	43	14.22974053	3
1982	8	50	24.54616633	3
1982	8	50	11.70230862	3
1982	8	50	30.61911565	3
1982	8	50	30.68050395	3
1982	8	50	27.69619234	3
1982	8	50	69.12411037	3
1982	8	50	62.99150178	3
1982	8	50	75.44244659	3
1982	8	50	119.7311881	3
1982	8	50	56.88205468	3
1982	8	50	38.52651247	3
1982	8	50	28.12492842	3
1982	9	61	160.0229449	3
1982	9	61	86.33713965	3
1982	9	61	55.23426345	3
1982	9	61	7.776793805	3
1982	9	61	131.6292402	3
1982	9	61	91.25027768	3
1982	9	61	27.8092022	3
1982	9	61	190.2248991	3
1982	9	61	38.99990349	3
1982	10	62	8.189125682	3
1982	1	10	0	3
1982	1	10	0	3
1982	1	10	2.78772886	3
1982	1	10	29.40664769	3
1982	1	10	0	3
1982	1	10	125.8816889	3
1982	1	10	4.44892668	3
1982	1	10	8.197678498	3
1982	1	10	56.27430238	3
1982	1	10	0	3
1982	1	10	0	3
1982	1	10	2.430278791	3
1982	1	10	1.286763625	3
1982	1	10	0.036606011	3
1982	1	10	513.9036859	3
1982	1	10	0	3
1982	1	10	2.177535411	3
1982	1	10	5.911543348	3
1982	1	10	3.077910697	3
1982	1	10	5.696716771	3
1982	1	10	0	3
1982	1	10	0	3
1982	1	10	4.467891348	3
1982	1	10	3.206625936	3
1982	1	10	21.3178418	3
1982	1	10	10.51088236	3
1982	2	20	0	3
1982	2	20	0.18151733	3
1982	2	20	0.080161032	3
1982	2	20	0.085231964	3
1982	2	20	0.882796749	3
1982	2	20	0.012008767	3
1982	2	20	0.129302936	3
1982	2	20	4.476698204	3
1982	2	20	0.833642664	3
1982	2	20	7.101288939	3
1982	2	20	50.99682186	3
1982	2	20	5.729496917	3
1982	2	20	3.158504061	3
1982	2	20	10.03018761	3
1982	2	20	0.149654503	3
1982	3	31	122.2045438	3
1982	3	31	15.32711928	3
1982	3	31	11.28859473	3
1982	3	31	4.475449635	3
1982	3	31	35.1098925	3
1982	3	31	0.391895418	3
1982	3	31	0.029476701	3
1982	3	31	1.096428713	3
1982	3	31	3.532015782	3
1982	3	31	9.329837189	3
1982	3	31	37.59971077	3
1982	3	31	151.6214403	3
1982	3	31	74.12894422	3
1982	3	31	4.56786034	3
1982	3	31	25.15189491	3
1982	3	31	10.20759955	3
1982	3	31	5.450684871	3
1982	3	31	2.423003345	3
1982	3	31	0	3
1982	3	31	11.83944577	3
1982	3	31	3.658449981	3
1982	3	31	27.81606556	3
1982	3	31	4.492125986	3
1982	3	31	1.036784675	3
1982	3	31	16.31883169	3
1982	3	31	139.6072085	3
1982	3	31	158.2931608	3
1982	3	31	37.84862586	3
1982	3	31	11.79131818	3
1982	3	31	43.63108905	3
1982	3	31	11.591207	3
1982	3	31	3.667249504	3
1982	3	31	2.60184259	3
1982	3	31	40.16841258	3
1982	3	31	1591.06556	3
1982	4	32	27.83474998	3
1982	4	32	13.10875159	3
1982	4	32	2.66662905	3
1982	5	41	6.609942346	3
1982	5	41	113.2365971	3
1982	5	41	203.9544849	3
1982	5	41	58.82299765	3
1982	5	41	66.12177718	3
1982	5	41	7.35478731	3
1982	5	41	5.614368207	3
1982	5	41	6.62778273	3
1982	5	41	0.082307927	3
1982	5	41	104.7899723	3
1982	5	41	46.76429396	3
1982	5	41	300.6322506	3
1982	5	41	444.5916068	3
1982	5	41	2077.784224	3
1982	5	41	2.121194354	3
1982	5	41	78.93474254	3
1982	5	41	798.7333699	3
1982	5	41	85.2496821	3
1982	5	41	0.264872449	3
1982	5	41	1.748707408	3
1982	5	41	6.419899178	3
1982	5	41	36.07396495	3
1982	6	42	70.30370341	3
1982	6	42	0.860181149	3
1982	6	42	193.9509277	3
1982	6	42	86.49815492	3
1982	6	42	180.473346	3
1982	6	42	51.38979581	3
1982	6	42	129.8647331	3
1982	6	42	398.5847714	3
1982	6	42	69.82423486	3
1982	6	42	0.725254778	3
1982	6	42	0	3
1982	6	42	1.547991908	3
1982	6	42	10.84008461	3
1982	6	42	268.6217891	3
1982	7	43	36.10225993	3
1982	7	43	39.89104764	3
1982	7	43	5.417285844	3
1982	7	43	0	3
1982	7	43	0.289819208	3
1982	7	43	17.94734097	3
1982	7	43	8.156398544	3
1982	7	43	50.79317845	3
1982	8	50	56.55430514	3
1982	8	50	87.76057872	3
1982	8	50	42.70591419	3
1982	8	50	2.575074709	3
1982	8	50	24.84934165	3
1982	8	50	355.8357338	3
1982	8	50	94.62576558	3
1982	8	50	37.76298703	3
1982	8	50	15.50388699	3
1982	8	50	104.0836766	3
1982	8	50	61.09428237	3
1982	9	61	691.8872265	3
1982	9	61	754.4866954	3
1982	9	61	460.2804707	3
1982	9	61	275.8816699	3
1982	9	61	306.1705272	3
1982	9	61	289.5680317	3
1982	9	61	0.083751997	3
1982	9	61	107.9519089	3
1982	9	61	43.64308546	3
1982	9	61	495.1425898	3
1982	9	61	13.7837812	3
1982	9	61	555.8338402	3
1982	9	61	47.9290623	3
1982	9	61	33.2325555	3
1982	9	61	83.66483844	3
1982	9	61	106.2726478	3
1982	9	61	197.1711121	3
1982	9	61	1.487339082	3
1982	9	61	11.85413251	3
1982	9	61	82.92141611	3
1982	9	61	42.25324744	3
1982	9	61	12.91801473	3
1982	9	61	113.1866438	3
1982	9	61	23.31114603	3
1982	9	61	26.37541329	3
1982	9	61	26.21442207	3
1982	9	61	22.63106547	3
1982	9	61	6.088960078	3
1982	9	61	50.66059438	3
1982	9	61	39.17445696	3
1982	9	61	27.55693757	3
1982	9	61	78.70294349	3
1982	9	61	83.32393777	3
1982	9	61	19.34387689	3
1982	9	61	77.32828241	3
1982	9	61	13.93429731	3
1982	9	61	6.035641265	3
1982	9	61	18.50799426	3
1982	9	61	4.822756886	3
1982	9	61	28.57004765	3
1982	9	61	4.640085553	3
1982	9	61	7.207737755	3
1982	9	61	26.61459486	3
1982	9	61	6.203967235	3
1982	9	61	5.802426882	3
1982	9	61	28.95884072	3
1982	9	61	16.70983491	3
1982	10	62	36.20707509	3
1982	10	62	38.86249674	3
1982	10	62	36.7192634	3
1982	10	62	25.24202995	3
1982	10	62	33.82885422	3
1982	10	90	18.6523596	3
1982	10	90	74.93729516	3
1982	10	90	110.2022645	3
1982	10	90	8.524751035	3
1982	10	90	48.2044146	3
1983	1	10	5.372480989	3
1983	1	10	850.486325	3
1983	1	10	23.24691076	3
1983	1	10	298.3454027	3
1983	1	10	0	3
1983	1	10	0	3
1983	1	10	0	3
1983	1	10	212.8686404	3
1983	1	10	770.7322187	3
1983	1	10	66.5558779	3
1983	1	10	356.8735847	3
1983	1	10	1.019354796	3
1983	1	10	0	3
1983	1	10	0.125052438	3
1983	1	10	0.48171404	3
1983	1	10	1.530058632	3
1983	1	10	42.35065532	3
1983	1	10	197.2756687	3
1983	1	10	51.72124357	3
1983	1	10	11.41497029	3
1983	1	10	6.733933735	3
1983	1	10	85.72533214	3
1983	1	10	10.21127608	3
1983	1	10	0	3
1983	1	10	0	3
1983	1	10	5.862375022	3
1983	1	10	54.02673099	3
1983	1	10	8.781667529	3
1983	2	20	0.034142772	3
1983	2	20	0.209544097	3
1983	2	20	0.412272548	3
1983	2	20	15.55788237	3
1983	2	20	14.07374292	3
1983	2	20	2.919427323	3
1983	2	20	0.164571836	3
1983	2	20	2.63392309	3
1983	2	20	25.631508	3
1983	2	20	26.57710331	3
1983	2	20	30.67295847	3
1983	2	20	13.71058245	3
1983	2	20	9.408051242	3
1983	2	20	2.868349928	3
1983	2	20	64.81151641	3
1983	3	31	152.9164801	3
1983	3	31	81.75913935	3
1983	3	31	135.4188332	3
1983	3	31	41.9710344	3
1983	3	31	123.6691757	3
1983	3	31	12.14977017	3
1983	3	31	88.7385238	3
1983	3	31	33.67695659	3
1983	3	31	203.3096059	3
1983	3	31	6.687365295	3
1983	3	31	252.8724452	3
1983	3	31	25.67239115	3
1983	3	31	2135.454382	3
1983	3	31	58.39490107	3
1983	3	31	68.1665854	3
1983	3	31	795.7779011	3
1983	3	31	20.87066914	3
1983	3	31	47.09692568	3
1983	3	31	1282.642269	3
1983	3	31	204.2888255	3
1983	3	31	9.253522401	3
1983	3	31	6.948082657	3
1983	3	31	0.340747108	3
1983	3	31	6.278468964	3
1983	3	31	38.19027194	3
1983	3	31	29.23060062	3
1983	3	31	125.61412	3
1983	3	31	2.267625758	3
1983	3	31	14.65329187	3
1983	3	31	90.73868557	3
1983	3	31	130.9627751	3
1983	3	31	0	3
1983	3	31	1.54099066	3
1983	3	31	26.87579646	3
1983	3	31	819.1745568	3
1983	3	31	314.5406591	3
1983	4	32	36.27533637	3
1983	4	32	36.2123851	3
1983	4	32	249.7605975	3
1983	4	32	192.9176986	3
1983	4	32	0	3
1983	5	41	8.417368416	3
1983	5	41	82.48359587	3
1983	5	41	11.04988415	3
1983	5	41	18.39478957	3
1983	5	41	60.22242149	3
1983	5	41	38.22793972	3
1983	5	41	29.85638547	3
1983	5	41	8.113928285	3
1983	5	41	9.482823176	3
1983	5	41	31.62369448	3
1983	5	41	18.55813639	3
1983	5	41	5.314445358	3
1983	5	41	14.60875937	3
1983	5	41	8.336492018	3
1983	5	41	28.47565898	3
1983	5	41	53.06681518	3
1983	5	41	93.6243762	3
1983	5	41	24.91318786	3
1983	5	41	14.87257742	3
1983	5	41	801.7674288	3
1983	5	41	51.65188362	3
1983	6	42	744.053159	3
1983	6	42	4.766196369	3
1983	6	42	82.15243442	3
1983	6	42	3091.472322	3
1983	6	42	389.7219328	3
1983	6	42	2.412971059	3
1983	6	42	0	3
1983	6	42	9.749296779	3
1983	6	42	5.930268052	3
1983	6	42	8.847064336	3
1983	6	42	21.41076985	3
1983	6	42	66.28563863	3
1983	6	42	162.8213339	3
1983	6	42	41.47280866	3
1983	6	42	355.4904347	3
1983	6	42	36.36781787	3
1983	7	43	1015.885669	3
1983	7	43	840.9044159	3
1983	7	43	626.1462143	3
1983	7	43	186.7209758	3
1983	7	43	500.2818093	3
1983	7	43	4.79221247	3
1983	7	43	388.8994437	3
1983	7	43	703.1125771	3
1983	7	43	921.3896341	3
1983	8	50	533.7930263	3
1983	8	50	40.52508193	3
