"","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Age_1",0.103391615590017,0.215426086191436,0.0512902295627386,0.305402359506513,0.239175271498558,0.0399617559675028,0.087618391044354,0.0689790067352254,0.161886708528766,0.324767203939083,0.240402179372863,0.261524602429129,0.145076003852151,0.13221127455279,0.268824450277266,0.247476152607944,0.117312632454282,0.123974934120933,0.0969447166425646,0.221304621239957,0.105105792923259,0.0412501971210951,0.0611106735845673,0.0438415370191779,0.164101793647215,0.277945844939042,0.106173747427218,0.205551726570324,0.0710380436464408,0.22459361949617,0.159123943717265,0.143451592920113,0.132155791166604,0.0800410731044114,0.0571676458350471,0.0652130863374155,0.158685720611528,0.165038772954795
"Age_2",0.199311854961529,0.0300462025708292,0.0301345726170312,0.0358960261811526,0.0486424187602002,0.0576173157191187,0.0346962179774039,0.0220639566951107,0.0194269361287603,0.0651235989868757,0.0391426240007928,0.0292597463727957,0.0519020364414139,0.0121738410866568,0.0542313031429773,0.0377498122965652,0.0796525356602375,0.0929046542522322,0.0305850177103171,0.0943008247431581,0.0383710940553689,0.0104788800271828,0.0324134732246844,0.0135302813713767,0.0121116872031529,0.00652906270046152,0.0201694453228346,0.047272925448562,0.0156090827625233,0.0180362573627738,0.0235282885067034,0.0111639194575933,0.0278048094642117,0.0501854835448866,0.028896270813927,0.0240081539303491,0.0478410229807376,0.0451009528282881
"Age_3",0.222474515538849,0.0815107032967225,0.0520515597379493,0.132070588369311,0.0437493379110993,0.0803382933835094,0.0929702845365785,0.0365658664711493,0.00780326526197237,0.0243891361445401,0.201902364224377,0.0710940390614716,0.0417824770589853,0.0307781848468657,0.0233872255440102,0.0168168200211287,0.0463605638002864,0.0906377728614248,0.0451338868726204,0.053533899471334,0.0813372449375633,0.0684243729300353,0.02387319817318,0.0223844994630888,0.0184684065473812,0.0185674095685887,0.0221043565678386,0.0961740945148347,0.0334066435905784,0.0376467220192291,0.0470463082566245,0.023651195355454,0.0146329326536084,0.139856688874716,0.0491735763980417,0.0366283385116136,0.0209343469389117,0.0301688075152075
"Age_4",0.326133673149708,0.166257187249123,0.148137418888696,0.0531866874671485,0.152019005783186,0.0599196317941921,0.18817641026254,0.125855973310886,0.0501022924895113,0.0091234324652998,0.0374769074746199,0.304913413942897,0.139901800958921,0.131374641169379,0.0488889943905215,0.0218158840176847,0.0331803550813877,0.10100438467453,0.151622389872483,0.054584611233283,0.118993019219253,0.116295861865616,0.191997580436047,0.108309676288074,0.0678636577425106,0.0539814041637503,0.0385603856795563,0.112366677039564,0.396621263833491,0.0562061929570874,0.40193583263563,0.0986337526186144,0.022499514061423,0.0375937454925671,0.266411914932209,0.186913942930146,0.0417667861993515,0.0350944167699277
"Age_5",0.111097242364868,0.354208349117667,0.180645929711395,0.199534449764792,0.0885677128553607,0.360199114161626,0.0819193659959547,0.287849021480921,0.101731731687638,0.0507725353675067,0.0449489352139553,0.0673418902836085,0.387818202817554,0.177202830398303,0.126399992674109,0.278042114257022,0.0675987785132378,0.0583445462302336,0.154216766112948,0.137499890296316,0.124985940213298,0.141200555208749,0.189415677643906,0.317612174993352,0.176004312654709,0.152056912154393,0.107502212800552,0.0678029116105775,0.187363678161265,0.290448953204043,0.0939612749593532,0.478279888409731,0.109977279372222,0.0808925347335881,0.117570507095226,0.251814472836194,0.282951601192051,0.102870455281638
"Age_6",0.0149614731251927,0.109541844350832,0.417391577301276,0.139814730526364,0.14418378698148,0.10192665589735,0.257005569049268,0.0591583254072351,0.32974300836748,0.0494796948399299,0.0733679152082739,0.0528773427763709,0.0692587560963314,0.274795298269033,0.174150657052349,0.141979582030839,0.385977706612711,0.101541710632412,0.0797389823399853,0.139830819366587,0.158881283998873,0.12528584608029,0.146619996566336,0.209337761413583,0.216703586411666,0.175233359314945,0.222119805908589,0.0949196057212501,0.05815493803368,0.146396580285318,0.13686849746353,0.108603368907521,0.395193050281504,0.156649874654389,0.0863506412745948,0.114799566691303,0.191406180846425,0.377587531831454
"Age_7",0.00988011003995524,0.0196806578718878,0.0837788306690486,0.100762590229458,0.122223293972974,0.0990625404671341,0.0746228218253288,0.226607029582363,0.0645622652770642,0.161838712364392,0.0633563771737827,0.0270163072180733,0.0179100146175612,0.113025884999482,0.161115605284495,0.0854190633161551,0.106852698978631,0.250571390685939,0.0654817733997802,0.0586100893378387,0.0813720850170369,0.158956010645837,0.0828339280398968,0.106941585502408,0.135750955443472,0.123039273910449,0.174216399488226,0.125317325377172,0.048424159622548,0.0428950182474011,0.0446919722488176,0.065559851474006,0.199316335826569,0.312698418581409,0.129712940678078,0.0872602999732184,0.0729983733138829,0.152491906311272
"Age_8",0.00493282667302545,0.00972009145465721,0.019508273566862,0.020501108481328,0.113600399352214,0.0399514253530834,0.0571503609656584,0.0340170388428889,0.15811461941243,0.0594760983559014,0.0881846060821149,0.0359841448920555,0.0152920910395902,0.0298872493057147,0.0529705556050045,0.10149667372112,0.0674476327748309,0.0714629957177548,0.206732079063078,0.0296628893733833,0.0386093595314664,0.0851403162932183,0.0891423068244002,0.0481358401289696,0.0642459106997031,0.0874316817353604,0.119704652827335,0.0944192677230195,0.0490954948859592,0.024278248442081,0.0172562982594155,0.0227866205116304,0.0432615491822487,0.0951397137907044,0.198892687968121,0.0818321959378888,0.0545601848948716,0.0363459384802983
"Age_9",0.00317354767549013,0.00458714955857403,0.00931637838851765,0.00554691118822984,0.0370320197555736,0.130133808293667,0.032035881186526,0.0435433242538175,0.0159843861367596,0.128415452154804,0.0396111153677169,0.0468893999373782,0.0170661253992375,0.0181576591789163,0.0129077923060992,0.0169372253296737,0.054034216045447,0.0368802109714398,0.0813632345599012,0.0858949282692086,0.0533695354816553,0.0366001991031685,0.0440116219181531,0.0360546017077777,0.0372306306954215,0.0358647689257804,0.0752016390434693,0.0681564360156694,0.0488955148439989,0.0376788354028295,0.0121401323673526,0.00779694882821526,0.0240932825820357,0.0247846326380322,0.04052227687284,0.104189016071684,0.0605049516092687,0.026081081829672
"Age_10",0.00198767630775004,0.00399015955131902,0.00310833516862987,0.00444189876838309,0.00598276311176453,0.0208190413703808,0.0785425352687252,0.0159864408812265,0.0304740172963387,0.0328795964938569,0.0741861818694165,0.0284007729138549,0.0309037571092236,0.0122267720651469,0.0141029671974596,0.00805947543626131,0.0131671312765045,0.034132421043643,0.0424991387322423,0.0617668953988422,0.100113050151299,0.0474007820310423,0.0272474532066938,0.0260675220621425,0.0316513789478548,0.0162349422507068,0.0285562464612585,0.0326269751513562,0.0333846326303804,0.0367594409221793,0.0169641393623174,0.0070402924282789,0.00863548844031741,0.0115439242358357,0.0155184907689468,0.0298215458604007,0.0468899990519554,0.0153378956175598
