"","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Age_1",0.0859921244425061,0.177621164529034,0.0387754584321601,0.264085887220243,0.204957790730035,0.0298087180265619,0.0694299740032591,0.0544451173726536,0.121381883884351,0.254817222202568,0.165977401835936,0.187120267992899,0.1269640561347,0.119857649518586,0.215614711470909,0.209513473114748,0.100252286981233,0.0999616901158908,0.0724663900951713,0.167252580204386,0.0701252896775443,0.0295924889733015,0.0452286230645419,0.0350415497249937,0.138623372176358,0.235891689658601,0.0877099432983323,0.177022643134913,0.0576308822447939,0.188516650325618,0.131439181895593,0.102295413841495,0.110097404834572,0.0717728939480202,0.057901484993648,0.054854425716145,0.128449927122414,0.114441015165904
"Age_2",0.203635181490777,0.0324069507381986,0.0307561756645481,0.0386074259146398,0.0517478834034618,0.0596699063042974,0.0356934280945644,0.0228167263002101,0.0203686750528251,0.0701799714152378,0.0422126335391783,0.0315332925278336,0.053429558641998,0.0123776145764205,0.0568678584212338,0.038760106874223,0.0917394508398846,0.096726819444922,0.0317303444274055,0.102009621583171,0.0410505960378411,0.0109370243349301,0.033799757010844,0.0136131239180493,0.0124654034044272,0.0069119307805164,0.0206776008765751,0.049016808838303,0.0154558768993508,0.0189597783205085,0.0241649787616872,0.0116698442971001,0.0295772633052561,0.0561805794537391,0.0346709652737199,0.0275567756520474,0.0577502378882305,0.0408195209282986
"Age_3",0.228379566421994,0.0875969040607488,0.0534425488002296,0.142782451018278,0.0465531700475634,0.0830984023194461,0.095584396397562,0.0374088057087907,0.00820902423730779,0.0271672857941419,0.224340552062633,0.0791258768549524,0.0431253293562758,0.0313627384179017,0.025201799526188,0.0176913509330969,0.05333985232025,0.094549417660204,0.0469440089765719,0.0580374623438584,0.0873657631343481,0.0725790894316943,0.0251545657516846,0.0227787804129683,0.0188324810079309,0.0196546342212938,0.0225948176303764,0.0998691308463002,0.033845325855922,0.0399471790059691,0.0487575638074988,0.0247737874356827,0.0154507256592604,0.15720815182897,0.059556423049031,0.0429917588223515,0.0244665821116359,0.0302060087707919
"Age_4",0.333387670453391,0.176638251023529,0.151091709540748,0.0569620235732542,0.161369676293087,0.0619133245841754,0.193167202237078,0.127683965154327,0.0527904798962461,0.0101765053877475,0.0416084671434322,0.339849446601587,0.144382116128783,0.134001457943365,0.0518633019187858,0.0228674479561101,0.0367819941945499,0.105279863733946,0.157668935782444,0.0591711912065045,0.127728273129674,0.12330981320592,0.202547769273481,0.110650319494108,0.0697980339012687,0.057241704325817,0.0395899894841782,0.116778937766353,0.403301559320014,0.0598347064783891,0.41759253785804,0.103680794511222,0.0235988063848576,0.042091541223595,0.31498258470767,0.217948288367912,0.0503323132457671,0.0378273257966322
"Age_5",0.112535558288577,0.37400004422234,0.184350627381731,0.213207083957608,0.0940602413854119,0.371874638664581,0.0841706990493025,0.293850431858709,0.107350381773172,0.0566588846965475,0.0498279762392388,0.0751004961991301,0.400002339849958,0.180902109477414,0.138364355039356,0.292141333217322,0.0694588054621337,0.0607665552921411,0.160329777648163,0.148976091479603,0.133093913523755,0.148882754834612,0.199435970987533,0.324544138282824,0.182636588476397,0.161571309994274,0.110458173950449,0.0704961843655042,0.190826953926935,0.309276696225013,0.0978420733876018,0.504949429962404,0.115088080750295,0.0880397608500407,0.127847383704977,0.271066337429187,0.330568060071902,0.113935670722366
"Age_6",0.0148679671971911,0.111392774962568,0.424043751451711,0.14769458300778,0.152314656971634,0.104862477297482,0.264005773155006,0.0611273958254481,0.348000764681138,0.0552249790116976,0.08132750728992,0.0589037994506733,0.0714365657288688,0.280465996449757,0.191205533832725,0.151734112620798,0.392665340247502,0.105608399001368,0.0828327530993879,0.151268060185108,0.167718786763245,0.129977616859283,0.152436134579062,0.213666703955156,0.225102766191764,0.186212386273887,0.228265040492556,0.0987180523089061,0.059227783802496,0.155446173538431,0.142442643219721,0.114640752996257,0.411078727001232,0.161414883169328,0.0836122654071923,0.11615861678321,0.19679345539017,0.411450683455021
"Age_7",0.00964405023075393,0.019257208240422,0.0834378141974664,0.104860365464117,0.128253842213412,0.100723718602055,0.0765830376273638,0.234017146446706,0.0681702267259399,0.180625527980117,0.0702626809517387,0.029994781042881,0.0184574214285801,0.115318354424229,0.17633388382434,0.0924870015937261,0.104235663777511,0.259436970607787,0.0679632268754913,0.0633249826611159,0.0854303464674292,0.163400959791639,0.0853079390843745,0.108811654880223,0.140966276070739,0.130704528528872,0.179042286372119,0.130300184213393,0.0492613997927832,0.0453445705129831,0.0463005030078072,0.0689833941928301,0.204754858553979,0.301418009737315,0.112627365529373,0.0798049172472912,0.0665688322384783,0.161690929427436
"Age_8",0.00463405082192161,0.00903534914627691,0.0186772535750819,0.0202747797650407,0.115340977510327,0.0394211235677348,0.0581771066200063,0.0348968270933927,0.166366454921701,0.0663179092393381,0.0974740455558429,0.0396747713087845,0.0155437909600084,0.0303692543625507,0.0575675929127498,0.108805809695728,0.065239874240004,0.0731754755961912,0.213135131467933,0.0318700330995114,0.0401286732132622,0.085233498021852,0.0898493690157396,0.0484936873919628,0.0665996078268911,0.0927841702255264,0.122895790737608,0.0981396877117928,0.0498819320924444,0.0251942728201764,0.0176617102845085,0.0235870044673126,0.0419907840722606,0.0853298391201609,0.159924556336982,0.0707062823575699,0.0479474310182264,0.0369299646580726
"Age_9",0.0029001929146231,0.00408302828223125,0.00854703113613064,0.00496101694600124,0.0356823918672458,0.121697643284506,0.0321930717344175,0.0434133122002966,0.0167157634848051,0.142698220905169,0.0435763057937973,0.0510298416027111,0.0170166962305679,0.0182592287835374,0.0137871362789524,0.0176553134791929,0.0495216041334437,0.0366858301779688,0.0825694990782815,0.0911074561533261,0.0540730907668291,0.0358639204933358,0.0422031758724547,0.0357338543672325,0.0382259376294252,0.0378819960928941,0.0765563326331057,0.0706623283331283,0.0496161125023483,0.0385890968613824,0.0122629161667812,0.00789319888085125,0.0223152818681592,0.0197063088139965,0.0305285417715201,0.0829431032854257,0.0474214736113622,0.0254422064679514
"Age_10",0.00179739957621015,0.00363953435994151,0.00292598082333916,0.00410879680485304,0.00560585810017272,0.0187302037666791,0.0770447076020892,0.0159647993941081,0.0314285950341442,0.0364443122141547,0.0813603177727198,0.0308739890389995,0.0308775317846632,0.0121632908694626,0.0147272628267231,0.00848949675907008,0.0122031202685957,0.0337542593674538,0.04264275005487,0.0650542637358893,0.100206162462877,0.045449939923137,0.0259693209058435,0.0256377356776367,0.0323689061336475,0.0170366494942194,0.0290626062986561,0.0338015429758151,0.0338237378013271,0.0375003213328765,0.0170223858545412,0.00704981184435406,0.00791606126256928,0.00928475389461927,0.011808595594528,0.0234365746257783,0.0357937616689846,0.0142863456271223
