"","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Age_0",4.10301343702688e-05,0.000671964241818333,5.84212175266555e-06,0.000154239358122753,4.40991823371536e-05,0.00352837666517369,7.1473961730379e-05,0.00102566991526537,4.03313028012961e-06,1.15393437291474e-05,7.07596523191123e-05,0.000234368732748174,0.0034746959500692,0.0105348590028694,4.83073693321295e-06,9.10056784485939e-06,2.45131982300567e-05,9.90177684898142e-06,9.82583766903014e-06,0,2.60047928324759e-06,6.05945622239279e-06,0,2.00227752623629e-06,0,0,6.70967375464441e-07,0,0,8.35644794196041e-05,3.96693985272757e-05,4.99540764751821e-07,1.04891048315132e-06,8.40255362639399e-07,4.58437147816789e-06,4.86800634048216e-06,3.03794989637574e-05
"Age_1",0.0879976204416244,0.21106952929678,0.0459240883975778,0.298289883659991,0.21865480126138,0.0339114275313982,0.0717187472535042,0.0608755635433514,0.131690040053724,0.312961725511221,0.193337677081354,0.218179609478987,0.136829176796692,0.117470889856714,0.249137267951863,0.225954319191409,0.107969405409327,0.10976905282427,0.085861252780624,0.191314464372463,0.0862287072212896,0.0316013030338905,0.0544264916374413,0.0403025587188838,0.161540454129175,0.272907361229596,0.104003575568921,0.195205938317703,0.0626675284430736,0.203362475123993,0.149209833385443,0.126791369768188,0.121594724682576,0.0765825299581008,0.0570425989567479,0.0638414692002359,0.150230144766472
"Age_2",0.20373541465289,0.0310701309257453,0.0277944486057824,0.0378722115867471,0.0477044317303389,0.0548430584143892,0.0357298537613697,0.0212075377475101,0.0196747463599404,0.0634798065666057,0.0399398882899037,0.0288555873080271,0.0540346705057407,0.0113675741675164,0.0551984700682622,0.0372658768222822,0.0845799528647528,0.0903562235951642,0.0301321214694961,0.0948121341144941,0.0393730091175237,0.0100260046752659,0.0332329646889437,0.0134178487179013,0.0124140435151065,0.00639346158387916,0.0227046363692243,0.0477173794505524,0.0165478232969218,0.0191978588615342,0.0241005288415525,0.0110028427555588,0.0260384174348437,0.0507718795212199,0.0313679293904781,0.0222975123500801,0.049103573349411
"Age_3",0.228514554034511,0.0825182984945248,0.0468481232140006,0.131223829718241,0.04355295007999,0.0778425835541676,0.095119192183535,0.0363023284131846,0.00753558685182893,0.021998063448669,0.20693753496266,0.0718016581567639,0.0439807846904401,0.0287247945499369,0.023762479022209,0.0167845703903016,0.0470746223564635,0.0908580458677978,0.0425004874389938,0.053511361977657,0.0844381341187018,0.0672016626451726,0.0238067361639747,0.0222291006265154,0.0174143609521426,0.0174825855441789,0.0204237917893848,0.0940888699112082,0.034473976254884,0.0398988807478627,0.048796407304203,0.0229366523175727,0.0146425751072861,0.144398251406605,0.0512953134520138,0.0361575349826799,0.0208960710943907
"Age_4",0.33062714752051,0.164688726198407,0.139243865946671,0.0524224959906632,0.1494952840303,0.0588151879615316,0.185884834781792,0.125588206018268,0.0496900345284237,0.00839788537335675,0.0378515473257068,0.31621815913414,0.135952022786068,0.132083167546081,0.0480748246241508,0.0210483286412935,0.0324766907014694,0.101194841082022,0.144899443352879,0.0554251056571906,0.120897582130577,0.11506978020063,0.189532099490448,0.106209384124785,0.0621730857879688,0.0484396032998822,0.0370519162400091,0.10556534557823,0.40102131255573,0.056971672474215,0.406643457134289,0.0979832104802144,0.022409168562576,0.0382685719210361,0.279560613968855,0.188154011069608,0.0412772094426344
"Age_5",0.113312580233712,0.357661051366154,0.179144369644829,0.198719263447551,0.0879333780500938,0.3621181499698,0.0814561244744958,0.288968827482716,0.101041641254698,0.0482410305360148,0.0461458579783878,0.0709887307585001,0.382718130794228,0.177593104729273,0.127170128863116,0.278320504663943,0.0659480831660006,0.0582136091252147,0.149941104416039,0.142617585299962,0.127164078798873,0.138155632467042,0.188806084722297,0.311323722428021,0.168454075149465,0.14601419421169,0.108208441108613,0.0660787804779698,0.186477803811064,0.296300365283269,0.0920624933431948,0.488796054554108,0.109223132913097,0.0823926259747928,0.119610375815725,0.248928953422256,0.282028634450714
"Age_6",0.0147159516382234,0.109733612904834,0.437293391745175,0.142177770356306,0.149065233136116,0.103449169964628,0.264330152544454,0.0588192898675311,0.338098414739337,0.047957448811386,0.077483897876413,0.0574348722062433,0.0679454532526212,0.278252449795347,0.17851761472306,0.145766062218656,0.384472677467564,0.103577420878736,0.0791887565241389,0.146929111138186,0.162274349418788,0.123524658733786,0.146450080810004,0.211218336478762,0.217032069527416,0.175937545086994,0.223462732980666,0.0953896979218147,0.0571389674779507,0.149487702018096,0.137062191917971,0.112587481097844,0.400474803297335,0.157468945713479,0.0845406315604384,0.115303903351478,0.190183592932134
"Age_7",0.00952406942515095,0.0197786320515616,0.0873777502066432,0.104713538356103,0.131040135972911,0.100764724962115,0.0781172424063845,0.229302442687399,0.0676267728408719,0.164180762287228,0.0683787227441658,0.0294344508306635,0.0182607649805236,0.116368530437697,0.165418008702336,0.0921377917075148,0.106777212643781,0.263647492674706,0.0671502936978046,0.0624162168092437,0.0837392700373159,0.160412124215575,0.0842115676689382,0.109893486702606,0.140362819213909,0.127901910650642,0.174876810440533,0.130781599856798,0.0485988424022065,0.0440971145512052,0.045605522690509,0.0680223362026275,0.206632689160961,0.31172905368194,0.124248422576942,0.0880743523550249,0.0738872613138251
"Age_8",0.00462038050991782,0.00950220775356006,0.0197753275397763,0.0212152325110616,0.121949500911117,0.0409430440723001,0.0594972149080419,0.0348070914693257,0.168654786918563,0.0615116335115661,0.0966805969382619,0.0396902699216781,0.0160432941351228,0.030571680910885,0.0554887464714006,0.11041498874007,0.0688259797295085,0.0736237300706145,0.219521289648041,0.0313648527732118,0.0396681088887697,0.0872577198780874,0.0914101241146451,0.0493755732015718,0.0675001880997602,0.0920552049851039,0.118840640108371,0.100441312668868,0.0497601777992602,0.0250733493025068,0.0179080894284598,0.0235374408589194,0.0440913156558709,0.0933954363751239,0.190032619285936,0.0830416707546579,0.056332111321996
"Age_9",0.00290864808053769,0.00444827928702485,0.00914577951858423,0.00568212965023119,0.0394154305780036,0.132388013683744,0.0336849863764083,0.0440681336008058,0.0175805131306,0.135475971912773,0.0437983005502381,0.0521286791445912,0.0180551275987379,0.0184697989142907,0.0137309261942634,0.0181113078150496,0.0564515073479712,0.0371282994723671,0.0862979510519012,0.0909925072288056,0.0538816296081574,0.0380512730279188,0.0447959330049139,0.0374550977921798,0.0391315229863622,0.0381262060195684,0.0750904208913805,0.0721260485343284,0.0507552826230257,0.0388923587253977,0.0126571219258048,0.00797969453123965,0.0242416623060239,0.0235164320090737,0.0385304565622784,0.105905195716205,0.0632122387529573
