year,total_sA_times_area_above3,total_sA_times_area_below3,total_kg_above3,total_kg_below3,total_area_nmi2,total_biom_mill_tons,total_backscatter
1994,35258856.68827,8815105.4144,2885208503.0774717,742986066.12056,78260,3.628194569198032,44073962.10267
1996,25818048.16061,6815390.6353,2309903738.284093,641767488.75769,93810,2.951671227041783,32633438.79591
1997,35372763.15075,9808711.4078,2589911053.512744,997732042.636112,102770,3.5876430961488563,45181474.55855
1999,39970717.41827,9621398.0437,3307659664.203214,855734437.21302,104820,4.163394101416234,49592115.46197
2000,33642090.49232,7083835.2066,3047553393.234737,578170908.16997,106140,3.625724301404707,40725925.698920004
2002,41910300.51231,9050579.626,3620133781.379398,684025872.13714,99300,4.304159653516538,50960880.13831
2004,34852823.38953,9056945.23333,3289411090.17602,702032489.974708,98860,3.991443580150728,43909768.62286
2006,16790644.00059,4083805.94966,1560209712.69633,314171774.8777959,89590,1.874381487574126,20874449.95025
2007,21122682.25287,6847414.42497,1768304586.62358,511766451.449291,92840,2.280071038072871,27970096.677840002
2008,13132362.34589,5693179.29632,993711786.97535,410254239.164908,94780,1.403966026140258,18825541.64221
2009,12721274.52741,4741096.7261500005,931659977.005137,399805465.1411129,91560,1.3314654421462497,17462371.25356
2010,30590724.32524,4051150.80884,2314778517.32039,319673471.6128997,91520,2.63445198893329,34641875.13408
2012,23118682.37253,6054666.35635,1828061365.81972,450746511.291011,95200,2.278807877110731,29173348.72888
2014,44360650.86185,14798490.44713,3449496322.94598,1292837028.272961,94430,4.7423333512189405,59159141.30898
2016,46297674.91479,10023546.41955,4062917899.68626,762942440.23826,101680,4.82586033992452,56321221.33434
2018,23559518.440072294,6227776.875824522,2119718677.6952643,374752134.26474565,99206.658,2.49447081196001,29787295.315896817
2020,36581568.71114076,6687933.573539698,NA,NA,102320,NA,43269502.284680456
