"Category","Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
"Age_1",1982,1,"Both",1446680.63213938,0.138189872906646,165979.412462282
"Age_1",1983,1,"Both",5726325.71860774,0.139258446331255,657095.01551095
"Age_1",1984,1,"Both",624066.590234284,0.163094551936514,81702.4907555589
"Age_1",1985,1,"Both",5701961.40117495,0.0989602367304017,480224.575445589
"Age_1",1986,1,"Both",3413295.47603099,0.13460063555504,381454.988446553
"Age_1",1987,1,"Both",582619.637958431,0.186724429274323,85861.8920355107
"Age_1",1988,1,"Both",1802505.48737355,0.147350835737278,219281.911015372
"Age_1",1989,1,"Both",1207283.38025986,0.141646984065116,141407.255543734
"Age_1",1990,1,"Both",2994455.36066794,0.159258847385728,388040.819277862
"Age_1",1991,1,"Both",4135728.3217179,0.103938115944922,369333.794981081
"Age_1",1992,1,"Both",2512748.03625,0.22694645341421,447528.740655075
"Age_1",1993,1,"Both",3830773.0594071,0.188738981718303,573858.846391819
"Age_1",1994,1,"Both",1741103.12406368,0.122248719532099,182121.654089068
"Age_1",1995,1,"Both",1731897.6822865,0.114901587599242,173582.229782341
"Age_1",1996,1,"Both",2167110.54629064,0.145772469470971,257823.295337416
"Age_1",1997,1,"Both",2769876.65459157,0.148349036333932,340508.538842199
"Age_1",1998,1,"Both",951621.384782752,0.14259361093572,111480.007224513
"Age_1",1999,1,"Both",1190808.51122646,0.131866419600997,131239.182624611
"Age_1",2000,1,"Both",1271669.49364225,0.160258908804276,165323.262232176
"Age_1",2001,1,"Both",2458551.13273404,0.160513963739895,323068.990519169
"Age_1",2002,1,"Both",1208194.62811637,0.182183360778995,176585.356903704
"Age_1",2003,1,"Both",675312.762198202,0.183304782335132,98145.0636653459
"Age_1",2004,1,"Both",526004.435820484,0.149584317785518,64476.9396423158
"Age_1",2005,1,"Both",477051.157869763,0.123760217976701,49375.206188342
"Age_1",2006,1,"Both",1031971.08481321,0.130010929357561,115541.925306965
"Age_1",2007,1,"Both",2999740.22314589,0.122323068835714,311092.379999955
"Age_1",2008,1,"Both",645952.03917899,0.126353596383593,69510.1013705297
"Age_1",2009,1,"Both",983846.573984519,0.124264623058356,104463.579411992
"Age_1",2010,1,"Both",593675.924408275,0.11798429769295,59656.6877131448
"Age_1",2011,1,"Both",1539537.93282596,0.128160276016585,165403.791954038
"Age_1",2012,1,"Both",1534415.79715344,0.124937259724939,161742.970328132
"Age_1",2013,1,"Both",1662650.32113602,0.155766989801392,211472.330458048
"Age_1",2014,1,"Both",2535415.76207969,0.127027891999613,270250.607318971
"Age_1",2015,1,"Both",1412115.56141731,0.125825395197242,149531.918113008
"Age_1",2016,1,"Both",859271.783344314,0.122012155251782,89454.3663299339
"Age_1",2017,1,"Both",890258.344353661,0.0853151104130141,67454.4497452469
"Age_1",2018,1,"Both",1759932.52726889,0.105825436140714,159415.039852231
"Age_1",2019,1,"Both",2717152.99532639,0.0861080190634122,208776.466788875
"Age_1",1982,1,"EBS",1164487.32791877,0.106207789632316,108959.079829342
"Age_1",1983,1,"EBS",4310370.95607958,0.102994835237473,391976.48261333
"Age_1",1984,1,"EBS",455167.909884503,0.110901994429285,43961.4314444688
"Age_1",1985,1,"EBS",4500175.81642855,0.0973542145522035,389242.217788039
"Age_1",1986,1,"EBS",2735608.77823127,0.101080346480602,244924.569861673
"Age_1",1987,1,"EBS",417903.367812021,0.141033834507507,50706.6143710126
"Age_1",1988,1,"EBS",1385827.0156566,0.12487795079005,153133.306672235
"Age_1",1989,1,"EBS",908255.502308673,0.110656247467436,89149.0494359004
"Age_1",1990,1,"EBS",2123094.3361388,0.101548669427347,191069.540069362
"Age_1",1991,1,"EBS",2904180.01521034,0.111067950018238,287954.362741427
"Age_1",1992,1,"EBS",1558127.65521023,0.154548555591974,209776.232154391
"Age_1",1993,1,"EBS",2449378.26384286,0.123819967029039,265993.893615871
"Age_1",1994,1,"EBS",1474721.68815211,0.107732960293761,143471.135419867
"Age_1",1995,1,"EBS",1536562.66259328,0.109671050497186,152876.11223458
"Age_1",1996,1,"EBS",1563232.97351578,0.0854099355803645,119718.340227928
"Age_1",1997,1,"EBS",2120537.60017163,0.11422276832665,217470.427388744
"Age_1",1998,1,"EBS",693469.551093913,0.0864033248707353,53699.5428645443
"Age_1",1999,1,"EBS",920120.197052737,0.0978225641033235,81241.303698963
"Age_1",2000,1,"EBS",913374.212755191,0.0928725664030543,75869.167813293
"Age_1",2001,1,"EBS",1711381.43516509,0.102179648170616,157722.754029854
"Age_1",2002,1,"EBS",748572.669102942,0.0921164243135005,61707.4641204504
"Age_1",2003,1,"EBS",452997.03453518,0.106334296329596,42261.9162358946
"Age_1",2004,1,"EBS",367054.099772349,0.0967005944560571,31659.4233998635
"Age_1",2005,1,"EBS",372558.046932815,0.0970407966122062,32160.0775296455
