"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1982,1,1,3946730.20121543,0.0972854802016654,307074.457035069
1983,1,1,9398027.96216677,0.0866389035774271,638155.613621949
1984,1,1,6886313.37517163,0.0931484793695272,505926.99883085
1985,1,1,7993125.70873224,0.101698180153858,631322.376023571
1986,1,1,7276289.59779086,0.09747204831093,556139.301127921
1987,1,1,7694980.11186718,0.10442789078739,638520.333761622
1988,1,1,11784178.9572051,0.112548549816829,1065426.57828215
1989,1,1,10745152.5434555,0.0935948492464908,809848.642028661
1990,1,1,11815603.5786125,0.115134343082659,1089274.13706323
1991,1,1,7476221.37245355,0.0924857020954778,546422.214128333
1992,1,1,6628994.27039624,0.0917875509759154,480834.691898892
1993,1,1,7967119.46884995,0.0847820104149993,533340.94250936
1994,1,1,7513415.40476873,0.0918858348738269,545680.200839658
1995,1,1,7258128.17287576,0.106689837012376,620533.628265394
1996,1,1,4268545.00041038,0.0844869891025928,286626.451560839
1997,1,1,4849815.85328853,0.0858290655716667,335361.707328027
1998,1,1,3586785.8212271,0.0841546502000252,237400.087170593
1999,1,1,5932012.11444169,0.106198842121058,492856.860976069
2000,1,1,7747348.36443656,0.0985742324356857,606188.509766046
2001,1,1,6168410.66855117,0.0913395143420413,446821.371961565
2002,1,1,6878693.64575647,0.0769936312855877,425915.515464792
2003,1,1,12159712.3497898,0.0978768975729294,932790.172515896
2004,1,1,5866025.8979088,0.087599224077613,407471.888841165
2005,1,1,7272764.53453988,0.0935139644695666,542340.514630997
2006,1,1,4251372.11860153,0.0907617769976476,308469.190809798
2007,1,1,6835196.86469842,0.113784310006613,612583.160333894
2008,1,1,4830893.53084885,0.118770884001214,449438.264563459
2009,1,1,2888205.89586033,0.114025605155328,262327.942838359
2010,1,1,5328915.68140116,0.109601715405949,467871.30303049
2011,1,1,4485066.71698136,0.0945523873524901,334651.054408516
2012,1,1,5076469.02737251,0.0892008937709094,358017.098327222
2013,1,1,6475221.42617491,0.0879994068811486,458201.887725627
2014,1,1,12007997.0422683,0.0776352610487953,737664.846933403
2015,1,1,10857080.5629834,0.0832636975210106,693884.792921187
2016,1,1,9539423.66734107,0.11489839269795,803391.304749071
2017,1,1,8968209.78334833,0.070220806450885,497521.672539753
2018,1,1,5823455.8190749,0.0921333906573066,408100.866288459
2019,1,1,9511702.39461661,0.0698464374792321,522986.022877848
1982,1,2,3927257.85138673,0.0975231364388122,306748.251014384
1983,1,2,9237433.11251798,0.0866219199070797,630260.711646275
1984,1,2,6838277.67284575,0.0932872527856767,504332.307073489
1985,1,2,7712541.79876369,0.103813919946037,625632.499118806
1986,1,2,7219068.9827265,0.0976616417963658,554208.15326699
1987,1,2,7613277.49430866,0.104856673187779,636656.024755461
1988,1,2,11762194.1773098,0.112678854814728,1065242.95156598
1989,1,2,10654900.8359742,0.0940382549518593,808887.307627928
1990,1,2,11759609.6368964,0.115417794105966,1088476.92567655
1991,1,2,7324854.37312702,0.0939530766036492,545501.670406995
1992,1,2,6570176.46735252,0.0920218021160118,479365.288167796
1993,1,2,7820427.79716841,0.0851413594042171,529459.634625964
1994,1,2,7454211.30840956,0.0921608698348651,544677.053899484
1995,1,2,7215919.72983109,0.106998180534176,620053.852522434
1996,1,2,4148375.03447584,0.0850010043999742,283235.704567026
1997,1,2,4768999.2038609,0.0862242937923087,333228.141925778
1998,1,2,3403909.41514133,0.083811856272679,227753.961124373
1999,1,2,5913922.98063799,0.106362416740479,492723.036821013
2000,1,2,7685388.51266556,0.0989175769269223,605215.535103097
2001,1,2,6128179.64146944,0.0916021901679099,446276.98545175
2002,1,2,6761897.201394,0.0774237275969726,423375.914949122
2003,1,2,11663620.5393311,0.0988835759333178,915938.517835009
2004,1,2,5653359.40255424,0.0883503977975146,400492.830547433
2005,1,2,7162187.74739092,0.0943302089385195,541080.024639494
2006,1,2,4242170.38063333,0.0908744373121942,308404.861248589
2007,1,2,6820707.35966884,0.113917347786528,612404.999636511
2008,1,2,4819253.51898897,0.118954879802818,449331.778135093
2009,1,2,2882541.64205005,0.114158666440331,262265.083220573
2010,1,2,5321163.52356629,0.109734723205405,467833.109932516
2011,1,2,4441388.11426992,0.0950072714917895,333828.222147904
2012,1,2,5054816.49247872,0.0893865643357863,357759.493832287
2013,1,2,6417713.4419546,0.088333504774933,457277.513641477
2014,1,2,11493371.8809234,0.0771768135048952,712686.774324584
2015,1,2,9663320.97008361,0.0748529299590866,576529.484455399
2016,1,2,7495615.01665204,0.0832181209108448,490171.919360896
2017,1,2,7300671.52713983,0.0806431294707299,467519.162281976
2018,1,2,4260929.99967549,0.103293693561959,347390.349891711
2019,1,2,7945124.31691783,0.0790289713319052,496152.898928218
1982,1,3,19472.3498286764,0.568019497461069,6269.15886764946
1983,1,3,160594.849648828,0.557709850022667,50025.4097917234
1984,1,3,48035.7023258477,0.648552954779543,16326.7618133146
1985,1,3,280583.909968457,0.305624553657095,55417.1247516818
1986,1,3,57220.6150643352,0.597370348468946,18429.0967607963
1987,1,3,81702.6175584871,0.61802149522176,26440.8106947713
1988,1,3,21984.7798952104,0.535028254732888,6728.95777879664
1989,1,3,90251.7074813906,0.51632598725131,26343.8386066807
1990,1,3,55993.9417161486,0.58850609694064,17738.6952656089
1991,1,3,151366.999326532,0.24584105982419,25093.6943843581
1992,1,3,58817.8030436937,0.685682629189158,20092.7649943477
1993,1,3,146691.671681532,0.677545571799225,48876.3753274145
1994,1,3,59204.0963591199,0.703133659519301,20114.8837612563
1995,1,3,42208.4430446599,0.654557452618566,13906.06771152
1996,1,3,120169.965934508,0.621847949800157,37563.3445417737
1997,1,3,80816.6494276237,0.589451170346712,25142.7092276327
1998,1,3,182876.406085774,0.479169047185377,49620.169665154
1999,1,3,18089.1338036338,0.72723347559721,6105.41934315196
2000,1,3,61959.8517710606,0.646261391222875,20151.3670141406
2001,1,3,40231.0270817366,0.667757143176654,13335.604013844
2002,1,3,116796.444362472,0.50938214853014,32361.6391255403
2003,1,3,496091.810458798,0.520685022277914,139252.612904457
2004,1,3,212666.495354555,0.506402594437938,60029.6618907722
2005,1,3,110576.787148956,0.440944480718519,28020.4782673994
2006,1,3,9201.73796822775,0.589714633955584,2902.19022745645
2007,1,3,14489.5050296032,0.607609331174807,4770.52274691006
2008,1,3,11640.0118598584,0.558576471149447,3769.43051736999
2009,1,3,5664.25381028835,0.620677248173355,2006.13946416582
2010,1,3,7752.15783485765,0.255556730331163,1411.24457899847
2011,1,3,43678.6027114079,0.511984512828204,13110.17781652
2012,1,3,21652.5348938083,0.639260864606792,7171.75909873422
2013,1,3,57507.9842202762,0.617959585157797,18636.5519799001
2014,1,3,514625.161344964,0.601455580557772,160712.12236801
2015,1,3,1193759.59289981,0.564284555548098,356299.469480958
2016,1,3,2043808.65068906,0.537544061439346,592364.258835684
2017,1,3,1667538.25620853,0.129166298544352,166329.986789116
2018,1,3,1562525.81939942,0.19568921981834,208668.207475489
2019,1,3,1566578.07769878,0.119239156858679,144224.630817421
