1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
14411554583949.975,31787187081319.484,23215167930683.312,30240604564503.08,25078573146532.406,27495933574915.715,41129585855536.12,39057772707662.266,44502038885895.59,23854986382563.266,18956345665783.99,21390367244892.4,24487452494686.113,31787336166810.164,11964169726991.352,16515060457809.09,10134360611691.162,18914266528445.086,26831204869623.93,16267902170373.24,20884831360568.055,41576580996011.83,13292013851036.195,23638237174279.695,10938031722708.967,23228528278991.266,12508487178154.623,9809848808771.59,15202033602004.256,10660728353750.49,13126726476908.404,20144276187203.03,35686346889504.81,27433417740356.797,18203610191952.74,22927584326699.723,11989010366398.41,25647852287961.805
31787187081319.484,70127299465393.08,51213234820240.97,66735327633372.14,55327505060389.69,60627666639810.91,90681378336711.69,86145973983389.66,98067371987335.61,52589472060395.74,41808649155226.96,47186685079103.945,54004578114541.56,70061416019952.11,26398326942126.348,36419224233642.336,22354927172529.656,41705572732254.16,59163650530757.63,35902358291756.34,46078288622168.41,91672722086489.55,29328562154845.914,52157472657370.88,24139167647083.082,51248360668620.734,27608020306006.496,21650573502091.363,33535163039032.35,23525398501201.38,28963840736729.457,44460147393135.77,78735497256126.72,60534396954310.82,40148723350332.25,50592465267418.46,26435011126853.414,56582491309210.42
23215167930683.312,51213234820240.97,37401075846705.56,48732415629406.625,40405016339459.26,44282261375682.37,66235316608678.08,62915458070873.34,71640307528135.1,38413139981327.4,30535238184491.324,34460925900239.246,39442555348509.52,51179835531734.9,19277834104649.547,26599724235286.336,16326233065311.957,30461416970828.465,43212566862560.57,26216807236539.23,33649985073116.105,66960870565160.26,21417643409423.2,38088584691207.18,17627142314621.664,37425585788881.93,20159591168855.492,15809631887885.383,24491050343238.89,17179304774618.021,21151285367455.41,32465308201445.637,57498720851513.836,44205444426250.18,29322539787411.98,36945317784058.36,19308147145427.09,41322137270900.33
30240604564503.08,66735327633372.14,48732415629406.625,63537070473408.35,52652107752352.71,57649946311836.24,86208238785410.64,81946962274879.42,93154562490580.34,49992312912448.69,39769722594581.22,44901830386760.27,51367672106969.305,66558548954522.61,25128438835945.836,34636448589626.105,21271394397540.12,39657900812906.6,56259443250365.586,34186510684053.043,43855559773525.445,87122145728722.64,27918226035500.418,49647034569899.78,22985440796211.633,48773510832972.51,26291642928936.203,20616613440471.5,31910796850076.758,22398828800240.758,27570756865878.117,42337596815921.72,74936659235809.3,57626059585881.945,38193538909507.07,48164871591957.93,25137801306744.684,53848337414880.79
25078573146532.406,55327505060389.69,40405016339459.26,52652107752352.71,43651124883109.53,47831408552963.85,71541075723928.625,67964750838077.42,77365821085549.89,41489391515852.17,32984639305554.582,37228225026632.984,42606765689321.98,55271821270409.43,20827411346585.06,28732647913753.89,17637103503368.707,32903203800834.168,46676449464690.09,28326019651680.2,36354007185329.7,72322432127824.11,23139250432701.35,41150414302147.77,19045188719129.664,40432941978808.33,21782058586005.9,17081745382887.354,26457779601239.02,18560898305291.21,22851485360549.14,35077887319481.5,62119190930407.61,47759659069349.89,31675349173716.367,39915937555239.9,20855678290629.902,44641235486270.91
27495933574915.715,60627666639810.91,44282261375682.37,57649946311836.24,47831408552963.85,52493394140343.625,78550734975291.25,74525768116328.8,85080315264170.69,45557272193702.71,36181600408264.57,40804097618572.11,46730004896257.49,60783362127260.05,22812940712006.082,31523424900887.016,19332100908501.258,36105902135231.29,51221950536317.6,31008683743500.246,39828792287531.96,79482470174087.5,25345033859678.484,45073145268104.87,20849474962752.437,44299092238296.64,23839820539721.687,18697978111413.6,28998794551387.695,20323126594053.797,25029971079356.465,38394962819258.48,68057691755959.47,52305164906327.336,34735454912848.21,43712099037565.37,22886935127093.867,48921516604543.01
41129585855536.12,90681378336711.69,66235316608678.08,86208238785410.64,71541075723928.625,78550734975291.25,117612363493294.3,111493502156565.58,127493128867663.22,68181576826176.45,54150878681333.56,61031812284420.8,69906847031984.46,91207690458847.17,34113661150049.59,47167669023049.01,28912316166308.645,54020535180349.43,76649020215486.64,46363715435940.16,59566671031948.05,119438882339275.28,37900983380358.4,67406825276173.234,31172572119179.613,66254782617507.18,35644432299622.24,27957355025375.273,43373220915917.55,30386134528448.48,37430342603023.77,57410202128536.36,101790840775412.52,78216588771874.73,51960163265379.64,65360601626204.55,34241909441809.9,73174243348832.48
39057772707662.266,86145973983389.66,62915458070873.34,81946962274879.42,67964750838077.42,74525768116328.8,111493502156565.58,105858970364021.44,120659644405984.12,64660402927324.055,51378044268673.664,57967670492254.6,66367010585640.27,86201569641501.31,32420432139432.066,44761391905684.77,27463361905631.406,51264822501556.086,72724556434133.73,44080502870544.57,56596895364510.9,112766171339730.7,36018649973097.875,64057875423262.79,29637750983907.727,62950274497758.05,33893600160423.562,26581570375993.766,41197638243944.01,28886459474255.785,35571078797882.234,54585526658482.48,96710258266900.28,74340152441374.52,49333639938085.01,62127088420719.4,32493243199617.664,69504287310344.15
44502038885895.59,98067371987335.61,71640307528135.1,93154562490580.34,77365821085549.89,85080315264170.69,127493128867663.22,120659644405984.12,138461866885433.95,73888162141080.53,58636237196651.42,66015506651491.984,75664782585256.42,99164622849983.875,36873590408481.57,51073072545390.266,31272121980381.418,58499556771528.06,83016364586959.64,50087063597366.17,64403744418941.73,129961501494794.14,40967709690304.52,72864595424262.73,33675777476723.76,71639064526007.125,38499766773513.19,30200872159753.52,46913780832065.54,32831605030328.62,40459549966781.836,62016030073902.18,110062481315120.84,84535598592486.77,56230457259725.14,70632686212087.75,37081986575490.59,79140532376015.55
23854986382563.266,52589472060395.74,38413139981327.4,49992312912448.69,41489391515852.17,45557272193702.71,68181576826176.45,64660402927324.055,73888162141080.53,39544849640953.57,31394565923670.84,35396516995403.74,40546979981710.43,52784816788024.57,19785247390682.176,27355178994494.168,16770502543980.781,31334212800188.336,44452749860904.414,26887799592457.69,34545610766477.906,69005133356825.63,21981161805489.4,39091263749901.09,18078832719571.895,38423690427227.57,20670074417902.586,16212674921826.758,25155757201444.527,17623572991828.625,21707987656283.953,33291047858298.812,59030314675020.24,45361158623384.83,30137543725416.58,37907849490442.57,19862364895659.863,42435632614791.555
