year,stratum,n_measured
2019,10,2521
2019,20,1618
2019,31,8413
2019,32,518
2019,41,7279
2019,42,3074
2019,43,3763
2019,50,1104
2019,61,9250
2019,62,1128
2019,82,2329
2019,90,1385
