year,stratum,start_latitude,start_longitude,ddc_cpue_kg_ha
1985,81,61.663,-173.09867,219.76977696852924
1990,70,60.64783,-167.344,0
1990,70,60.98367,-167.37533,0
1990,70,61.31633,-167.40133,0
1990,70,61.64917,-167.435,0
1990,70,62.66883,-168.91283,0
1990,70,62.34533,-168.8805,0
1990,70,62.01167,-168.83783,0
1990,70,61.6815,-168.82183,0
1990,70,61.35133,-168.78867,0
1990,70,61.01767,-168.7535,0
1990,70,60.6855,-168.70567,0
1990,70,60.6435,-170.068,0
1990,70,60.97983,-170.1135,0
1990,70,61.318,-170.153,0
1990,70,61.64717,-170.18317,0
1990,70,61.9785,-170.23717,0
1990,70,62.3115,-170.2805,0
1990,70,62.65117,-170.336,0
1990,70,62.98533,-170.403,0
1990,70,63.54667,-172.00267,0
1990,70,63.30217,-171.99783,0
1990,70,63.0185,-171.78033,0
1990,70,62.02283,-171.62067,0
1991,81,61.63683,-173.072,0.17540632302587586
1994,81,61.65333,-172.94083,0.03680585225433947
2001,70,60.64741,-170.0542,0.0754273256793816
2001,70,60.98298,-170.0934,0.12431013359666365
2001,70,61.31378,-170.1545,0.1826946567681958
2001,70,61.65224,-170.1947,0.018763625053771736
2001,81,61.34061,-171.5433,0.007259155633687823
2001,81,61.32761,-172.9256,1.7886131791272264
2001,81,61.66006,-173.09061,0.028656247840660284
2001,81,61.99781,-173.0569,0.08921091944029197
2001,81,61.98102,-172.3708,0.06164855707988315
2001,81,62.32467,-172.4005,0.7676973564857839
2001,81,62.65335,-172.4612,0.018743310536794233
2001,81,62.67223,-173.9144,0.027783204851185697
2001,81,62.33818,-174.57179,0.15638344778238467
2001,81,60.65279,-170.7558,4.57000822381519
2001,81,60.9866,-170.78999,0.16122216406830753
2001,81,61.31729,-170.85651,0.7253851637640103
2001,81,61.65268,-170.91631,0.07378291506516338
2001,81,61.68762,-172.29117,0.010454990262484795
2001,81,61.34683,-172.2366,0.11041425177200696
2001,81,62.32002,-173.84129,0.08549992580851315
2001,81,62.33412,-173.1929,0.6502433427599885
2001,81,62.6513,-173.1982,0.04918271748922359
2001,81,62.67266,-174.6185,0.03786347723133131
2001,81,62.34306,-175.2422,0.5271844105619554
2005,70,60.66906,-170.09531,9.560153827991693
2005,70,60.98016,-170.08569,9.058793414668624
2005,70,61.3143,-170.114,24.764081271235252
2005,70,61.66833,-170.1396,5.33848203978795
2005,70,61.98584,-171.6082,4.290767980221135
2005,81,60.66912,-170.7926,6.631466867090108
2005,81,61.66236,-170.8364,19.871668814794027
2005,81,61.66204,-171.51511,8.974478801496337
2005,81,62.30785,-171.7162,3.9891094217848937
2005,81,62.33514,-173.1582,1.3423362031330848
2005,81,62.31207,-172.43221,3.899134731984162
2005,81,62.65461,-172.4063,1.4285364794393502
2005,81,62.67101,-173.1732,0.432920387856136
2005,81,62.99346,-173.2278,0.009947999273927132
2005,81,62.69551,-174.60361,0.7225810702097767
2005,81,62.34245,-174.58611,2.5640487548652593
2005,81,61.6619,-173.1375,0.6513916660602882
2005,81,61.33777,-172.92349,0.01352425504536846
2005,81,61.001220000000004,-170.8326,13.089770467913707
2005,81,61.33594,-170.7785,13.490981647025011
2005,81,61.33773,-171.4812,16.437453743913625
2005,81,61.33525,-172.15311,1.5182898235968498
2005,81,61.65382,-172.3131,0.2840983713885118
2005,81,61.98698,-172.33009,1.7815387147181987
2005,81,62.00251,-173.01601,2.3473625977131465
2005,81,62.32365,-173.85741,4.442518695936338
2005,81,62.65809,-173.9041,0.6202207761614463
2005,81,62.99125,-173.92011,1.291973040066347
2005,81,62.34285,-175.282,1.2839959119123059
2006,70,60.99221,-170.0849,0.41210862003752735
2006,70,61.31732,-170.1277,0.002591475841451943
2006,70,61.6656,-170.1456,0.020940495486560375
2006,70,61.98677,-171.6093,0.4448233878201358
2006,81,61.34119,-171.51089,0.007950509336113446
2006,81,61.32421,-172.907,0.43190261030978194
2006,81,61.65739,-173.0692,0.5752818769192056
2006,81,62.00305,-173.0981,0.7494961762853897
2006,81,61.99748,-172.4176,0.030856835283188604
2006,81,62.32883,-171.6665,0.3414431001447375
2006,81,62.32235,-172.4021,0.012743242930261398
2006,81,62.65316,-172.4158,0.03639959365753789
2006,81,62.34781,-173.82491,0.023830468732371053
