year,subarea,tot_num_hauls,tot_cpue_no_ha_dist,tot_cpue_no_ha_var_dist,tot_cpue_kg_ha_dist,tot_cpue_kg_ha_var_dist,tot_area,tot_area_ha,biomass_MT_ha,biomass_th_t,biomass_MT_ha_var,population_num_ha,population_num_ha_var,num_hauls_subarea,edf_biomass,edf_pop,df_bm,df_num,t_stat_bm,t_stat_num,low95_bm,high95_bm,low95_num,high95_num
1982,1,45,80.20455411669069,132485.65881271218,47.42954538287431,41766.78813170223,77871.19482419,7787119.482418999,369339.53689325665,369.33953689325665,2532705864924.1196,624562445.940811,8033828314382683e3,45,44,44,44,44,2.0153675744437636,2.0153675744437636,369337.5215256822,369341.5522608311,624562443.9254434,624562447.9561787
1982,2,28,48.52511923260296,12830.046957546318,9.879678476468868,332.27296248844266,41027.07031248,4102707.031248,40533.42635187835,40.53342635187835,5592886615.330068,199084347.86774772,215957980346995500,28,27,26.999999999999996,27,27,2.051830516480285,2.051830516480285,40531.37452136187,40535.47818239483,199084345.8159172,199084349.91957825
1982,3,75,128.1465417571889,65472.19786765442,52.2759480294799,11724.35654478996,103300.22729512,10330022.729512,540011.7313513154,540.0117313513153,1251098695769.1262,1323756689.06012,6986496960275447e3,75,9.658795778635495,9.565118021733912,9,9,2.262157162798205,2.262157162798205,540009.4691941526,540013.9935084782,1323756686.797963,1323756691.3222773
1982,4,79,338.99469894849284,259481.94964375044,95.84743174102967,17613.11304582775,107822.24743647,10782224.743647,1033448.5501331469,1033.448550133147,2047636594549.3582,3655117030.967605,30166429655739875e3,79,63.606490460555456,57.089963661534945,63,57,1.9983405425207414,2.002465459291007,1033446.5517926044,1033450.5484736895,3655117028.96514,3655117032.9700704
1982,5,23,126.67822827800899,22905.52091605043,55.746365220833376,2879.58251916373,38792.43627929,3879243.6279289997,216253.7320631207,216.2537320631207,43333487166.14529,491415709.84480155,344694444435577900,23,22,22,22,22,2.073873067904026,2.073873067904026,216251.65819005278,216255.8059361886,491415707.7709285,491415711.9186746
1982,6,62,410.8701319583836,337983.5809250297,80.07992008981802,11113.627314091716,94562.32836934,9456232.836934,757254.3699323878,757.2543699323878,993784327128.1235,3885283633.5402727,30222606540354822e3,62,55.87806688573453,57.33717051182628,55,57,2.0040447832891455,2.002465459291007,757252.3658876045,757256.3739771711,3885283631.5378075,3885283635.542738
1982,8,1,0,0,0,0,17954,1795400,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,9,5,248.17292333125008,32698.334099720487,47.086400397510936,1345.5186029449303,11567.95970497,1156795.970497,54469.358245048985,54.46935824504899,1800541936.336819,287085437.69605106,43756155928309080,5,4,4,4,4,2.7764451051977934,2.7764451051977934,54466.581799943786,54472.134690154184,287085434.919606,287085440.47249615
1983,1,47,118.77096947908616,43228.28214258872,99.8808156148602,38603.498476453104,77871.19482419,7787119.482418999,777783.8451943777,777.7838451943777,2340886416489.631,924883730.3763843,2621329736150504400,47,46,46,46,46,2.0128955989194286,2.0128955989194286,777781.8322987788,777785.8580899766,924883728.3634887,924883732.3892798
1983,2,31,205.86564557234905,202464.0322161078,19.18989408944496,645.3786789994349,41027.07031248,4102707.031248,78730.51340967027,78.73051340967027,10863146217.384115,844606431.582085,3407916092199682e3,31,29.999999999999996,30.000000000000004,30,30,2.0422724563012378,2.0422724563012378,78728.47113721397,78732.55568212656,844606429.5398126,844606433.6243575
1983,3,75,225.2102756762282,115296.90288139411,126.24531067180419,36640.993249563915,103300.22729512,10330022.729512,1304116.9287340413,1304.1169287340413,3909937290894.2876,2326427266.655101,12303259822410658e3,75,70.17087237468996,62.74061697682408,70,62,1.994437111771186,1.9989715170333784,1304114.9342969295,1304118.923171153,2326427264.6561294,2326427268.6540723
1983,4,92,427.03784372860264,121695.55013948627,163.17280882765567,20399.8412593937,107822.24743647,10782224.743647,1759365.8968319308,1759.3658968319307,2371611502012.551,4604418005.1242,14147882955787694e3,92,55.85669154115476,74.99709359283507,55,74,2.0040447832891455,1.9925434951809322,1759363.8927871475,1759367.9008767141,4604418003.131657,4604418007.116743
