Year	M	Tier	Age3plus	SSB	B0	Bmsy	Fofl	MaxF	Fabc	OFL	MaxABC	ABC
lastyr_this	0.3	1a	9128000	2991000	5777000	2148000	0.449	0.383	0.225	4085000	3485000	2043000
lastyr_next	0.3	1a	8494000	2674000	5777000	2148000	0.449	0.383	0.225	3385000	2888000	1767000
