"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",2.236015,2.453613,2.66497,2.86546,2.82602,3.18552,3.1751,3.27228,3.47045,3.34908,3.30563,2.82974,2.86302,2.9012,2.88277,3.1252,3.20032,3.00594,2.83589,3.11888,2.84827,2.93312,2.78972,2.90754,3.041,3.04633,3.08216,3.00619,2.75693,2.81368,2.61159,2.83074,2.95773,2.91972,2.73708,3.00955,3.42434,3.72106,3.21496,3.1923
"2",0.4165718,0.4132938,0.4268708,0.4628231,0.4649189,0.492743,0.4784431,0.4851876,0.516032,0.527557,0.563058,0.492993,0.4625536,0.4396174,0.4268171,0.4482994,0.468967,0.468936,0.4619332,0.4812654,0.4474314,0.4588263,0.4507394,0.4533124,0.4609727,0.478627,0.50829,0.503141,0.4714626,0.4735767,0.4450245,0.4554333,0.456214,0.4702007,0.4527239,0.455074,0.4747336,0.516062,0.506471,0.508536
"3",0.3466267,0.3432694,0.3461002,0.3594857,0.3623856,0.3751079,0.3707338,0.3735502,0.3863911,0.3908609,0.406474,0.3791709,0.3663035,0.3543187,0.3482998,0.3542502,0.3618808,0.3636878,0.3619429,0.369916,0.3552161,0.3594129,0.3565596,0.3564512,0.357984,0.36748,0.3842174,0.3843397,0.3725261,0.3639754,0.3561411,0.3569276,0.3570787,0.3614964,0.3570289,0.3589409,0.3632692,0.3778005,0.3815359,0.3855087
"4",0.32040692,0.31889843,0.3205901,0.3263345,0.3279622,0.3361304,0.3348337,0.3354696,0.3435923,0.3422545,0.3514022,0.338375,0.330274,0.3262913,0.32073361,0.32424826,0.3266949,0.3277149,0.3278358,0.3323846,0.32408726,0.3251992,0.32377175,0.3248614,0.3256129,0.3283926,0.3342375,0.3347503,0.3301587,0.3293549,0.32401521,0.32450843,0.325217,0.3254601,0.32443073,0.3249853,0.3270581,0.3339945,0.3322951,0.3353843
"5",0.30524814,0.304741284,0.30527909,0.3071253,0.30735491,0.3087086,0.30888215,0.30977043,0.31270844,0.31238833,0.31367177,0.3107462,0.30830708,0.3065416,0.30566618,0.30634875,0.30711272,0.30695694,0.30706662,0.30848331,0.30585527,0.30635308,0.30636628,0.30609068,0.30627174,0.30694442,0.30944009,0.30734954,0.30738039,0.30699532,0.30597068,0.30607243,0.30639187,0.30640845,0.30597077,0.30635076,0.30641978,0.30831343,0.30837903,0.30842653
"6",0.30591763,0.30544059,0.30581786,0.30794107,0.30827571,0.30968181,0.30946759,0.31019134,0.31262134,0.31245665,0.3143128,0.31091275,0.30929686,0.30699761,0.30603358,0.30700263,0.30806935,0.30787382,0.30777587,0.30929247,0.30722698,0.30702508,0.30732728,0.30685528,0.30707623,0.30753947,0.31057757,0.30901377,0.30808287,0.30805034,0.30703918,0.30692573,0.30721547,0.3076032,0.3070515,0.30724876,0.30753268,0.3093592,0.30958457,0.30990489
"7",0.304957655,0.304712075,0.30513231,0.30653398,0.30783447,0.31164011,0.31113329,0.31034841,0.31102881,0.3110844,0.3147427,0.31146375,0.30898132,0.30729067,0.30536789,0.30571866,0.30686578,0.30782645,0.30774088,0.30923193,0.30676488,0.30669329,0.30594129,0.30613372,0.30699961,0.30723718,0.30966629,0.30908185,0.30824756,0.30706476,0.30601852,0.30604907,0.30611033,0.30614355,0.30605441,0.30646147,0.30700321,0.30844432,0.30836581,0.30947789
"8",0.30512027,0.304464722,0.304702,0.30604489,0.30660074,0.30843837,0.30841525,0.3089689,0.31197579,0.3115005,0.3148831,0.31113256,0.30863639,0.30678779,0.30502623,0.30574602,0.30624403,0.30636804,0.30631882,0.30764168,0.30540756,0.30559332,0.30544298,0.30552751,0.30559237,0.30609804,0.30843517,0.30687824,0.30678582,0.3061537,0.30557889,0.30530865,0.30550285,0.30539891,0.30504479,0.30554999,0.30546057,0.30712088,0.3069172,0.3078557
"9",0.306376127,0.306316846,0.30697787,0.30865297,0.31053482,0.3165075,0.31522595,0.31327544,0.31335018,0.31302895,0.3187506,0.31501077,0.31186685,0.31058764,0.3073409,0.30821137,0.30958818,0.31129383,0.31103807,0.31256608,0.30957684,0.30932718,0.30820298,0.30871043,0.31005849,0.31038818,0.31282009,0.31289636,0.31151148,0.30936786,0.30827601,0.30822406,0.30852109,0.30842756,0.30853553,0.30891289,0.30987991,0.31179406,0.31104452,0.31323358
"10",0.3001,0.3001,0.3001,0.3001,0.3001,0.3001,0.3001,0.3001,0.3001,0.3001,0.3001,0.3001,0.3001,0.3001,0.3001,0.3001,0.3001,0.3001,0.3001,0.3001,0.3001,0.3001,0.3001,0.3001,0.3001,0.3001,0.3001,0.3001,0.3001,0.3001,0.3001,0.3001,0.3001,0.3001,0.3001,0.3001,0.3001,0.3001,0.3001,0.3001
"11",0.30202344,0.301553975,0.301459962,0.301425835,0.301569149,0.301725795,0.302127033,0.30399249,0.30782303,0.30558237,0.30626072,0.3031056,0.30338036,0.30303614,0.301839419,0.30223122,0.301654149,0.301516066,0.301429246,0.301923654,0.301810611,0.301752039,0.301832378,0.30185677,0.301537843,0.301524819,0.30229068,0.30232575,0.301852746,0.302093265,0.302177695,0.301647977,0.301645607,0.301406542,0.301394976,0.301303218,0.30144262,0.301690908,0.301693304,0.30239842
"12",0.302960698,0.302950409,0.303144286,0.30456558,0.3059118,0.30750983,0.30569274,0.30480482,0.30505386,0.3070386,0.3089675,0.30601241,0.30532422,0.30360939,0.302981173,0.30361803,0.30505762,0.305563,0.30480114,0.30613512,0.30430368,0.30359524,0.30370172,0.30427419,0.3045405,0.30428214,0.30680609,0.30610214,0.30431189,0.30430901,0.30376539,0.30377658,0.30373749,0.30437743,0.30410409,0.30438447,0.30470853,0.30512889,0.3059362,0.30647046
