"Category","Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
"Age_0",1982,1,1,485.733974865359,0.428286923727536,208.033509845033
"Age_0",1983,1,1,14307.9523426167,0.146664282476833,2098.46556404261
"Age_0",1984,1,1,57.8604931451709,0.378952046037876,21.926352262123
"Age_0",1985,1,1,2363.85358004504,0.172010020393257,406.606502510222
"Age_0",1986,1,1,520.720680390121,0.757798313996551,394.60125366277
"Age_0",1987,1,1,41793.1856239302,0.262017263413983,10950.5361265348
"Age_0",1988,1,1,1270.23983473138,0.151268841532723,192.147708268533
"Age_0",1989,1,1,15189.6123381031,0.155165920890389,2356.91018640979
"Age_0",1990,1,1,60.7742217306649,0.795973859275469,48.3746918154205
"Age_0",1991,1,1,125.416945131595,0.451829987945313,56.6671368069464
"Age_0",1992,1,1,600.627857809918,0.324726297055025,195.039660174706
"Age_0",1993,1,1,2799.14136119277,0.242460348262157,678.680789269807
"Age_0",1994,1,1,34855.0836974819,0.127100868317942,4430.11140324452
"Age_0",1995,1,1,127886.163911194,0.113480553103857,14512.5926149728
"Age_0",1996,1,1,31.8642099884975,1.24288230610439,39.6034627926982
"Age_0",1997,1,1,84.2433630053819,0.553976357975949,46.6688314213673
"Age_0",1998,1,1,162.796639524067,0.316610577600213,51.5431380710887
"Age_0",1999,1,1,86.2576359134948,0.881691381362334,76.0526141616185
"Age_0",2000,1,1,106.063023261398,1.12540889729804,119.364270052706
"Age_0",2001,1,1,0,NA,NA
"Age_0",2002,1,1,25.503044618388,1.30749187735252,33.3450236863011
"Age_0",2003,1,1,85.3032839656955,0.336493428004239,28.7039944416359
"Age_0",2004,1,1,0,NA,NA
"Age_0",2005,1,1,18.3962326944922,1.77733514563394,32.6962709151811
"Age_0",2006,1,1,0,NA,NA
"Age_0",2007,1,1,0,NA,NA
"Age_0",2008,1,1,3.14461681862653,1.94825217205356,6.1265065471653
"Age_0",2009,1,1,0,NA,NA
"Age_0",2010,1,1,0,NA,NA
"Age_0",2011,1,1,484.349679011226,0.201030289642147,97.3689562597078
"Age_0",2012,1,1,322.949316335365,1.02349209571552,330.536072585978
"Age_0",2013,1,1,4.98538370707224,1.83167724661941,9.13161390191135
"Age_0",2014,1,1,17.3309390926324,1.83268042239583,31.7620727768019
"Age_0",2015,1,1,12.5336533684008,1.83672155551146,23.0208313110507
"Age_0",2016,1,1,54.9419595511375,0.418904601033984,23.0154396457945
"Age_0",2017,1,1,59.9740134913129,0.350690687387749,21.0323280166706
"Age_0",2018,1,1,283.255240370501,0.172897658947822,48.9741679447622
"Age_1",1982,1,1,1041757.1039391,0.112313245734174,117003.121610034
"Age_1",1983,1,1,4494246.23843798,0.128518500671838,577593.788214097
"Age_1",1984,1,1,454833.109343176,0.145691839889635,66265.4725429306
"Age_1",1985,1,1,4571554.35527499,0.0977869173414457,447038.207861202
"Age_1",1986,1,1,2581863.67295675,0.115929703226544,299314.68937727
"Age_1",1987,1,1,401676.668928546,0.153007733358905,61459.636655912
"Age_1",1988,1,1,1274590.17875754,0.127953265029501,163087.974946562
"Age_1",1989,1,1,901533.911958248,0.117827811084461,106225.767464451
"Age_1",1990,1,1,1984403.95872558,0.113298796511591,224830.580316445
"Age_1",1991,1,1,3401467.57718864,0.102382090052684,348249.359799013
"Age_1",1992,1,1,1641104.65517301,0.184894162446284,303430.670704912
"Age_1",1993,1,1,2605789.44085397,0.148156257693148,386064.011893244
