Year	Acoustic	q
2007	0.50	0.81
2008	0.35	0.86
2009	0.38	0.92
2010	0.38	0.72
2011	0.64	0.69
2012	0.70	0.54
2013	0.87	0.60
2014	0.74	0.75
2015	0.76	0.65
2016	0.87	0.50
2017	0.93	0.53
2018	0.84	0.49
