V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38
34978068.626936555,71891842.17451149,54399039.82319834,74645686.87762721,57454818.395517245,68264039.81436482,90802767.12120476,80147199.21509197,98140405.83855787,59152966.32334669,54478280.78288348,61149572.500187285,59890127.722748384,78711583.3627386,35447982.68140191,42639189.860061556,30929955.552342452,45475828.854110196,63888936.27607154,47746528.95017899,53758098.66703659,124604443.52462977,39375548.36726779,58414775.85700474,34498771.70237801,52421040.04896478,35141200.64336026,27575070.550812982,41430994.24749843,35007270.9960699,37738365.8051818,52216292.173822656,86122367.46204588,72348458.51123837,52762943.66340389,70018245.83564003,36111081.774749346,76398309.60199927
41529633.20210121,86088773.83977985,64808438.1668348,87778877.84399077,68639434.54089634,81059529.6871432,109508520.27078766,97963910.05363657,118617161.55496638,70432871.63446745,62878485.91799621,70721348.3730528,71148458.66212136,91230430.37549394,40697072.48101623,50233455.77031655,35490233.26456997,54321355.49494463,76326076.51809038,54743969.22639204,63008754.53011753,137867624.59654066,45200059.15107318,68806641.1110416,39204960.48301879,62747934.33106426,40479983.09903838,31781153.965713568,48256233.29377103,39622817.54534735,43495835.67459894,60848209.797462314,101922371.15424268,84353349.72527586,61044505.30405005,80010181.2465908,41683340.04965673,87727200.38384306
44835287.77412017,93363990.78859751,70126442.85816647,94730516.84281057,74386222.0100669,87316875.497127,118871318.61770867,106866655.92538299,128730828.2044091,75846322.12673599,67234405.83314413,75640640.65959415,76753101.90061158,98713720.91721089,43471905.74544584,54006772.333996154,37837201.36586045,58638003.76072017,82434952.56207348,58515008.116755955,67810581.87092593,148140129.6078067,48276872.30050951,74245479.6484747,41749772.94114655,68072403.92210832,43373866.3814246,34051607.722867996,51748921.574983045,42107099.12254161,46530262.133080624,65491987.16012266,110099890.78667429,90680398.89902695,65234945.31210235,85333900.60144478,44443810.566365294,93646937.96269666
37728487.47957437,77945228.882582,58811244.63663553,80385536.11144528,62227876.5434263,73374664.67856494,97583679.39657497,87565014.88385464,104486406.08469345,63575708.75836553,57677464.23415061,65164490.26169474,64556629.65424134,80528926.03978097,37717277.51246059,45697044.35746914,32861199.40785487,49084656.26346386,68855657.12066504,50823187.56928071,57721833.56225457,122828389.90704751,41886231.1894179,62907069.23720155,36567352.82969942,56855442.46397173,37501944.63969998,29427538.563574117,44312129.28682347,37024573.18286366,40221593.793195315,56022844.846631914,92866332.28225528,77563991.0515906,56185509.627523765,74368275.17152394,38358137.88411882,81111206.05641638
37935975.49839408,78203918.61493507,59053213.98419187,80367429.00813907,62420293.41309345,74280455.81765276,99680902.83596872,88199648.61587048,108252774.36055417,64539854.93987458,58416769.10164493,65497812.63546203,65038958.195692636,84421646.00900269,37764902.11821752,46178180.298408315,32989703.687251486,49580096.94121206,69705756.4510307,50789065.934638664,57867901.74423934,129265056.73075604,41956255.58395385,62979870.853387885,36550637.794916324,56980359.90100044,37445871.65650744,29396376.197711717,44516325.249636844,37033937.00928312,40286366.28145765,55943386.56663047,93147585.5087482,77614693.33460808,56569844.40956142,74412087.65619895,38724356.33964186,81529029.64215389
41815017.94542428,86811131.34896648,65315946.79649892,88599112.17058182,69214127.10588388,81425616.66555732,109876070.786607,98702025.99782144,118534060.34498861,70676140.7383595,63153435.10989925,71168958.59924197,71583548.29459058,90990484.09145436,40998367.00891143,50481852.866743,35706433.51653125,54602450.30844398,76695964.06246075,55203268.75269182,63504607.47740696,137344009.82682076,45532015.264288485,69401637.98346855,39512829.07384836,63300838.08133822,40846672.08404571,32061877.401415877,48579636.31453153,39912047.757940665,43823370.594645076,61429021.26877062,102760435.40616557,85066476.73732412,61376821.63050495,80615103.55373956,41853427.07891209,88280091.38067155
37487014.45882652,77301581.74948718,58370161.761236496,79598229.62772584,61711751.95017153,73226860.8337072,97868907.47197178,86987062.22677287,105737303.00690745,63557072.936855674,57641632.7051489,64803528.516047105,64224037.45735085,82185765.84771787,37427683.138391584,45567405.46477529,32667202.72539676,48904240.24614158,68697489.09518072,50369591.25772608,57270932.826647766,125792048.32962574,41575138.526783004,62345478.29250584,36261148.19076948,56345514.433554426,37138440.9759224,29150360.307788905,44038702.682744525,36738918.35103527,39914010.04230819,55453088.02724664,92128134.83442229,76881059.14719023,55938516.06303911,73778773.02851959,38262324.48463208,80686070.67560619
41218589.69037711,85595194.24788888,64417502.123002864,87752642.42427315,68270001.94346854,80031272.66848268,107336828.61025833,96846361.56359933,114971618.32981382,69343302.20258917,62329054.03245128,70457180.80659287,70495898.68591872,88138028.31941645,40692882.58145568,49710450.771990106,35393139.98237148,53660448.76369574,75317037.45388941,54871909.67721491,62825893.42220347,133298617.3497949,45192350.09470849,68655427.00451376,39317491.79615718,62449498.90887304,40596975.02802674,31853443.953924984,48054031.37535966,39719965.395727776,43472985.67828716,60955830.85832206,101519442.09658574,84297625.02807382,60692256.86498402,80105787.30970012,41335525.31330066,87491474.37300442
41471943.54267416,85930775.9026446,64704732.64763579,87668417.29061222,68518962.108795,80964403.68532269,109297819.5645904,97718391.92154798,118390094.13262711,70350607.39741154,62860882.846697144,70696038.24072494,71053991.15409233,91099369.98644184,40688742.160412826,50186021.60843978,35488720.19283096,54243679.85535276,76215523.49568172,54731049.16272557,62945626.360316254,137777525.83790532,45191730.08851326,68719379.42650506,39210837.88610585,62631012.21025663,40460775.11224788,31765960.167258732,48224983.15052607,39636917.33276163,43480514.914357156,60790347.29018031,101780497.46310836,84280383.52700937,61026344.85171914,80007728.3351814,41679498.45062715,87715921.23903182
38921949.31200369,80492505.33225639,60693557.616263084,82752001.40695119,64237074.30130904,75775059.48816562,101216050.75190315,90751515.83271658,108723123.63100937,65707131.40225413,59341942.10703568,66964592.48850917,66622759.36758233,83722806.101405,38695102.03977805,47125305.058452465,33721328.979679026,50714152.8113533,71175272.99729788,52118827.51428802,59412409.90799106,127352079.76671433,42974458.87482896,64785376.71818131,37450626.95432808,58700929.346412,38481262.51539128,30199870.11844641,45579723.28425482,37899203.76482757,41290922.08621589,57585716.95741094,95733331.83181068,79753359.89791343,57752749.43827494,76236937.79391874,39428362.84083435,83272131.46330447
