year,subarea,tot_num_hauls,tot_cpue_no_ha_dist,tot_cpue_no_ha_var_dist,tot_cpue_kg_ha_dist,tot_cpue_kg_ha_var_dist,tot_area,tot_area_ha,biomass_MT_ha,biomass_th_t,biomass_MT_ha_var,population_num_ha,population_num_ha_var,num_hauls_subarea,edf_biomass,edf_pop,df_bm,df_num,t_stat_bm,t_stat_num,low95_bm,high95_bm,low95_num,high95_num
1982,1,57,137.987128378328,489935.84482243133,79.9350120704573,156740.20942139128,77871.19482419,7787119.482418999,622463.4898212559,622.463489821256,9504605583249.893,1074522255.7179296,2970933229784248e4,57,56,56,56,56,2.0032407188478722,2.0032407188478722,622461.486580537,622465.4930619748,1074522253.7146888,1074522257.7211704
1982,2,30,53.07077493597538,16347.323229793938,10.69097559594833,412.0353557910551,41027.07031248,4102707.031248,43861.94074839799,43.86194074839799,6935463569.434152,217733841.4836063,2.7516149554771238e+017,30,29,29,29,29,2.0452296421327034,2.0452296421327034,43859.89551875585,43863.985978040124,217733839.43837667,217733843.52883595
1982,3,76,175.6620606261002,180770.9818813536,72.29656072786487,34912.9206294978,103300.22729512,10330022.729512,746825.1155843887,746.8251155843888,3725535750997.431,1814593078.98053,192899575171285e5,76,9.717708878887093,9.432228404833175,9,9,2.262157162798205,2.262157162798205,746822.853427226,746827.3777415515,1814593076.7183728,1814593081.2426872
1982,4,81,501.4160905383241,863146.1633985533,140.72131412876405,58850.304513792085,107822.24743647,10782224.743647,1517288.835157682,1517.288835157682,6841722801033.137,5406380978.265062,10034624010083367e4,81,60.356784225002606,53.656181329384765,60,53,2.0002978220142595,2.0057459953178687,1517286.83485986,1517290.835455504,5406380976.259316,5406380980.270808
1982,5,23,145.7823313022761,40645.81408298557,63.45298157066699,5009.937779454693,38792.43627929,3879243.6279289997,246149.57443110622,246.1495744311062,75392204607.57436,565525179.768989,611659798321770400,23,22,22,22,22,2.073873067904026,2.073873067904026,246147.5005580383,246151.64830417413,565525177.6951159,565525181.842862
1982,6,62,540.9180497457002,781046.2525073889,104.64395985849221,25514.136825492955,94562.32836934,9456232.836934,989537.6494006773,989.5376494006773,2281482776125.4316,5115047024.095589,69841421038099096e3,62,55.4519715466604,56.26419419085396,55,56,2.0040447832891455,2.0032407188478722,989535.645355894,989539.6534454606,5115047022.092348,5115047026.098829
1982,8,1,0,0,0,0,17954,1795400,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,9,5,273.4180769435017,41899.30447884824,52.104216972382126,1732.5344132470216,11567.95970497,1156795.970497,60273.94823955304,60.27394823955304,2318437560.3357177,316288929.66928154,56068682106953410,5,4,4,4,4,2.7764451051977934,2.7764451051977934,60271.171794447844,60276.72468465824,316288926.89283645,316288932.44572663
1983,1,58,159.95224979939022,110507.10015817314,137.8436134548887,100239.58911023136,77871.19482419,7787119.482418999,1073404.6878615976,1073.4046878615977,6078451482467.87,1245567280.6695821,6701065444721699e3,58,57,57,57,57,2.002465459291007,2.002465459291007,1073402.6853961383,1073406.690327057,1245567278.6671166,1245567282.6720476
1983,2,31,231.3498767824656,283818.84779708035,20.99830563019119,862.5193441363491,41027.07031248,4102707.031248,86149.89615327986,86.14989615327985,14518102403.38543,949160766.15378,4777297024514612e3,31,30,30,30,30,2.0422724563012378,2.0422724563012378,86147.85388082356,86151.93842573615,949160764.1115075,949160768.1960524
1983,3,77,309.2504031256327,306464.8583808705,175.64595626490518,103294.3953452851,103300.22729512,10330022.729512,1814426.7205633414,1814.4267205633414,11022479809706.42,3194563693.398535,32702671839996133e3,77,74.9889134283653,72.52195537604116,74,72,1.9925434951809322,1.9934635666618716,1814424.7280198461,1814428.7131068367,3194563691.4050713,3194563695.3919983
1983,4,97,601.9678114627288,323640.9806781838,246.9788738381389,66265.99353234329,107822.24743647,10782224.743647,2662981.724655652,2662.9817246556518,7703843890511.992,6490552231.632467,376253257336285e5,97,53.58630841323043,67.33052837626803,53,67,2.0057459953178687,1.9960083540252964,2662979.7189096566,2662983.7304016473,6490552229.636459,6490552233.628475
1983,5,25,564.2355424154849,1340249.8131126254,326.3931530337214,330206.50819569716,38792.43627929,3879243.6279289997,1266158.5591057185,1266.1585591057185,4969122916203.638,2188807132.566333,20168791027669914e3,25,24,24,24,24,2.0638985616280254,2.0638985616280254,1266156.495207157,1266160.62300428,2188807130.5024343,2188807134.6302314
