"","Total_1982","Total_1983","Total_1984","Total_1985","Total_1986","Total_1987","Total_1988","Total_1989","Total_1990","Total_1991","Total_1992","Total_1993","Total_1994","Total_1995","Total_1996","Total_1997","Total_1998","Total_1999","Total_2000","Total_2001","Total_2002","Total_2003","Total_2004","Total_2005","Total_2006","Total_2007","Total_2008","Total_2009","Total_2010","Total_2011","Total_2012","Total_2013","Total_2014","Total_2015","Total_2016","Total_2017","Total_2018","Total_2019","EBS_1982","EBS_1983","EBS_1984","EBS_1985","EBS_1986","EBS_1987","EBS_1988","EBS_1989","EBS_1990","EBS_1991","EBS_1992","EBS_1993","EBS_1994","EBS_1995","EBS_1996","EBS_1997","EBS_1998","EBS_1999","EBS_2000","EBS_2001","EBS_2002","EBS_2003","EBS_2004","EBS_2005","EBS_2006","EBS_2007","EBS_2008","EBS_2009","EBS_2010","EBS_2011","EBS_2012","EBS_2013","EBS_2014","EBS_2015","EBS_2016","EBS_2017","EBS_2018","EBS_2019","NBS_1982","NBS_1983","NBS_1984","NBS_1985","NBS_1986","NBS_1987","NBS_1988","NBS_1989","NBS_1990","NBS_1991","NBS_1992","NBS_1993","NBS_1994","NBS_1995","NBS_1996","NBS_1997","NBS_1998","NBS_1999","NBS_2000","NBS_2001","NBS_2002","NBS_2003","NBS_2004","NBS_2005","NBS_2006","NBS_2007","NBS_2008","NBS_2009","NBS_2010","NBS_2011","NBS_2012","NBS_2013","NBS_2014","NBS_2015","NBS_2016","NBS_2017","NBS_2018","NBS_2019"
"1",107311041725.472,5646650680.80511,1534067036.98553,955433911.774361,972190236.117644,266331926.383452,695567173.271657,650291530.618265,1781311591.28198,187915441.54304,408576360.29891,592890925.664716,786970643.233991,498159998.179278,442660872.190553,373440731.256101,212739728.816612,621300218.199622,478648525.030827,542070970.055644,555954529.649868,345337818.702773,317270748.801237,397729433.35372,305089199.198575,558422412.579881,350474506.154487,337624347.285628,549473975.98688,473206718.944476,204546681.004881,478510228.146735,560680790.10284,730240613.713649,1251440680.99285,485219024.425607,510280643.037169,875124164.59114,107115820626.716,5525357198.78279,1508462415.73982,764666802.60799,942021001.38712,252923379.782004,696766055.308662,639162767.263695,1767055650.71616,140875916.766976,381696795.465986,539696377.741966,758901285.64811,473744974.267511,415748591.794309,352154124.165723,181987396.258342,613729126.53663,455728656.47228,520045280.19123,517292102.773493,204352939.067313,252918441.752809,357761359.81605,300423526.028168,550457391.435124,344961914.800432,335292509.827837,548798362.783633,465072293.98708,196351708.576029,462314820.199906,483351767.748346,535375873.951388,978623159.205922,410487771.86595,452685602.576621,841974160.176643,195221098.756547,121293482.02217,25604621.2456883,190767109.166529,30169234.7305256,13408546.6014941,-1198882.03620747,11128763.3547381,14255940.5656035,47039524.776121,26879564.8326031,53194547.9226736,28069357.5858875,24415023.9117551,26912280.3962394,21286607.0903855,30752332.5582629,7571091.66296724,22919868.55862,22025689.8641927,38662426.8763651,140984879.635476,64352307.0484091,39968073.5377046,4665673.17034858,7965021.14453469,5512591.35403495,2331837.45781341,675613.203228794,8134424.95747802,8194972.42883337,16195407.9468323,77329022.3544489,194864739.762399,272817521.786908,74731252.5596695,57595040.4605674,33150004.4144928
"2",5646650680.8051,580479817248.257,25708828869.0809,8868991243.24403,3307470151.78882,2143882355.64103,2859012915.73536,2458901927.16344,2484849489.14758,2315652842.19603,2109118900.28572,2423025587.42301,2532995513.88913,1087089146.675,1931844260.55396,2158828710.60213,1000208367.13375,767770884.697001,2722824748.50138,2010225993.06869,1675645322.26492,1070959992.58976,1556623038.77981,1982900111.14567,148287084.794225,775533644.652526,1307603046.98546,579413658.739627,1010092006.37945,1848908604.54074,1136770201.25568,367033503.198108,3737827325.41364,3316184124.32383,6099169285.59452,2925259248.31082,1052668650.55534,3636191180.52504,5392388290.04135,572230788318.314,24603932626.6014,7308564682.11055,2778628894.70739,1843727434.77928,2753272560.29815,2244745519.41799,2195208704.77331,1974820118.89796,1707144678.94338,1882469974.79295,2145252387.65289,833297343.056094,1663813141.0159,1865959793.36663,727219215.220676,615922556.390263,2391413863.79866,1706455294.85198,1329469773.68888,332249109.025751,1162861630.0907,1693420604.11135,81287000.0961254,703131527.929268,1262551326.62732,559924747.576255,992842083.781434,1781134641.39149,1023597776.75997,164825370.598615,2818914444.93374,1569016663.97958,4125707793.9727,2621502312.34823,919540260.89964,3498877057.16472,254262390.762074,8249028929.94455,1104896242.48028,1560426561.1287,528841257.07965,300154920.859948,105740355.413353,214156407.744122,289640784.38024,340832723.297716,401974221.347349,540555612.631882,387743126.23612,253791803.619967,268031119.538205,292868917.235055,272989151.913245,151848328.307911,331410884.70126,303770698.222161,346175548.576098,738710883.563515,393761408.689937,289479507.033271,67000084.7000159,72402116.7286333,45051720.3585011,19488911.1628347,17249922.5979192,67773963.1467954,113172424.496046,202208132.600424,918912880.480243,1747167460.34276,1973461491.62177,303756935.963708,133128389.654373,137314123.359792
"3",1534067036.98554,25708828869.0809,495913828189.615,25567791130.1701,5864741299.62477,2297071854.32355,4837361629.774,3957674755.95773,4221445548.78921,2678273071.84343,2503286824.96522,1596359726.85907,3800665197.71543,4009550544.2798,1646196976.0128,1916033082.51363,893547641.518938,1066091900.37862,3739086115.62676,2259535299.67035,2066812184.26736,5549462875.71256,1850588148.80129,3425791205.4443,-123895249.606701,-1637202045.10541,68059546.6558551,2786128218.76512,1294982538.82693,1506311363.99286,935250903.930617,1188149382.66877,2644368375.19199,2199206502.06344,5166542125.09344,4360102925.98591,2509816825.49544,8706171500.12235,1443567562.73433,24676669080.0619,493546761337.631,23766362369.754,5427071842.38544,2114430430.19256,4764055203.32557,3839060993.39849,4050698148.62042,2425025629.21532,2230026209.49396,1240415384.50282,3511916615.13366,3826533545.10789,1506276286.50907,1753664008.84285,746610037.172418,947686507.948671,3496295923.42371,2029476548.71306,1872476193.58205,5108454930.72527,1682740551.54798,3237059552.92403,-174137249.488961,-1703229593.85095,24204942.6201499,2769494685.78414,1284239531.45766,1463072826.31804,824205609.969645,1015536032.79421,2073343191.29681,1462024970.74207,4820657475.10306,4149149975.63988,2319935011.48164,8561734815.03389,90499474.2504788,1032159789.01949,2367066851.98466,1801428760.41455,437669457.238623,182641424.130345,73306426.4401256,118613762.55903,170747400.17075,253247442.627909,273260615.472799,355944342.356884,288748582.581698,183016999.17214,139920689.503796,162369073.670552,146937604.346522,118405392.430197,242790192.202534,230058750.959202,194335990.685293,441007944.987201,167847597.253596,188731652.519926,50241999.8830032,66027548.7473642,43854604.0358189,16633532.980825,10743007.3690763,43238537.6739588,111045293.961152,172613349.874977,571025183.895247,737181531.321104,345884649.990298,210952950.346593,189881814.013321,144436685.088239
"4",955433911.774365,8868991243.24404,25567791130.1701,561139571040.962,19417367438.8587,3249621594.24784,3505195510.27752,3505481203.77681,3550857232.71443,2678803613.50488,2047627021.77537,1669032287.51348,2460713390.17558,1984710806.16292,1537276054.96509,2106043465.80457,1728026483.1959,1111961279.35021,2278963791.36011,1427385572.77819,1650901515.29071,4030221708.70349,1361171691.64702,2474206724.29037,515388618.960348,1276326774.04996,1931347544.53928,1324770861.65522,1684430780.03148,2119148565.10719,1351781882.23748,1405073068.09325,4062341852.49746,4163541071.59671,3917279118.89463,2393656601.34239,1776209670.3048,5962902031.38076,864154306.986057,7967118801.20355,24743181962.2069,539985516456.185,18087938498.1841,2829846674.79074,3391459321.01979,3299842107.00252,3266582032.1329,2110673993.35645,1656868059.10634,1158362853.20163,2068390196.36924,1712252618.19987,1278357839.00227,1844446488.09448,1432504473.28723,967348139.226622,1934177837.51254,1130448804.41737,1266942010.16188,2975546731.37498,884181006.455246,2043950098.10189,443174145.428705,1185903492.65907,1874580653.18185,1298499682.28968,1668763800.72655,2039855798.57464,1235307917.16271,1193446191.65444,3168655416.57823,2451344184.8706,2280012982.77645,1899258375.30858,1547491110.14003,5765363434.69319,91279604.7875188,901872442.041226,824609167.96354,21154054584.7751,1329428940.67375,419774919.456294,113736189.247428,205639096.773881,284275200.583909,568129620.148294,390758962.67101,510669434.31264,392323193.806274,272458187.963479,258918215.962883,261596977.709876,295522009.908739,144613140.12412,344785953.84697,296936768.363163,383959505.128832,1054674977.32831,476990685.192137,430256626.18803,72214473.5324979,90423281.3931268,56766891.3575661,26271179.365322,15666979.3048399,79292766.5314917,116473965.074918,211626876.439281,893686435.919361,1712196886.72562,1637266136.11811,494398226.034376,228718560.164189,197538596.687356
"5",972190236.117645,3307470151.78882,5864741299.62477,19417367438.8587,411034831188.139,11118006294.8362,3753547023.47053,2631569495.23475,4288537833.58136,1057817383.27967,1267742404.49377,1511105840.99166,2424818643.01666,1207924673.6048,452682063.773292,813645483.983419,698594133.553884,956617335.941849,1035703209.87553,916665175.051413,802180581.103789,3380415516.02615,735625484.688446,1465680741.02322,276094326.305634,180034488.326114,701684645.535059,966535141.908876,919388094.494761,987457747.82556,802152151.583048,800095578.130933,1635553734.53595,1761388151.83561,1754903445.65161,727713468.029006,1065515327.28897,3214116614.93165,910538041.724136,2854651101.50392,5574125742.10222,17413707735.8004,407337664074.814,10596932106.1406,3651472096.40498,2441337995.05064,4098908662.23485,829736176.351528,1031224365.37127,1168715049.98462,2182929774.95668,1038491436.87371,280458488.898869,623777225.349915,485265029.440243,861126587.847348,825513007.891827,733429627.580056,576686550.065052,2755165265.16254,464098510.419485,1255375795.10979,235254890.741458,128695058.987301,666982014.190806,953085312.037531,909712745.506755,937856697.454966,727291253.044775,673441661.106383,1095010728.9771,869623092.920694,834329513.420455,560800934.892898,951072514.758361,3109158819.69618,61652194.3928549,452819050.285386,290615557.522802,2003659703.05679,3697167113.32417,521074188.694941,102074927.057797,190231500.183894,189629171.348427,228081206.928086,236518039.123851,342390791.007622,241888868.05995,169433236.731472,172223574.874481,189868258.633341,213329104.113698,95490748.0948965,210190201.983258,183235547.473069,225494031.038723,625250250.863436,271526974.269248,210304945.913074,40839435.5648133,51339429.3404847,34702631.3443582,13449829.8711799,9675348.98793826,49601050.3697968,74860898.5383612,126653917.02492,540543005.558909,891765058.914616,920573932.231129,166912533.13658,114442812.530141,104957795.235272
"6",266331926.383457,2143882355.64104,2297071854.32355,3249621594.24783,11118006294.8362,513969621542.741,18200979150.9278,2632088893.89211,1989390549.79887,941768860.888593,849125572.208475,836016671.947701,968054605.901194,536033051.384693,674877123.772517,702470158.054086,473562909.057046,166349931.138442,1182892856.39359,548936708.407277,336528266.784512,747206363.166849,610168046.528593,751114223.705786,33153324.0066542,140391813.044578,598056474.15058,177491812.005776,323584920.512105,706665565.550875,472104014.527689,73815864.7082636,1339797581.19439,1375934799.92258,1472293685.49477,685529728.804686,273192252.063698,1595472526.27637,220152552.092502,1841152708.96456,2108415447.30219,2493024068.52925,10568523017.7314,512209694952.226,18087423864.7596,2460217214.62909,1813620296.28467,766593780.789058,658775588.76919,581025310.691554,796225583.981811,425088539.51911,565603390.747705,585793014.744716,368278226.359327,100774687.429045,1045945715.9806,418503044.08677,194340845.927978,432244703.909202,444180529.117674,630251267.759448,4581114.46820782,108945915.537119,580410620.519247,169827060.10017,315985760.184711,675247328.978243,418504327.234867,-14635308.8194391,951278737.798721,695606535.302587,808049095.984979,561942091.290839,202866645.183476,1533920312.15811,46179374.2909511,302729646.676305,188656407.021357,756597525.718806,549483277.104764,1759926590.51481,113555286.169172,171871679.263191,175770253.514447,175175080.099535,190349983.439018,254991361.256041,171829021.919372,110944511.865509,109273733.024803,116677143.309371,105284682.697696,65575243.7092417,136947140.412997,130433664.320259,142187420.856532,314961659.257665,165987517.410886,120862955.946387,28572209.5383667,31445897.5073701,17645853.6313506,7664751.90562656,7599160.32735236,31418236.5727231,53599687.2928079,88451173.5276701,388518843.395598,680328264.620134,664244589.509781,123587637.513801,70325606.8802555,61552214.1181984
"7",695567173.271661,2859012915.73535,4837361629.77399,3505195510.27753,3753547023.47052,18200979150.9278,1293311552361.48,13761543717.1452,6412734846.52458,2764999455.07522,2388434851.09531,1297740496.41585,2164257434.88967,2759460873.90328,1069044354.99865,1371180908.28331,430103035.49821,1660861177.19643,3297026377.49225,1219786000.62863,1372686204.10474,2692969431.57843,594997173.687431,1591945553.88429,788462275.801601,955494106.221304,761161583.559195,1470045420.04312,1541660279.97497,1134403750.01577,637247350.556589,1045236288.20431,1883822492.94261,1357992344.08229,2901941629.65525,2246256148.93685,1268603375.34694,3336667233.11981,705278354.405608,2868874347.24386,4840867854.69018,3209296114.41075,3721698666.6277,18241968973.0029,1292937105121.11,13785490527.8745,6413050696.62395,2685410047.56427,2348472433.91641,1246012063.70458,2115339952.61258,2720999601.67946,1033956916.59302,1336288190.45074,393014088.714402,1646955151.26755,3249098094.62475,1178841825.27339,1327237875.30762,2514968058.23114,521670208.139815,1522471694.04737,777100148.713428,940140539.185579,747452502.505577,1464292268.56607,1539898303.97585,1133090759.91784,625961203.32699,1020051979.43529,1813851084.46562,1145032961.11419,2578619891.66308,2110170117.85096,1187720052.18174,3251926852.56439,-9711181.13544605,-9861431.50679011,-3506224.91559313,295899395.862443,31848356.8412289,-40989822.0766906,374447240.351812,-23946810.7304681,-315850.094735391,79589407.5107138,39962417.1832431,51728432.7129062,48917482.2769967,38461272.2248279,35087438.4057698,34892717.8321627,37088946.7839658,13906025.9300728,47928282.8662981,40944175.3601246,45448328.797145,178001373.346867,73326965.5483633,69473859.8359792,11362127.0899168,15353567.0402866,13709081.0538873,5753151.47657761,1761975.99904711,1312990.09573821,11286147.2299216,25184308.7699299,69971408.4773216,212959382.966837,323321737.992097,136086031.087017,80883323.1640053,84740380.5550463
"8",650291530.618266,2458901927.16345,3957674755.95773,3505481203.7768,2631569495.23476,2632088893.89213,13761543717.1452,692426086255.759,20412743595.0023,2463120220.62217,1895717438.63328,1869127205.66644,1488962476.76886,1335007645.38302,922235758.458459,1620252536.64521,1007842762.26592,778937214.813377,1116944692.93525,1163476153.32089,738748105.048978,2142920343.31619,914621061.456218,1781170452.23597,245091730.457797,836826623.189178,1484680829.91244,535215978.916087,1228815271.63685,1675218632.4748,808644685.583944,579539735.280997,2994932259.10568,1893185726.44677,2655762466.90994,1205626466.29666,726568042.995913,3530266913.84994,637780069.098947,2328145164.82972,3870260319.2638,3077315614.4931,2470822273.34266,2529343063.06577,13720295022.855,691361477516.429,20267746765.2091,2322966875.62997,1759826187.00371,1689989137.79118,1369608793.44063,1260303929.00701,843808326.711657,1538853640.73664,937101273.492319,745935564.123383,1055911170.35621,1092728813.54424,663791216.726893,1917321813.28101,796380277.121284,1696961012.99768,230175328.735414,820620697.580689,1474722140.87215,532202714.02931,1224357011.31237,1663541012.1053,783156047.323293,530839037.673838,2715869765.7987,1393848424.29311,1899249530.48735,1083358595.48782,634169608.982236,3483064776.86604,12511461.5194926,130756762.33328,87414436.6938529,428165589.284496,160747221.892261,102745830.826604,41248694.2939912,1064608739.33,144996829.792959,140153344.992227,135891251.628622,179138067.874924,119353683.328246,74703716.3758306,78427431.7467718,81398895.908618,70741488.773561,33001650.6896724,61033522.5792119,70747339.7757246,74956888.3220781,225598530.035263,118240784.33481,84209439.2384416,14916401.722058,16205925.6077991,9958689.04026512,3013264.88685346,4458260.32443823,11677620.3698799,25488638.2605893,48700697.6070131,279062493.306848,499337302.154031,756512936.422587,122267870.80865,92398434.0138533,47202136.9838574
"9",1781311591.28199,2484849489.14759,4221445548.78919,3550857232.71444,4288537833.58135,1989390549.79888,6412734846.52462,20412743595.0024,1905070192986.74,13586312214.2745,4227693016.81752,1822441132.26555,2773838041.54835,1898671571.13365,1287358300.03612,1205922655.67234,1141067003.91365,2981584255.30704,1973494086.2115,1819382323.12964,2422787656.80473,1641203020.48697,964659835.506906,1328507970.34719,1544331326.28159,2918062504.9128,1722054095.51606,2783435433.84265,2457334421.31092,1632342256.93022,1034598355.86297,2793545378.14726,2498329925.61547,2146823203.666,3834862148.63235,1992192335.93479,1534580577.80541,2864339700.98099,1745184111.35185,2368010617.13454,4208379992.69504,3084518801.22072,4179996106.15995,1885522137.47624,6340399395.9355,20125642981.9824,1902822184417.5,13276358689.4319,4067531438.56562,1608005512.03184,2646090697.67404,1801373850.74645,1195425061.32963,1089388560.00247,935286372.405701,2933903008.76831,1863027612.75102,1763178056.49088,2333035272.99736,1221710264.78202,840564872.956852,1250738234.36094,1536633812.82822,2896827046.68301,1697158974.94395,2775357877.67255,2452562814.61466,1593843945.74794,994775919.915656,2719028235.75916,2208617424.3746,1649804289.95936,3258274315.67742,1820708930.04475,1296654504.27692,2585642340.25629,36127479.9293596,116838872.014611,13065556.0945885,466338431.49072,108541727.420558,103868412.321626,72335450.5742362,287100613.018604,2248008569.24144,309953524.842342,160161578.255499,214435620.23494,127747343.874246,97297720.3878296,91933238.7066099,116534095.669625,205780631.508089,47681246.5396559,110466473.459611,56204266.6422925,89752383.8074351,419492755.704661,124094962.55053,77769735.9855695,7697513.45456144,21235458.2328708,24895120.5722811,8077556.16979073,4771606.69633067,38498311.180757,39822435.9475735,74517142.3886939,289712501.241336,497018913.70528,576587832.95492,171483405.890659,237926073.527765,278697360.724659
"10",187915441.543043,2315652842.19602,2678273071.84343,2678803613.50489,1057817383.27966,941768860.888586,2764999455.07523,2463120220.62217,13586312214.2745,370642775554.319,8134758267.70625,1846655601.03799,2012251223.37274,863599478.638991,730238290.123037,968279802.506473,344123996.891405,581822301.513827,2002308857.58575,1136464075.63228,1209233925.59218,1765432995.64386,712110344.241954,1295836225.73892,475414540.366447,1651784784.37785,982440131.272756,503439327.619499,645972925.469484,1164522012.79278,758993501.311175,465228198.605214,1652227202.67966,1123398404.25766,1765512961.0006,1753295950.59999,855283322.534136,2563303110.9654,173291392.761733,2184124649.30348,2582800631.98516,2156973773.92165,932078360.954068,871079873.00558,2739977218.39994,2418612509.96253,13570373569.2977,368151740310.075,8088395336.73837,1705167794.14305,1924803831.60905,811517002.246753,676054453.306499,905844040.072069,293365468.041282,548917135.199643,1932857574.84042,1051853573.51977,1153795027.07801,1643368137.94489,656590792.160442,1251550491.00382,463287664.465017,1642510252.68334,980129015.461259,502453399.096496,640467824.498547,1160869407.65101,747513313.791143,451859287.187774,1601330866.86515,1049300748.13164,1488738761.72202,1517587498.11287,684040567.640224,2430660185.15192,14624048.7808005,131528192.892896,95472439.8584622,521829839.582065,125739022.325026,70688987.882529,25022236.669412,44507710.6594801,15938644.9785758,2491035244.24401,46362930.9688969,141487806.895354,87447391.7636745,52082476.3925153,54183836.8165744,62435762.4342743,50758528.8501589,32905166.3144436,69451282.7449534,84610502.1138047,55438898.5141524,122064857.698839,55519552.0817315,44285734.7348309,12126875.9018985,9274531.69587614,2311115.81159602,985928.522869902,5505100.9708757,3652605.14116312,11480187.5201054,13368911.4177027,50896335.8145399,74097656.1258361,276774199.278574,235708452.487435,171242754.893552,132642925.813282
