Year	M	Tier	Age3plus	SSB	B0	Bmsy	Fofl	MaxF	Fabc	OFL	MaxABC	ABC
lastyr_this	0.3	1a	8145000	2602000	5792000	2257000	0.341	0.304	0.214	2594000	2307000	1626000
lastyr_next	0.3	1a	7641000	2406000	5792000	2257000	0.341	0.304	0.214	2366000	2105000	1484000

