Year,2016,2016 cv,2015,2015 cv,2014,2014 cv,2013,2013 cv,2012,2012 cv,2011,2011 cv,2010,2010 cv
2008,4945.8,0.033650774,4849,0.04,4721.6,0.046357167,4607.2,0.049071019,4724.2,0.048183819,4392.8,0.059775087,4069.3,0.068046101
2009,6374.1,0.034365636,6331,0.05,6068.8,0.047503625,5879.7,0.052298587,6069.2,0.056109537,6172,0.084257939,5903.2,0.097989226
2010,6657.5,0.038054825,6680,0.05,5936.8,0.054510848,5622.3,0.060290273,5768.9,0.066920903,6094.7,0.099883505,6168,0.114920558
2011,9637.8,0.039241321,10053,0.07,8895.3,0.064049554,7927.5,0.078756228,7780.8,0.09039816,7823.2,0.108226813,9050,0.155016575
2012,9626.8,0.045278805,10164,0.08,8822.7,0.077004772,7853,0.096447218,7866.9,0.104374023,8340.7,0.120313643,,
2013,9504.4,0.054447414,10337,0.09,9540.8,0.083881855,8261,0.108842755,8138.1,,,,,
2014,8947.8,0.068990143,9805,0.1,8960.4,0.093097406,8045.3,0.119304439,7946.1,,,,,
2015,12407,0.104070283,10970,0.11,9203.4,0.097936632,7778.4,0.129126813,,,,,,
2016,13495,0.120177844,11292,0.12,,,,,,,,,,
2017,13033,0.131803882,,,,,,,,,,,,
