"Catch","Scenario 1","Scenario 2","Scenario 3","Scenario 4","Scenario 5","Scenario 6","Scenario 7"
2018,1350,1350,1350,1350,1350,1350,1350
2019,2163.4058,1350,1403.84169,976.906967,0,2659.86009,2163.4058
2020,1534.42957,1350,1148.92382,855.185232,0,1589.60119,1534.42957
2021,1170.18398,1527.78731,1023.33861,795.911843,0,1203.07528,1434.49389
2022,1182.569636,1322.055073,1020.94371,808.401193,0,1262.060001,1337.038724
2023,1265.014853,1320.289715,1061.647917,847.525423,0,1371.046043,1394.393536
2024,1358.569143,1382.309918,1127.112634,904.630972,0,1470.250431,1477.770724
2025,1401.311763,1411.675558,1164.64371,940.52258,0,1505.910209,1508.554072
2026,1423.316616,1428.561313,1190.598881,966.260147,0,1520.988326,1521.944811
2027,1417.001207,1418.43494,1196.46177,976.430887,0,1505.782543,1506.071173
2028,1416.605908,1417.741553,1201.299659,984.238334,0,1501.350221,1501.382869
2029,1399.769583,1400.19977,1193.829061,981.624769,0,1480.979673,1480.940316
2030,1393.558844,1393.685319,1191.342724,981.902365,0,1475.561594,1475.52237
2031,1399.287629,1399.314505,1195.10054,985.609397,0,1483.513402,1483.488363
