"year","backscatter","lwr","upr","CV","extent"
1994,45754946.0536717,40644803.9901606,50865088.1171827,0.0569821530434703,"EBS"
1996,35463064.3726308,31042753.1350677,39883375.6101939,0.0635946406603237,"EBS"
1997,43556607.3026815,40868461.1747165,46244753.4306465,0.0314878318456248,"EBS"
1999,45282767.2402517,43075424.0957264,47490110.3847769,0.0248702884239717,"EBS"
2000,40673699.8621255,38062715.9842695,43284683.7399815,0.0327517446427248,"EBS"
2002,55316357.6809423,50483375.5669409,60149339.7949436,0.0445764563032795,"EBS"
2004,44620586.4380903,40852525.9308619,48388646.9453187,0.0430850422213553,"EBS"
2006,21344057.0923981,19516510.6898832,23171603.494913,0.0436853045276126,"EBS"
2007,25608302.397604,24229221.0175851,26987383.7776229,0.0274759700219355,"EBS"
2008,17649555.5613157,16501535.8431662,18797575.2794653,0.0331863510080941,"EBS"
2009,17019287.6786859,15760740.7342436,18277834.6231282,0.0377287111014012,"EBS"
2010,31942212.9844865,30017335.5554158,33867090.4135573,0.0307455316709402,"EBS"
2012,29341950.695019,26636268.2514851,32047633.1385529,0.047046982003386,"EBS"
2014,63285431.8996471,56196220.9163367,70374642.8829575,0.0571528750088244,"EBS"
2016,66482071.7610713,52913076.6233468,80051066.8987958,0.104132685993916,"EBS"
2018,34827644.4082011,28404496.1865335,41250792.6298688,0.0940952652788276,"EBS"
2020,45647888.5198943,35208345.0147767,56087432.025012,0.116682236120765,"EBS"
