"srv"	"fsh"	"age"
0.287074	0.288045642	3
0.397925	0.391297834	3
0.494586	0.483783553	3
0.394467	0.362728926	3
0.375412	0.218296473	3
0.322192	0.222480001	3
0.323496	0.398116353	3
0.371511	0.255253901	3
0.400215	0.300003436	3
0.351379	0.321608331	3
0.323524	0.245913043	3
0.380427	0.426878387	3
0.484263	0.452167402	3
0.403671	0.400580539	3
0.352664	0.406924783	3
0.304828	0.317206856	3
0.338274	0.534037836	3
0.328895	0.3554629	3
0.345015	0.315623833	3
0.37855	0.452229202	3
0.289787751	0.322143748	3
0.270712071	0.389607192	3
0.2904545	0.318604057	3
0.348535	0.309546765	3
0.324771532	0.39408786	3
0.478518	0.474016686	4
0.468366	0.484965177	4
0.612874	0.588945769	4
0.648722	0.616004641	4
0.501508	0.490601695	4
0.428131	0.407609084	4
0.466411	0.41931346	4
0.58763	0.442919689	4
0.502208	0.464264736	4
0.523836	0.48993359	4
0.496699	0.485756283	4
0.508198	0.510455136	4
0.550356	0.565659991	4
0.580429	0.619369464	4
0.50691	0.524626529	4
0.448035	0.472828164	4
0.509446	0.548415045	4
0.520902	0.541242581	4
0.548067	0.530080686	4
0.488982	0.523229525	4
0.508130026	0.552836711	4
0.40984878	0.465742232	4
0.4426295	0.546058084	4
0.503953	0.458910657	4
0.488690331	0.505694021	4
0.607784	0.606113241	5
0.645403	0.651811851	5
0.656368	0.628336463	5
0.729957	0.719176502	5
0.729554	0.604975119	5
0.679651	0.620189734	5
0.553658	0.623006868	5
0.626816	0.595295461	5
0.637934	0.53075822	5
0.629775	0.571385902	5
0.669171	0.668072385	5
0.669378	0.665262511	5
0.649823	0.707626007	5
0.639829	0.692384917	5
0.638784	0.645035958	5
0.603781	0.645789942	5
0.641807	0.682851139	5
0.651869	0.65253765	5
0.686653	0.713250234	5
0.6653465	0.685426424	5
0.665650366	0.672849617	5
0.641391276	0.665513206	5
0.5659045	0.613664537	5
0.642782	0.591394715	5
0.640396864	0.716757904	5
0.726999	0.723245908	6
0.712344	0.777438135	6
0.772306	0.701732722	6
0.746092	0.796075728	6
0.843459	0.784094209	6
0.789922	0.743729698	6
0.741886	0.745441922	6
0.623144	0.648736232	6
0.701072	0.700389333	6
0.731651	0.662259094	6
0.786974	0.770429151	6
0.795468	0.806041377	6
0.767508	0.838818736	6
0.769854	0.847725754	6
0.738805	0.759403033	6
0.753786	0.757608708	6
0.781609	0.838223659	6
0.772201	0.80100467	6
0.891986	0.834716279	6
0.915558	0.847301279	6
0.806937668	0.80671773	6
0.824416399	0.836681745	6
0.7827365	0.777582534	6
0.761255	0.753340091	6
0.802929057	0.782160894	6
0.848165	0.832443292	7
0.814453	0.929361981	7
0.929931	0.793847754	7
0.705642	0.852264033	7
0.855931	0.782512169	7
0.946082	0.876127175	7
0.888367	0.942602853	7
0.778748	0.811045011	7
0.726668	0.758072878	7
0.78234	0.78821934	7
0.962777	0.924807212	7
0.908252	0.967582122	7
0.861994	0.876860574	7
0.890418	0.914551468	7
0.879752	0.840019598	7
0.854529	0.861620096	7
0.959751	0.935003963	7
0.899392	0.902963241	7
1.01991	1.056614068	7
1.106995	1.067920792	7
0.972709896	1.115300794	7
0.973291606	0.964872894	7
1.117245	0.996324383	7
0.88899	0.785614229	7
0.96725655	0.963038134	7
0.886708	0.883550551	8
0.983014	1.003326278	8
1.04311	0.957487985	8
1.00956	1.151146831	8
0.972505	0.998294373	8
0.948793	0.96839713	8
1.07108	1.110043535	8
1.03409	0.984817951	8
0.901184	0.926374346	8
0.804874	0.841990231	8
0.995093	0.975038194	8
1.02397	1.120172113	8
0.954343	0.988797675	8
0.928496	0.942580283	8
0.948492	0.969162178	8
0.957879	0.958539833	8
1.10354	1.002489283	8
1.04181	1.021797672	8
1.15277	1.198901936	8
1.255065	1.166975339	8
1.22167502	1.195549431	8
1.17328965	1.126371826	8
1.274975	1.160001501	8
1.03143	1.063998584	8
1.116092567	1.118033178	8
1.00604	1.056388765	9
1.02772	1.080493646	9
1.19617	1.176789808	9
1.39214	1.408421504	9
1.22439	1.163760509	9
1.02125	1.169464789	9
1.08808	1.161068216	9
1.17723	1.096186777	9
1.03937	1.180880866	9
0.971533	0.94374969	9
1.06183	1.028873924	9
1.11656	1.079533544	9
1.08514	1.064889203	9
1.02585	1.133223418	9
1.06286	1.068706625	9
1.05549	1.095072556	9
1.19585	1.113110002	9
1.11391	1.112710014	9
1.40716	1.149727134	9
1.342215	1.243415892	9
1.3373892	1.333458679	9
1.30725472	1.459524452	9
1.42942	1.299198029	9
1.14146	1.187702419	9
1.239300892	1.259262352	9
1.12651	1.111736722	10
1.22445	1.196719589	10
1.22962	1.243018164	10
1.31978	1.364468719	10
1.33773	1.431027578	10
1.08996	1.286255019	10
1.2395	1.253311582	10
1.24278	1.222956049	10
1.27231	1.224365964	10
1.01819	1.159060897	10
1.13708	1.148481148	10
1.09582	1.166920752	10
1.22447	1.164541576	10
1.20669	1.166131672	10
1.09407	1.16286969	10
1.12628	1.268965472	10
1.27629	1.330368071	10
1.20413	1.303140778	10
1.48603	1.355374749	10
1.594975	1.360807635	10
1.50684827	1.348943734	10
1.5225624	1.498579483	10
1.70185	1.495897788	10
1.25062	1.350189152	10
1.376365567	1.290779256	10
1.12472	1.278077648	11
1.23385	1.310419614	11
1.40652	1.339034666	11
1.33861	1.429952805	11
1.41273	1.35681688	11
1.40326	1.523150225	11
1.41048	1.363411638	11
1.2938	1.249057291	11
1.20728	1.284933246	11
1.26801	1.381365151	11
1.32711	1.286381867	11
1.3001	1.221755689	11
1.21338	1.155781327	11
1.15885	1.23419582	11
1.26723	1.250834865	11
1.21862	1.486569934	11
1.32841	1.320117954	11
1.30906	1.419362739	11
1.63552	1.390681832	11
1.613485	1.362153933	11
1.57819404	1.449739842	11
1.61446895	1.542503138	11
1.84966	1.538541786	11
1.34329	1.634401882	11
1.475793799	1.523190018	11
1.23728	1.390192612	12
1.26981	1.435915199	12
1.54794	1.461867496	12
1.41708	1.534026988	12
1.49661	1.538831762	12
1.49709	1.614025607	12
1.47338	1.49809168	12
1.41663	1.539692574	12
1.41536	1.388651232	12
1.31717	1.404052261	12
1.45139	1.389414722	12
1.43006	1.26588828	12
1.2265	1.190442572	12
1.17852	1.216975145	12
1.31173	1.286721735	12
1.28309	1.39821017	12
1.51617	1.286255076	12
1.4044	1.395020791	12
1.63743	1.666172366	12
1.844475	1.454974428	12
1.61415918	1.508846951	12
1.64770837	1.573338935	12
1.81874	1.579799586	12
1.43732	1.561618624	12
1.551522255	1.862538013	12
1.24166	1.405096665	13
1.17518	1.574729397	13
1.64962	1.575778794	13
1.37351	1.621606385	13
1.39474	1.583184485	13
1.53918	1.662416509	13
1.72369	1.441293528	13
1.55921	1.581646844	13
1.16415	1.842360707	13
1.31953	1.534816543	13
1.58479	1.598344519	13
1.61124	1.367919488	13
1.44509	1.177518824	13
1.35115	1.268641182	13
1.31338	1.272597142	13
1.30578	1.448649871	13
1.41552	1.518542139	13
1.51342	1.5698909	13
1.81683	1.627249683	13
1.944605	1.63828669	13
2.11354755	1.625822024	13
1.72126881	1.604770603	13
1.93516	1.659892361	13
1.49903	1.569306493	13
1.657854136	1.598773719	13
1.27866	1.478809226	14
1.35258	1.438389809	14
1.68839	1.627853209	14
1.30966	1.576669495	14
1.21192	1.564670046	14
1.75043	1.638434673	14
1.45773	1.580888765	14
1.55589	1.872951727	14
1.14116	1.870410471	14
1.6654	1.579655047	14
1.46591	1.499449758	14
1.3193	1.469164272	14
1.34027	1.207797052	14
1.29176	1.508862728	14
1.16394	1.264687859	14
1.39888	1.324368616	14
1.76814	1.380782745	14
1.59903	1.678051018	14
2.17644	1.629649924	14
2.04919	1.623383647	14
1.73103934	1.548132747	14
2.01961381	1.73481971	14
2.11544	1.700853303	14
1.49365	1.592474918	14
1.751536315	1.7047487	14
1.24356	1.918268196	15
1.44129	1.88707984	15
1.63529	1.901257197	15
1.38611	1.731500227	15
1.36327	1.697744431	15
1.53592	1.634656352	15
1.42339	1.580602787	15
1.71989	1.653722306	15
1.31888	1.695939586	15
1.73756	1.680089101	15
1.66494	1.45658005	15
1.63589	1.486686478	15
1.72066	1.685106135	15
1.23231	1.843239177	15
1.41932	1.518039392	15
1.45343	1.594297832	15
1.53197	1.573901601	15
