"","type","Model","M","NLL"
"1","1","m10",0.1,27.2227
"2","2","m10",0.1,6.36437e-06
"3","3","m10",0.1,30.4061
"4","4","m10",0.1,1.94765
"5","5","m10",0.1,2.23083
"6","6","m10",0.1,6.45719
"7","7","m10",0.1,0
"8","8","m10",0.1,0.601783
"9","9","m10",0.1,63.6145
"10","10","m10",0.1,28.0379
"11","11","m10",0.1,0.274376
"12","12","m10",0.1,106.011
"13","13","m10",0.1,134.079
"14","14","m10",0.1,32.3325
"15","15","m10",0.1,12.2873
"16","16","m10",0.1,19.1215
"17","17","m10",0.1,0
"18","18","m10",0.1,3.26732
"19","19","m10",0.1,2.24167
"20","20","m10",0.1,0
"21","21","m10",0.1,0
"22","1","m11",0.11,27.2624
"23","2","m11",0.11,5.92396e-06
"24","3","m11",0.11,30.4321
"25","4","m11",0.11,1.90577
"26","5","m11",0.11,2.2209
"27","6","m11",0.11,6.44609
"28","7","m11",0.11,0
"29","8","m11",0.11,0.618842
"30","9","m11",0.11,63.9464
"31","10","m11",0.11,28.128
"32","11","m11",0.11,0.275875
"33","12","m11",0.11,106.351
"34","13","m11",0.11,134.356
"35","14","m11",0.11,32.4078
"36","15","m11",0.11,11.7722
"37","16","m11",0.11,18.9689
"38","17","m11",0.11,0
"39","18","m11",0.11,3.27222
"40","19","m11",0.11,2.25818
"41","20","m11",0.11,0
"42","21","m11",0.11,0
"43","1","m12",0.12,27.3026
"44","2","m12",0.12,3.83386e-06
"45","3","m12",0.12,30.4576
"46","4","m12",0.12,1.86452
"47","5","m12",0.12,2.21182
"48","6","m12",0.12,6.43552
"49","7","m12",0.12,0
"50","8","m12",0.12,0.636158
"51","9","m12",0.12,64.2819
"52","10","m12",0.12,28.2211
"53","11","m12",0.12,0.277468
"54","12","m12",0.12,106.695
"55","13","m12",0.12,134.648
"56","14","m12",0.12,32.4863
"57","15","m12",0.12,11.3062
"58","16","m12",0.12,18.8233
"59","17","m12",0.12,0
"60","18","m12",0.12,3.27721
"61","19","m12",0.12,2.27478
"62","20","m12",0.12,0
"63","21","m12",0.12,0
"64","1","m13",0.13,27.343
"65","2","m13",0.13,3.80681e-06
"66","3","m13",0.13,30.4825
"67","4","m13",0.13,1.8239
"68","5","m13",0.13,2.20363
"69","6","m13",0.13,6.42555
"70","7","m13",0.13,0
"71","8","m13",0.13,0.653723
"72","9","m13",0.13,64.6208
"73","10","m13",0.13,28.3174
"74","11","m13",0.13,0.279136
"75","12","m13",0.13,107.042
"76","13","m13",0.13,134.956
"77","14","m13",0.13,32.568
"78","15","m13",0.13,10.882
"79","16","m13",0.13,18.6853
"80","17","m13",0.13,0
"81","18","m13",0.13,3.2823
"82","19","m13",0.13,2.29145
"83","20","m13",0.13,0
"84","21","m13",0.13,0
"85","1","m14",0.14,27.3836
"86","2","m14",0.14,4.75382e-06
"87","3","m14",0.14,30.5066
"88","4","m14",0.14,1.7839
"89","5","m14",0.14,2.19635
"90","6","m14",0.14,6.41619
"91","7","m14",0.14,0
"92","8","m14",0.14,0.671534
"93","9","m14",0.14,64.9622
"94","10","m14",0.14,28.4168
"95","11","m14",0.14,0.280871
"96","12","m14",0.14,107.393
"97","13","m14",0.14,135.28
"98","14","m14",0.14,32.6525
"99","15","m14",0.14,10.4938
"100","16","m14",0.14,18.5555
"101","17","m14",0.14,0
"102","18","m14",0.14,3.28751
"103","19","m14",0.14,2.30819
"104","20","m14",0.14,0
"105","21","m14",0.14,0
"106","1","m15",0.15,27.4244
"107","2","m15",0.15,3.75266e-06
"108","3","m15",0.15,30.5298
"109","4","m15",0.15,1.74444
"110","5","m15",0.15,2.18978
"111","6","m15",0.15,6.40758
"112","7","m15",0.15,0
"113","8","m15",0.15,0.6896
"114","9","m15",0.15,65.3017
"115","10","m15",0.15,28.5197
"116","11","m15",0.15,0.282677
"117","12","m15",0.15,107.746
"118","13","m15",0.15,135.623
"119","14","m15",0.15,32.7398
"120","15","m15",0.15,10.1373
"121","16","m15",0.15,18.4345
"122","17","m15",0.15,0
"123","18","m15",0.15,3.29284
"124","19","m15",0.15,2.32509
"125","20","m15",0.15,0
"126","21","m15",0.15,0
"127","1","m16",0.16,27.4659
"128","2","m16",0.16,4.16743e-06
"129","3","m16",0.16,30.5521
"130","4","m16",0.16,1.70565
"131","5","m16",0.16,2.18351
"132","6","m16",0.16,6.39963
"133","7","m16",0.16,0
"134","8","m16",0.16,0.713017
"135","9","m16",0.16,65.6372
"136","10","m16",0.16,28.6274
"137","11","m16",0.16,0.284529
"138","12","m16",0.16,108.1
"139","13","m16",0.16,135.988
"140","14","m16",0.16,32.8259
"141","15","m16",0.16,9.80871
"142","16","m16",0.16,18.3228
"143","17","m16",0.16,0
"144","18","m16",0.16,3.29827
"145","19","m16",0.16,2.34075
"146","20","m16",0.16,0
"147","21","m16",0.16,0
"148","1","m17",0.17,27.508
"149","2","m17",0.17,3.96224e-06
"150","3","m17",0.17,30.5738
"151","4","m17",0.17,1.66754
"152","5","m17",0.17,2.17782
"153","6","m17",0.17,6.39215
"154","7","m17",0.17,0
"155","8","m17",0.17,0.743812
"156","9","m17",0.17,65.9735
"157","10","m17",0.17,28.7398
"158","11","m17",0.17,0.286401
"159","12","m17",0.17,108.456
"160","13","m17",0.17,136.37
"161","14","m17",0.17,32.9105
"162","15","m17",0.17,9.50509
"163","16","m17",0.17,18.2205
"164","17","m17",0.17,0
"165","18","m17",0.17,3.30379
"166","19","m17",0.17,2.35474
"167","20","m17",0.17,0
"168","21","m17",0.17,0
"169","1","m18",0.18,27.55
"170","2","m18",0.18,3.79435e-06
"171","3","m18",0.18,30.5943
"172","4","m18",0.18,1.63013
"173","5","m18",0.18,2.17314
"174","6","m18",0.18,6.38529
"175","7","m18",0.18,0
"176","8","m18",0.18,0.776343
"177","9","m18",0.18,66.3111
"178","10","m18",0.18,28.8555
"179","11","m18",0.18,0.288323
"180","12","m18",0.18,108.813
"181","13","m18",0.18,136.768
"182","14","m18",0.18,32.9986
"183","15","m18",0.18,9.22382
"184","16","m18",0.18,18.1285
"185","17","m18",0.18,0
"186","18","m18",0.18,3.30938
"187","19","m18",0.18,2.36875
"188","20","m18",0.18,0
"189","21","m18",0.18,0
"190","1","m19",0.19,27.5918
"191","2","m19",0.19,3.68179e-06
"192","3","m19",0.19,30.6134
"193","4","m19",0.19,1.59341
"194","5","m19",0.19,2.16936
"195","6","m19",0.19,6.37933
"196","7","m19",0.19,0
"197","8","m19",0.19,0.810604
"198","9","m19",0.19,66.6479
"199","10","m19",0.19,28.9748
"200","11","m19",0.19,0.290293
"201","12","m19",0.19,109.173
"202","13","m19",0.19,137.185
"203","14","m19",0.19,33.0898
"204","15","m19",0.19,8.9629
"205","16","m19",0.19,18.0476
"206","17","m19",0.19,0
"207","18","m19",0.19,3.31505
"208","19","m19",0.19,2.3828
"209","20","m19",0.19,0
"210","21","m19",0.19,0
"211","1","m20",0.2,27.6333
"212","2","m20",0.2,3.62922e-06
"213","3","m20",0.2,30.631
"214","4","m20",0.2,1.5574
"215","5","m20",0.2,2.1665
"216","6","m20",0.2,6.37434
"217","7","m20",0.2,0
"218","8","m20",0.2,0.846609
"219","9","m20",0.2,66.9832
"220","10","m20",0.2,29.0976
"221","11","m20",0.2,0.292306
"222","12","m20",0.2,109.533
"223","13","m20",0.2,137.62
"224","14","m20",0.2,33.1841
"225","15","m20",0.2,8.7206
"226","16","m20",0.2,17.9782
"227","17","m20",0.2,0
"228","18","m20",0.2,3.32082
"229","19","m20",0.2,2.39691
"230","20","m20",0.2,0
"231","21","m20",0.2,0
"232","1","m21",0.21,27.675
"233","2","m21",0.21,3.6049e-06
"234","3","m21",0.21,30.6472
"235","4","m21",0.21,1.52213
"236","5","m21",0.21,2.16481
"237","6","m21",0.21,6.36991
"238","7","m21",0.21,0
"239","8","m21",0.21,0.88436
"240","9","m21",0.21,67.3193
"241","10","m21",0.21,29.2236
"242","11","m21",0.21,0.294354
"243","12","m21",0.21,109.895
"244","13","m21",0.21,138.072
"245","14","m21",0.21,33.2816
"246","15","m21",0.21,8.49536
"247","16","m21",0.21,17.9208
"248","17","m21",0.21,0
"249","18","m21",0.21,3.32667
"250","19","m21",0.21,2.41104
"251","20","m21",0.21,0
"252","21","m21",0.21,0
"253","1","m22",0.22,27.7167
"254","2","m22",0.22,6.18016e-06
"255","3","m22",0.22,30.6617
"256","4","m22",0.22,1.48758
"257","5","m22",0.22,2.16435
"258","6","m22",0.22,6.36644
"259","7","m22",0.22,0
"260","8","m22",0.22,0.923875
"261","9","m22",0.22,67.6485
"262","10","m22",0.22,29.3539
"263","11","m22",0.22,0.296434
"264","12","m22",0.22,110.256
"265","13","m22",0.22,138.547
"266","14","m22",0.22,33.3827
"267","15","m22",0.22,8.28615
"268","16","m22",0.22,17.8765
"269","17","m22",0.22,0
"270","18","m22",0.22,3.33258
"271","19","m22",0.22,2.4252
"272","20","m22",0.22,0
"273","21","m22",0.22,0
"274","1","m23",0.23,27.7583
"275","2","m23",0.23,5.62386e-06
"276","3","m23",0.23,30.6749
"277","4","m23",0.23,1.45373
"278","5","m23",0.23,2.16552
"279","6","m23",0.23,6.36403
"280","7","m23",0.23,0
"281","8","m23",0.23,0.968591
"282","9","m23",0.23,67.9799
"283","10","m23",0.23,29.4867
"284","11","m23",0.23,0.297973
"285","12","m23",0.23,110.618
"286","13","m23",0.23,139.036
"287","14","m23",0.23,33.4858
"288","15","m23",0.23,8.09125
"289","16","m23",0.23,17.8446
"290","17","m23",0.23,0
"291","18","m23",0.23,3.33854
"292","19","m23",0.23,2.43859
"293","20","m23",0.23,0
"294","21","m23",0.23,0
"295","1","m24",0.24,27.7997
"296","2","m24",0.24,5.09277e-06
"297","3","m24",0.24,30.6869
"298","4","m24",0.24,1.42061
"299","5","m24",0.24,2.16812
"300","6","m24",0.24,6.36264
"301","7","m24",0.24,0
"302","8","m24",0.24,1.01775
"303","9","m24",0.24,68.3153
"304","10","m24",0.24,29.6225
"305","11","m24",0.24,0.2993
"306","12","m24",0.24,110.982
"307","13","m24",0.24,139.535
"308","14","m24",0.24,33.5916
"309","15","m24",0.24,7.90991
"310","16","m24",0.24,17.826
"311","17","m24",0.24,0
"312","18","m24",0.24,3.34455
"313","19","m24",0.24,2.45153
"314","20","m24",0.24,0
"315","21","m24",0.24,0
"316","1","m25",0.25,27.8414
"317","2","m25",0.25,4.62843e-06
"318","3","m25",0.25,30.6973
"319","4","m25",0.25,1.38818
"320","5","m25",0.25,2.17208
"321","6","m25",0.25,6.36315
"322","7","m25",0.25,0
"323","8","m25",0.25,1.06995
"324","9","m25",0.25,68.649
"325","10","m25",0.25,29.7606
"326","11","m25",0.25,0.300614
"327","12","m25",0.25,111.345
"328","13","m25",0.25,140.053
"329","14","m25",0.25,33.7
"330","15","m25",0.25,7.74162
"331","16","m25",0.25,17.8218
"332","17","m25",0.25,0
"333","18","m25",0.25,3.35059
"334","19","m25",0.25,2.46449
"335","20","m25",0.25,0
"336","21","m25",0.25,0
"337","1","m26",0.26,27.8839
"338","2","m26",0.26,4.22498e-06
"339","3","m26",0.26,30.7059
"340","4","m26",0.26,1.35642
"341","5","m26",0.26,2.17746
"342","6","m26",0.26,6.36588
"343","7","m26",0.26,0
"344","8","m26",0.26,1.1252
"345","9","m26",0.26,68.9797
"346","10","m26",0.26,29.901
"347","11","m26",0.26,0.301945
"348","12","m26",0.26,111.705
"349","13","m26",0.26,140.594
"350","14","m26",0.26,33.8109
"351","15","m26",0.26,7.58572
"352","16","m26",0.26,17.8325
"353","17","m26",0.26,0
"354","18","m26",0.26,3.35668
"355","19","m26",0.26,2.47748
"356","20","m26",0.26,0
"357","21","m26",0.26,0
"358","1","m27",0.27,27.9273
"359","2","m27",0.27,3.90473e-06
"360","3","m27",0.27,30.7127
"361","4","m27",0.27,1.32532
"362","5","m27",0.27,2.18433
"363","6","m27",0.27,6.37106
"364","7","m27",0.27,0
"365","8","m27",0.27,1.1835
"366","9","m27",0.27,69.3076
"367","10","m27",0.27,30.0433
"368","11","m27",0.27,0.30329
"369","12","m27",0.27,112.059
"370","13","m27",0.27,141.158
"371","14","m27",0.27,33.9242
"372","15","m27",0.27,7.44159
"373","16","m27",0.27,17.8588
"374","17","m27",0.27,0
"375","18","m27",0.27,3.36286
"376","19","m27",0.27,2.49048
"377","20","m27",0.27,0
"378","21","m27",0.27,0
"379","1","m28",0.28,27.972
"380","2","m28",0.28,3.65425e-06
"381","3","m28",0.28,30.7177
"382","4","m28",0.28,1.2947
"383","5","m28",0.28,2.1928
"384","6","m28",0.28,6.37956
"385","7","m28",0.28,0
"386","8","m28",0.28,1.2449
"387","9","m28",0.28,69.6321
"388","10","m28",0.28,30.1872
"389","11","m28",0.28,0.304647
"390","12","m28",0.28,112.407
"391","13","m28",0.28,141.747
"392","14","m28",0.28,34.0392
"393","15","m28",0.28,7.30869
"394","16","m28",0.28,17.9012
"395","17","m28",0.28,0
"396","18","m28",0.28,3.36916
"397","19","m28",0.28,2.50346
