"","F05","F10","F50","medianMSY","meanMSY","Medlower","Meanlower","Medupper","Meanupper","Medlower","Meanlower","Medupper","Meanupper"
"catF",0.157,0.223,0.732,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA
"lanF",NA,NA,NA,0.294,0.35,0.184,0.205,0.429,0.614,NA,NA,NA,NA
"catch",10710.348,11455.107,8685.174,NA,11574.921,NA,NA,NA,NA,NA,NA,NA,NA
"landings",NA,NA,NA,11689.579,11574.921,11115.972,15413.731,11107.589,15416.321,NA,NA,NA,NA
"catB",67285.272,53525.047,22011.692,NA,38211.085,NA,NA,NA,NA,NA,NA,NA,NA
"lanB",NA,NA,NA,43668.658,38211.085,60862.679,NA,32740.839,NA,NA,NA,NA,NA
